Sets to variables test for over-representation
76 variables tested, 10 have p < 0.05 
Selected set size: 9 
    Universe size: 276 
                 vars         pval        adjp      odds      exp obs size
1        earn_OC1_G-N 4.284696e-05 0.001699363       Inf 3.032609   9   93
2        earn_OC5_G-N 1.020313e-04 0.001699363       Inf 3.326087   9  102
3        earn_OC1_B-F 1.118002e-04 0.001699363       Inf 3.358696   9  103
4        earn_OC8_B-F 1.118002e-04 0.001699363       Inf 3.358696   9  103
5        earn_OC9_G-N 1.118002e-04 0.001699363       Inf 3.358696   9  103
6         unemp_YGE25 1.104351e-03 0.013988446 11.572581 2.250000   7   69
7    emp_Y25-64_NaceA 3.150487e-02 0.342052843  4.504310 2.054348   5   63
8  emp_Y25-64_NaceB-E 4.338863e-02 0.350240332  4.047619 2.217391   5   68
9          pop_Y65-74 4.608425e-02 0.350240332  3.964844 2.250000   5   69
10          pop_YGE75 4.608425e-02 0.350240332  3.964844 2.250000   5   69
