"","mean","n","stdev"
"pop_Total",3829360.71428571,7,1065945.197464
"pop_Y0-14",14.7359966496526,7,3.07550128940049
"pop_Y15-24",11.0475272582988,7,0.386607727543868
"pop_Y25-64",55.5440846634707,7,0.899703888653364
"pop_Y65-74",9.79519282821931,7,1.19760978675398
"pop_YGE75",8.87719860035852,7,1.74273403681367
"ARPR",14.4,1,NA
"low_work",20.1,1,NA
"rooms_pp",2,1,NA
"mat_depriv",8,1,NA
"ARPR_socexcl",26.2,1,NA
"emp_Y15-24_ED0-2",31.8737447598499,7,10.2444872971744
"emp_Y25-64_ED0-2",11.5340013762793,7,1.93726613256604
"emp_Y15-24_ED3-4",59.3151380386717,7,2.95726873858955
"emp_Y25-64_ED3-4",51.4542397999558,7,7.62773393929134
"emp_Y15-24_ED5-8",8.39139354947143,7,8.32215017585592
"emp_Y25-64_ED5-8",36.4166546363831,7,6.60253303358763
"emp_TF",47.2139339015927,7,2.94339357787191
"emp_TP",17.1196261180053,7,1.89032781687933
"emp_Y15-24",41.7495921597525,7,7.21752038503177
"emp_Y25-64",77.9376746458222,7,4.89941725795566
"emp_YGE65",6.90089158822515,7,1.78487540230024
"emp_Y15-24_NaceA",2.98507462686567,1,NA
"emp_Y25-64_NaceA",1.40302276404235,6,1.27281617869296
"emp_Y15-24_NaceB-E",15.6348932269219,7,6.60514742558262
"emp_Y25-64_NaceB-E",18.571266085644,7,6.61415277100307
"emp_Y15-24_NaceF",6.92424280449865,6,2.08990230038769
"emp_Y25-64_NaceF",5.51759140511992,7,0.75595030031639
"emp_Y15-24_NaceG-I",32.2977703820805,7,8.72090941637788
"emp_Y25-64_NaceG-I",22.8260215899469,7,2.83328204712063
"emp_Y15-24_NaceJ",3.58634458508076,6,0.66448824685549
"emp_Y25-64_NaceJ",4.24287448080359,7,0.938568772622179
"emp_Y15-24_NaceK",3.28577028209089,6,0.414014213110248
"emp_Y25-64_NaceK",4.67544479061198,7,1.32946785469488
"emp_Y15-24_NaceL",NA,0,NA
"emp_Y25-64_NaceL",0.54214942852586,7,0.103827025535611
"emp_Y15-24_NaceM_N",9.75306933506068,7,1.43562784324358
"emp_Y25-64_NaceM_N",12.4800662878502,7,2.4342622641838
"emp_Y15-24_NaceO-Q",22.2725323946814,7,4.72150912555395
"emp_Y25-64_NaceO-Q",24.8648613673231,7,2.26182294317881
"emp_Y15-24_NaceR-U",5.43214874513724,6,1.53732787503829
"emp_Y25-64_NaceR-U",5.00176336687719,7,0.597447062668582
"unemp_Y15-24",4.10301128355546,7,2.13930359292296
"unemp_YGE25",3.50623867385805,7,1.69357821396422
"GDP",44200,7,7078.13534767456
"GVAgr",0.8,1,NA
"disp_income",20914.2857142857,7,3212.17920391986
"training",8.41428571428571,7,1.04311803651132
