"unit";"sex";"age";"geo";"X2015"
"NR";"F";"TOTAL";"AT";4381296
"NR";"F";"Y0-14";"AT";606576
"NR";"F";"Y15-24";"AT";488462
"NR";"F";"Y25-64";"AT";2378163
"NR";"F";"Y65-74";"AT";456051
"NR";"F";"YGE75";"AT";452044
"NR";"M";"TOTAL";"AT";4194965
"NR";"M";"Y0-14";"AT";643090
"NR";"M";"Y15-24";"AT";512254
"NR";"M";"Y25-64";"AT";2364583
"NR";"M";"Y65-74";"AT";395054
"NR";"M";"YGE75";"AT";279984
"NR";"T";"TOTAL";"AT";8576261
"NR";"T";"Y0-14";"AT";1249666
"NR";"T";"Y15-24";"AT";1000716
"NR";"T";"Y25-64";"AT";4742746
"NR";"T";"Y65-74";"AT";851105
"NR";"T";"YGE75";"AT";732028
"NR";"F";"TOTAL";"AT1";1908348
"NR";"F";"Y0-14";"AT1";262829
"NR";"F";"Y15-24";"AT1";210372
"NR";"F";"Y25-64";"AT1";1040458
"NR";"F";"Y65-74";"AT1";202381
"NR";"F";"YGE75";"AT1";192308
"NR";"M";"TOTAL";"AT1";1810324
"NR";"M";"Y0-14";"AT1";280332
"NR";"M";"Y15-24";"AT1";216818
"NR";"M";"Y25-64";"AT1";1022989
"NR";"M";"Y65-74";"AT1";173448
"NR";"M";"YGE75";"AT1";116737
"NR";"T";"TOTAL";"AT1";3718672
"NR";"T";"Y0-14";"AT1";543161
"NR";"T";"Y15-24";"AT1";427190
"NR";"T";"Y25-64";"AT1";2063447
"NR";"T";"Y65-74";"AT1";375829
"NR";"T";"YGE75";"AT1";309045
"NR";"F";"TOTAL";"AT11";147220
"NR";"F";"Y0-14";"AT11";18679
"NR";"F";"Y15-24";"AT11";14162
"NR";"F";"Y25-64";"AT11";80503
"NR";"F";"Y65-74";"AT11";15523
"NR";"F";"YGE75";"AT11";18353
"NR";"M";"TOTAL";"AT11";140958
"NR";"M";"Y0-14";"AT11";19535
"NR";"M";"Y15-24";"AT11";15154
"NR";"M";"Y25-64";"AT11";80614
"NR";"M";"Y65-74";"AT11";14424
"NR";"M";"YGE75";"AT11";11231
"NR";"T";"TOTAL";"AT11";288178
"NR";"T";"Y0-14";"AT11";38214
"NR";"T";"Y15-24";"AT11";29316
"NR";"T";"Y25-64";"AT11";161117
"NR";"T";"Y65-74";"AT11";29947
"NR";"T";"YGE75";"AT11";29584
"NR";"F";"TOTAL";"AT12";832537
"NR";"F";"Y0-14";"AT12";115054
"NR";"F";"Y15-24";"AT12";89423
"NR";"F";"Y25-64";"AT12";446871
"NR";"F";"Y65-74";"AT12";89812
"NR";"F";"YGE75";"AT12";91377
"NR";"M";"TOTAL";"AT12";803158
"NR";"M";"Y0-14";"AT12";122131
"NR";"M";"Y15-24";"AT12";95326
"NR";"M";"Y25-64";"AT12";445415
"NR";"M";"Y65-74";"AT12";81091
"NR";"M";"YGE75";"AT12";59195
"NR";"T";"TOTAL";"AT12";1635695
"NR";"T";"Y0-14";"AT12";237185
"NR";"T";"Y15-24";"AT12";184749
"NR";"T";"Y25-64";"AT12";892286
"NR";"T";"Y65-74";"AT12";170903
"NR";"T";"YGE75";"AT12";150572
"NR";"F";"TOTAL";"AT13";928591
"NR";"F";"Y0-14";"AT13";129096
"NR";"F";"Y15-24";"AT13";106787
"NR";"F";"Y25-64";"AT13";513084
"NR";"F";"Y65-74";"AT13";97046
"NR";"F";"YGE75";"AT13";82578
"NR";"M";"TOTAL";"AT13";866208
"NR";"M";"Y0-14";"AT13";138666
"NR";"M";"Y15-24";"AT13";106338
"NR";"M";"Y25-64";"AT13";496960
"NR";"M";"Y65-74";"AT13";77933
"NR";"M";"YGE75";"AT13";46311
"NR";"T";"TOTAL";"AT13";1794799
"NR";"T";"Y0-14";"AT13";267762
"NR";"T";"Y15-24";"AT13";213125
"NR";"T";"Y25-64";"AT13";1010044
"NR";"T";"Y65-74";"AT13";174979
"NR";"T";"YGE75";"AT13";128889
"NR";"F";"TOTAL";"AT2";907150
"NR";"F";"Y0-14";"AT2";116273
"NR";"F";"Y15-24";"AT2";97438
"NR";"F";"Y25-64";"AT2";488659
"NR";"F";"Y65-74";"AT2";99018
"NR";"F";"YGE75";"AT2";105762
"NR";"M";"TOTAL";"AT2";870392
"NR";"M";"Y0-14";"AT2";123231
"NR";"M";"Y15-24";"AT2";104505
"NR";"M";"Y25-64";"AT2";492259
"NR";"M";"Y65-74";"AT2";85580
"NR";"M";"YGE75";"AT2";64817
"NR";"T";"TOTAL";"AT2";1777542
"NR";"T";"Y0-14";"AT2";239504
"NR";"T";"Y15-24";"AT2";201943
"NR";"T";"Y25-64";"AT2";980918
"NR";"T";"Y65-74";"AT2";184598
"NR";"T";"YGE75";"AT2";170579
