"unit";"nace_r2";"isco08";"age";"sex";"geo";"X2014"
"INDIC";"B-F";"OC1";"TOTAL";"F";"AT";27.7
"INDIC";"B-F";"OC1";"TOTAL";"F";"BE";31.68
"INDIC";"B-F";"OC1";"TOTAL";"F";"BG";10.04
"INDIC";"B-F";"OC1";"TOTAL";"F";"CY";21.81
"INDIC";"B-F";"OC1";"TOTAL";"F";"CZ";16.33
"INDIC";"B-F";"OC1";"TOTAL";"F";"DE";34.54
"INDIC";"B-F";"OC1";"TOTAL";"F";"DK";30.88
"INDIC";"B-F";"OC1";"TOTAL";"F";"EE";12.31
"INDIC";"B-F";"OC1";"TOTAL";"F";"EL";NA
"INDIC";"B-F";"OC1";"TOTAL";"F";"ES";24.14
"INDIC";"B-F";"OC1";"TOTAL";"F";"FI";32.76
"INDIC";"B-F";"OC1";"TOTAL";"F";"FR";25.41
"INDIC";"B-F";"OC1";"TOTAL";"F";"HR";NA
"INDIC";"B-F";"OC1";"TOTAL";"F";"HU";17.47
"INDIC";"B-F";"OC1";"TOTAL";"F";"IE";24.13
"INDIC";"B-F";"OC1";"TOTAL";"F";"IT";36.96
"INDIC";"B-F";"OC1";"TOTAL";"F";"LT";10.7
"INDIC";"B-F";"OC1";"TOTAL";"F";"LU";29.26
"INDIC";"B-F";"OC1";"TOTAL";"F";"LV";9.12
"INDIC";"B-F";"OC1";"TOTAL";"F";"MT";18.17
"INDIC";"B-F";"OC1";"TOTAL";"F";"NL";26.39
"INDIC";"B-F";"OC1";"TOTAL";"F";"PL";17.55
"INDIC";"B-F";"OC1";"TOTAL";"F";"PT";14.99
"INDIC";"B-F";"OC1";"TOTAL";"F";"RO";11.26
"INDIC";"B-F";"OC1";"TOTAL";"F";"SE";28.27
"INDIC";"B-F";"OC1";"TOTAL";"F";"SI";22.28
"INDIC";"B-F";"OC1";"TOTAL";"F";"SK";14.82
"INDIC";"B-F";"OC1";"TOTAL";"F";"UK";22.88
"INDIC";"B-F";"OC1";"TOTAL";"M";"AT";35.27
"INDIC";"B-F";"OC1";"TOTAL";"M";"BE";36.5
"INDIC";"B-F";"OC1";"TOTAL";"M";"BG";10.91
"INDIC";"B-F";"OC1";"TOTAL";"M";"CY";26.15
"INDIC";"B-F";"OC1";"TOTAL";"M";"CZ";20.31
"INDIC";"B-F";"OC1";"TOTAL";"M";"DE";43.24
"INDIC";"B-F";"OC1";"TOTAL";"M";"DK";36.02
"INDIC";"B-F";"OC1";"TOTAL";"M";"EE";14.69
"INDIC";"B-F";"OC1";"TOTAL";"M";"EL";NA
"INDIC";"B-F";"OC1";"TOTAL";"M";"ES";28.57
"INDIC";"B-F";"OC1";"TOTAL";"M";"FI";35.63
"INDIC";"B-F";"OC1";"TOTAL";"M";"FR";31.76
"INDIC";"B-F";"OC1";"TOTAL";"M";"HR";NA
"INDIC";"B-F";"OC1";"TOTAL";"M";"HU";20.05
"INDIC";"B-F";"OC1";"TOTAL";"M";"IE";28.95
"INDIC";"B-F";"OC1";"TOTAL";"M";"IT";46.19
"INDIC";"B-F";"OC1";"TOTAL";"M";"LT";11.57
"INDIC";"B-F";"OC1";"TOTAL";"M";"LU";38.48
"INDIC";"B-F";"OC1";"TOTAL";"M";"LV";10.67
"INDIC";"B-F";"OC1";"TOTAL";"M";"MT";20.99
"INDIC";"B-F";"OC1";"TOTAL";"M";"NL";31.3
"INDIC";"B-F";"OC1";"TOTAL";"M";"PL";21.11
"INDIC";"B-F";"OC1";"TOTAL";"M";"PT";22.53
"INDIC";"B-F";"OC1";"TOTAL";"M";"RO";12.56
"INDIC";"B-F";"OC1";"TOTAL";"M";"SE";28.96
"INDIC";"B-F";"OC1";"TOTAL";"M";"SI";24.72
"INDIC";"B-F";"OC1";"TOTAL";"M";"SK";18.02
"INDIC";"B-F";"OC1";"TOTAL";"M";"UK";27.39
"INDIC";"B-F";"OC1";"TOTAL";"T";"AT";34.23
"INDIC";"B-F";"OC1";"TOTAL";"T";"BE";35.7
"INDIC";"B-F";"OC1";"TOTAL";"T";"BG";10.68
"INDIC";"B-F";"OC1";"TOTAL";"T";"CY";25.66
"INDIC";"B-F";"OC1";"TOTAL";"T";"CZ";19.69
"INDIC";"B-F";"OC1";"TOTAL";"T";"DE";42.23
"INDIC";"B-F";"OC1";"TOTAL";"T";"DK";35.22
"INDIC";"B-F";"OC1";"TOTAL";"T";"EE";14.16
"INDIC";"B-F";"OC1";"TOTAL";"T";"EL";NA
"INDIC";"B-F";"OC1";"TOTAL";"T";"ES";27.48
"INDIC";"B-F";"OC1";"TOTAL";"T";"FI";35.13
"INDIC";"B-F";"OC1";"TOTAL";"T";"FR";29.98
"INDIC";"B-F";"OC1";"TOTAL";"T";"HR";NA
"INDIC";"B-F";"OC1";"TOTAL";"T";"HU";19.54
"INDIC";"B-F";"OC1";"TOTAL";"T";"IE";27.88
"INDIC";"B-F";"OC1";"TOTAL";"T";"IT";45.49
"INDIC";"B-F";"OC1";"TOTAL";"T";"LT";11.35
