"age";"unit";"iscedf13";"sex";"geo";"X2014"
"TOTAL";"NR";"F00";"F";"AT";NA
"TOTAL";"NR";"F00";"F";"BG";NA
"TOTAL";"NR";"F00";"F";"CY";NA
"TOTAL";"NR";"F00";"F";"DE";0
"TOTAL";"NR";"F00";"F";"EE";NA
"TOTAL";"NR";"F00";"F";"ES";NA
"TOTAL";"NR";"F00";"F";"FI";NA
"TOTAL";"NR";"F00";"F";"FR";NA
"TOTAL";"NR";"F00";"F";"HR";NA
"TOTAL";"NR";"F00";"F";"HU";NA
"TOTAL";"NR";"F00";"F";"LT";NA
"TOTAL";"NR";"F00";"F";"LV";NA
"TOTAL";"NR";"F00";"F";"MT";NA
"TOTAL";"NR";"F00";"F";"PL";NA
"TOTAL";"NR";"F00";"F";"PT";NA
"TOTAL";"NR";"F00";"F";"RO";NA
"TOTAL";"NR";"F00";"F";"SI";NA
"TOTAL";"NR";"F00";"F";"SK";NA
"TOTAL";"NR";"F00";"M";"AT";NA
"TOTAL";"NR";"F00";"M";"BG";NA
"TOTAL";"NR";"F00";"M";"CY";NA
"TOTAL";"NR";"F00";"M";"DE";0
"TOTAL";"NR";"F00";"M";"EE";NA
"TOTAL";"NR";"F00";"M";"ES";NA
"TOTAL";"NR";"F00";"M";"FI";NA
"TOTAL";"NR";"F00";"M";"FR";NA
"TOTAL";"NR";"F00";"M";"HR";NA
"TOTAL";"NR";"F00";"M";"HU";NA
"TOTAL";"NR";"F00";"M";"LT";NA
"TOTAL";"NR";"F00";"M";"LV";NA
"TOTAL";"NR";"F00";"M";"MT";NA
"TOTAL";"NR";"F00";"M";"PL";NA
"TOTAL";"NR";"F00";"M";"PT";NA
"TOTAL";"NR";"F00";"M";"RO";NA
"TOTAL";"NR";"F00";"M";"SI";NA
"TOTAL";"NR";"F00";"M";"SK";NA
"TOTAL";"NR";"F00";"T";"AT";NA
"TOTAL";"NR";"F00";"T";"BG";NA
"TOTAL";"NR";"F00";"T";"CY";NA
"TOTAL";"NR";"F00";"T";"DE";0
"TOTAL";"NR";"F00";"T";"EE";NA
"TOTAL";"NR";"F00";"T";"ES";NA
"TOTAL";"NR";"F00";"T";"FI";NA
"TOTAL";"NR";"F00";"T";"FR";NA
"TOTAL";"NR";"F00";"T";"HR";NA
"TOTAL";"NR";"F00";"T";"HU";NA
"TOTAL";"NR";"F00";"T";"LT";NA
"TOTAL";"NR";"F00";"T";"LV";NA
"TOTAL";"NR";"F00";"T";"MT";NA
"TOTAL";"NR";"F00";"T";"PL";NA
"TOTAL";"NR";"F00";"T";"PT";NA
"TOTAL";"NR";"F00";"T";"RO";NA
"TOTAL";"NR";"F00";"T";"SI";NA
"TOTAL";"NR";"F00";"T";"SK";NA
"TOTAL";"NR";"F01";"F";"AT";7838
"TOTAL";"NR";"F01";"F";"BE";7933
"TOTAL";"NR";"F01";"F";"BG";3718
"TOTAL";"NR";"F01";"F";"CY";1252
"TOTAL";"NR";"F01";"F";"CZ";9003
"TOTAL";"NR";"F01";"F";"DE";40573
"TOTAL";"NR";"F01";"F";"DK";3649
"TOTAL";"NR";"F01";"F";"EE";733
"TOTAL";"NR";"F01";"F";"EL";5067
"TOTAL";"NR";"F01";"F";"ES";56371
"TOTAL";"NR";"F01";"F";"FI";2759
"TOTAL";"NR";"F01";"F";"FR";14614
"TOTAL";"NR";"F01";"F";"HR";1350
"TOTAL";"NR";"F01";"F";"HU";8229
"TOTAL";"NR";"F01";"F";"IE";3058
"TOTAL";"NR";"F01";"F";"IT";22923
"TOTAL";"NR";"F01";"F";"LT";2342
"TOTAL";"NR";"F01";"F";"LU";297
"TOTAL";"NR";"F01";"F";"LV";986
"TOTAL";"NR";"F01";"F";"MT";247
"TOTAL";"NR";"F01";"F";"NL";12548
"TOTAL";"NR";"F01";"F";"PL";70748
"TOTAL";"NR";"F01";"F";"PT";5841
"TOTAL";"NR";"F01";"F";"RO";2892
"TOTAL";"NR";"F01";"F";"SE";8345
"TOTAL";"NR";"F01";"F";"SI";1626
"TOTAL";"NR";"F01";"F";"SK";6535
"TOTAL";"NR";"F01";"F";"UK";57538
"TOTAL";"NR";"F01";"M";"AT";1558
"TOTAL";"NR";"F01";"M";"BE";2067
"TOTAL";"NR";"F01";"M";"BG";1101
"TOTAL";"NR";"F01";"M";"CY";231
