"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PC_POP";"AT";14.1
"T";"TOTAL";"PC_POP";"BE";15.5
"T";"TOTAL";"PC_POP";"BE1";NA
"T";"TOTAL";"PC_POP";"BE2";NA
"T";"TOTAL";"PC_POP";"BE3";NA
"T";"TOTAL";"PC_POP";"BG";21.8
"T";"TOTAL";"PC_POP";"BG3";23.8
"T";"TOTAL";"PC_POP";"BG31";27
"T";"TOTAL";"PC_POP";"BG32";21.2
"T";"TOTAL";"PC_POP";"BG33";23.1
"T";"TOTAL";"PC_POP";"BG34";23.9
"T";"TOTAL";"PC_POP";"BG4";19.7
"T";"TOTAL";"PC_POP";"BG41";11.3
"T";"TOTAL";"PC_POP";"BG42";32
"T";"TOTAL";"PC_POP";"CY";14.4
"T";"TOTAL";"PC_POP";"CZ";9.7
"T";"TOTAL";"PC_POP";"CZ01";5.3
"T";"TOTAL";"PC_POP";"CZ02";5.3
"T";"TOTAL";"PC_POP";"CZ03";8.7
"T";"TOTAL";"PC_POP";"CZ04";14.1
"T";"TOTAL";"PC_POP";"CZ05";9.4
"T";"TOTAL";"PC_POP";"CZ06";8.1
"T";"TOTAL";"PC_POP";"CZ07";12.1
"T";"TOTAL";"PC_POP";"CZ08";16
"T";"TOTAL";"PC_POP";"DE";16.7
"T";"TOTAL";"PC_POP";"DK";12.1
"T";"TOTAL";"PC_POP";"DK01";12.1
"T";"TOTAL";"PC_POP";"DK02";10.8
"T";"TOTAL";"PC_POP";"DK03";13.2
"T";"TOTAL";"PC_POP";"DK04";11.7
"T";"TOTAL";"PC_POP";"DK05";12.6
"T";"TOTAL";"PC_POP";"EE";21.8
"T";"TOTAL";"PC_POP";"EL";22.1
"T";"TOTAL";"PC_POP";"EL3";15.6
"T";"TOTAL";"PC_POP";"EL4";27.2
"T";"TOTAL";"PC_POP";"EL5";25.4
"T";"TOTAL";"PC_POP";"EL6";26.1
"T";"TOTAL";"PC_POP";"ES";22.2
"T";"TOTAL";"PC_POP";"ES1";16.4
"T";"TOTAL";"PC_POP";"ES11";15.4
"T";"TOTAL";"PC_POP";"ES12";16.7
"T";"TOTAL";"PC_POP";"ES13";20.6
"T";"TOTAL";"PC_POP";"ES2";12.9
"T";"TOTAL";"PC_POP";"ES21";10.2
"T";"TOTAL";"PC_POP";"ES22";11.9
"T";"TOTAL";"PC_POP";"ES23";16.2
"T";"TOTAL";"PC_POP";"ES24";16.9
"T";"TOTAL";"PC_POP";"ES3";14.7
"T";"TOTAL";"PC_POP";"ES30";14.7
"T";"TOTAL";"PC_POP";"ES4";25.8
"T";"TOTAL";"PC_POP";"ES41";20.4
"T";"TOTAL";"PC_POP";"ES42";28.4
"T";"TOTAL";"PC_POP";"ES43";33.1
"T";"TOTAL";"PC_POP";"ES5";19.8
"T";"TOTAL";"PC_POP";"ES51";15.8
"T";"TOTAL";"PC_POP";"ES52";26.2
"T";"TOTAL";"PC_POP";"ES53";17.9
"T";"TOTAL";"PC_POP";"ES6";33.9
"T";"TOTAL";"PC_POP";"ES61";33.3
"T";"TOTAL";"PC_POP";"ES62";37.2
"T";"TOTAL";"PC_POP";"ES63";44.3
"T";"TOTAL";"PC_POP";"ES64";19.2
"T";"TOTAL";"PC_POP";"ES7";27.6
"T";"TOTAL";"PC_POP";"ES70";27.6
"T";"TOTAL";"PC_POP";"FI";12.8
"T";"TOTAL";"PC_POP";"FI1";12.8
"T";"TOTAL";"PC_POP";"FI1B";8.4
"T";"TOTAL";"PC_POP";"FI1C";14.5
"T";"TOTAL";"PC_POP";"FI1D";16.3
"T";"TOTAL";"PC_POP";"FI2";16.3
"T";"TOTAL";"PC_POP";"FR";13.3
"T";"TOTAL";"PC_POP";"HR";19.4
"T";"TOTAL";"PC_POP";"HU";15
"T";"TOTAL";"PC_POP";"HU1";10
"T";"TOTAL";"PC_POP";"HU2";12.5
"T";"TOTAL";"PC_POP";"HU3";20.6
"T";"TOTAL";"PC_POP";"IE";16.4
"T";"TOTAL";"PC_POP";"IE01";22.1
"T";"TOTAL";"PC_POP";"IE02";14.4
"T";"TOTAL";"PC_POP";"IT";19.4
"T";"TOTAL";"PC_POP";"ITC";11.1
"T";"TOTAL";"PC_POP";"ITC1";13.8
"T";"TOTAL";"PC_POP";"ITC2";8.4
"T";"TOTAL";"PC_POP";"ITC3";16.6
"T";"TOTAL";"PC_POP";"ITC4";9
"T";"TOTAL";"PC_POP";"ITF";31.6
"T";"TOTAL";"PC_POP";"ITF1";22
"T";"TOTAL";"PC_POP";"ITF2";32.1
"T";"TOTAL";"PC_POP";"ITF3";38.1
"T";"TOTAL";"PC_POP";"ITF4";25.8
"T";"TOTAL";"PC_POP";"ITF5";25.6
"T";"TOTAL";"PC_POP";"ITF6";32.4
"T";"TOTAL";"PC_POP";"ITG";36.6
"T";"TOTAL";"PC_POP";"ITG1";40.1
"T";"TOTAL";"PC_POP";"ITG2";25.9
"T";"TOTAL";"PC_POP";"ITH";10.4
"T";"TOTAL";"PC_POP";"ITH1";5.4
"T";"TOTAL";"PC_POP";"ITH2";10
"T";"TOTAL";"PC_POP";"ITH3";11.6
"T";"TOTAL";"PC_POP";"ITH4";9.2
"T";"TOTAL";"PC_POP";"ITH5";10.1
"T";"TOTAL";"PC_POP";"ITI";15.4
"T";"TOTAL";"PC_POP";"ITI1";11.6
"T";"TOTAL";"PC_POP";"ITI2";16.5
"T";"TOTAL";"PC_POP";"ITI3";12.2
"T";"TOTAL";"PC_POP";"ITI4";18.5
"T";"TOTAL";"PC_POP";"LT";19.1
"T";"TOTAL";"PC_POP";"LU";16.4
"T";"TOTAL";"PC_POP";"LV";21.2
"T";"TOTAL";"PC_POP";"MT";15.9
"T";"TOTAL";"PC_POP";"NL";11.6
"T";"TOTAL";"PC_POP";"NL1";11.8
"T";"TOTAL";"PC_POP";"NL2";11.3
"T";"TOTAL";"PC_POP";"NL3";12.5
"T";"TOTAL";"PC_POP";"NL4";9.8
"T";"TOTAL";"PC_POP";"PL";17
"T";"TOTAL";"PC_POP";"PL1";14.1
"T";"TOTAL";"PC_POP";"PL2";13.5
"T";"TOTAL";"PC_POP";"PL3";22.5
"T";"TOTAL";"PC_POP";"PL4";16.2
"T";"TOTAL";"PC_POP";"PL5";15.2
"T";"TOTAL";"PC_POP";"PL6";21.2
"T";"TOTAL";"PC_POP";"PT";19.5
"T";"TOTAL";"PC_POP";"RO";25.1
"T";"TOTAL";"PC_POP";"RO1";20.4
"T";"TOTAL";"PC_POP";"RO11";20.4
"T";"TOTAL";"PC_POP";"RO12";20.4
"T";"TOTAL";"PC_POP";"RO2";35.2
"T";"TOTAL";"PC_POP";"RO21";36.1
"T";"TOTAL";"PC_POP";"RO22";34
"T";"TOTAL";"PC_POP";"RO3";16.7
"T";"TOTAL";"PC_POP";"RO31";25.5
"T";"TOTAL";"PC_POP";"RO32";4.8
"T";"TOTAL";"PC_POP";"RO4";27.9
"T";"TOTAL";"PC_POP";"RO41";28.3
"T";"TOTAL";"PC_POP";"RO42";27.5
"T";"TOTAL";"PC_POP";"SE";15.1
"T";"TOTAL";"PC_POP";"SE1";12.6
"T";"TOTAL";"PC_POP";"SE11";10.5
"T";"TOTAL";"PC_POP";"SE12";15
"T";"TOTAL";"PC_POP";"SE2";16.5
"T";"TOTAL";"PC_POP";"SE21";18
"T";"TOTAL";"PC_POP";"SE22";16.6
"T";"TOTAL";"PC_POP";"SE23";15.9
"T";"TOTAL";"PC_POP";"SE3";17.5
"T";"TOTAL";"PC_POP";"SE31";19.2
"T";"TOTAL";"PC_POP";"SE32";19.1
"T";"TOTAL";"PC_POP";"SE33";13.7
"T";"TOTAL";"PC_POP";"SI";14.5
"T";"TOTAL";"PC_POP";"SK";12.6
"T";"TOTAL";"PC_POP";"SK01";7.8
"T";"TOTAL";"PC_POP";"SK02";10.4
"T";"TOTAL";"PC_POP";"SK03";15.3
"T";"TOTAL";"PC_POP";"SK04";14.9
"T";"TOTAL";"PC_POP";"UK";16.8
