"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PC_Y_LT60";"AT";9.1
"T";"TOTAL";"PC_Y_LT60";"BE";14.5
"T";"TOTAL";"PC_Y_LT60";"BE1";NA
"T";"TOTAL";"PC_Y_LT60";"BE2";NA
"T";"TOTAL";"PC_Y_LT60";"BE3";NA
"T";"TOTAL";"PC_Y_LT60";"BG";12
"T";"TOTAL";"PC_Y_LT60";"BG3";12.9
"T";"TOTAL";"PC_Y_LT60";"BG31";16.7
"T";"TOTAL";"PC_Y_LT60";"BG32";14
"T";"TOTAL";"PC_Y_LT60";"BG33";13.4
"T";"TOTAL";"PC_Y_LT60";"BG34";9.1
"T";"TOTAL";"PC_Y_LT60";"BG4";11.2
"T";"TOTAL";"PC_Y_LT60";"BG41";8.2
"T";"TOTAL";"PC_Y_LT60";"BG42";15.4
"T";"TOTAL";"PC_Y_LT60";"CY";9.7
"T";"TOTAL";"PC_Y_LT60";"CZ";7.6
"T";"TOTAL";"PC_Y_LT60";"CZ01";5.7
"T";"TOTAL";"PC_Y_LT60";"CZ02";3.9
"T";"TOTAL";"PC_Y_LT60";"CZ03";5.8
"T";"TOTAL";"PC_Y_LT60";"CZ04";18.1
"T";"TOTAL";"PC_Y_LT60";"CZ05";6.2
"T";"TOTAL";"PC_Y_LT60";"CZ06";4.3
"T";"TOTAL";"PC_Y_LT60";"CZ07";6.2
"T";"TOTAL";"PC_Y_LT60";"CZ08";12.9
"T";"TOTAL";"PC_Y_LT60";"DE";9.9
"T";"TOTAL";"PC_Y_LT60";"DK";11.7
"T";"TOTAL";"PC_Y_LT60";"DK01";11.7
"T";"TOTAL";"PC_Y_LT60";"DK02";14.3
"T";"TOTAL";"PC_Y_LT60";"DK03";9.9
"T";"TOTAL";"PC_Y_LT60";"DK04";12.8
"T";"TOTAL";"PC_Y_LT60";"DK05";9.3
"T";"TOTAL";"PC_Y_LT60";"EE";7.5
"T";"TOTAL";"PC_Y_LT60";"EL";17
"T";"TOTAL";"PC_Y_LT60";"EL3";17
"T";"TOTAL";"PC_Y_LT60";"EL4";13.5
"T";"TOTAL";"PC_Y_LT60";"EL5";17.7
"T";"TOTAL";"PC_Y_LT60";"EL6";17.8
"T";"TOTAL";"PC_Y_LT60";"ES";17.1
"T";"TOTAL";"PC_Y_LT60";"ES1";16
"T";"TOTAL";"PC_Y_LT60";"ES11";14.8
"T";"TOTAL";"PC_Y_LT60";"ES12";17.9
"T";"TOTAL";"PC_Y_LT60";"ES13";18.3
"T";"TOTAL";"PC_Y_LT60";"ES2";10.8
"T";"TOTAL";"PC_Y_LT60";"ES21";12.1
"T";"TOTAL";"PC_Y_LT60";"ES22";7.5
"T";"TOTAL";"PC_Y_LT60";"ES23";10.6
"T";"TOTAL";"PC_Y_LT60";"ES24";10.5
"T";"TOTAL";"PC_Y_LT60";"ES3";9.6
"T";"TOTAL";"PC_Y_LT60";"ES30";9.6
"T";"TOTAL";"PC_Y_LT60";"ES4";17.5
"T";"TOTAL";"PC_Y_LT60";"ES41";17.7
"T";"TOTAL";"PC_Y_LT60";"ES42";14.9
"T";"TOTAL";"PC_Y_LT60";"ES43";22.1
"T";"TOTAL";"PC_Y_LT60";"ES5";13.8
"T";"TOTAL";"PC_Y_LT60";"ES51";11.9
"T";"TOTAL";"PC_Y_LT60";"ES52";18.1
"T";"TOTAL";"PC_Y_LT60";"ES53";7.5
"T";"TOTAL";"PC_Y_LT60";"ES6";26.5
"T";"TOTAL";"PC_Y_LT60";"ES61";27.3
