"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"AVG";"AT";1.6
"T";"TOTAL";"AVG";"BE";2.2
"T";"TOTAL";"AVG";"BE1";NA
"T";"TOTAL";"AVG";"BE2";NA
"T";"TOTAL";"AVG";"BE3";NA
"T";"TOTAL";"AVG";"BG";1.1
"T";"TOTAL";"AVG";"BG3";1.2
"T";"TOTAL";"AVG";"BG31";1.2
"T";"TOTAL";"AVG";"BG32";1.3
"T";"TOTAL";"AVG";"BG33";1.1
"T";"TOTAL";"AVG";"BG34";1.1
"T";"TOTAL";"AVG";"BG4";1.1
"T";"TOTAL";"AVG";"BG41";1.1
"T";"TOTAL";"AVG";"BG42";1.1
"T";"TOTAL";"AVG";"CY";2
"T";"TOTAL";"AVG";"CZ";1.4
"T";"TOTAL";"AVG";"CZ0";1.4
"T";"TOTAL";"AVG";"CZ01";1.4
"T";"TOTAL";"AVG";"CZ02";1.5
"T";"TOTAL";"AVG";"CZ03";1.5
"T";"TOTAL";"AVG";"CZ04";1.4
"T";"TOTAL";"AVG";"CZ05";1.5
"T";"TOTAL";"AVG";"CZ06";1.4
"T";"TOTAL";"AVG";"CZ07";1.4
"T";"TOTAL";"AVG";"CZ08";1.3
"T";"TOTAL";"AVG";"DE";1.8
"T";"TOTAL";"AVG";"DK";1.9
"T";"TOTAL";"AVG";"DK0";1.9
"T";"TOTAL";"AVG";"DK01";1.8
"T";"TOTAL";"AVG";"DK02";2
"T";"TOTAL";"AVG";"DK03";2
"T";"TOTAL";"AVG";"DK04";2
"T";"TOTAL";"AVG";"DK05";2
"T";"TOTAL";"AVG";"EE";1.6
"T";"TOTAL";"AVG";"EL";1.2
"T";"TOTAL";"AVG";"EL3";1.2
"T";"TOTAL";"AVG";"EL4";1.2
"T";"TOTAL";"AVG";"EL5";1.2
"T";"TOTAL";"AVG";"EL6";1.3
"T";"TOTAL";"AVG";"ES";1.9
"T";"TOTAL";"AVG";"ES1";2.1
"T";"TOTAL";"AVG";"ES11";2.1
"T";"TOTAL";"AVG";"ES12";2.1
"T";"TOTAL";"AVG";"ES13";2
"T";"TOTAL";"AVG";"ES2";2.1
"T";"TOTAL";"AVG";"ES21";2
"T";"TOTAL";"AVG";"ES22";1.9
"T";"TOTAL";"AVG";"ES23";2.1
"T";"TOTAL";"AVG";"ES24";2.1
"T";"TOTAL";"AVG";"ES3";1.8
"T";"TOTAL";"AVG";"ES30";1.8
"T";"TOTAL";"AVG";"ES4";2.1
"T";"TOTAL";"AVG";"ES41";2.2
"T";"TOTAL";"AVG";"ES42";2
"T";"TOTAL";"AVG";"ES43";2.1
"T";"TOTAL";"AVG";"ES5";1.9
"T";"TOTAL";"AVG";"ES51";1.8
"T";"TOTAL";"AVG";"ES52";1.9
"T";"TOTAL";"AVG";"ES53";1.8
"T";"TOTAL";"AVG";"ES6";1.8
"T";"TOTAL";"AVG";"ES61";1.8
"T";"TOTAL";"AVG";"ES62";1.8
"T";"TOTAL";"AVG";"ES63";1.2
"T";"TOTAL";"AVG";"ES64";1.5
"T";"TOTAL";"AVG";"ES7";1.8
"T";"TOTAL";"AVG";"ES70";1.8
"T";"TOTAL";"AVG";"FI";1.9
"T";"TOTAL";"AVG";"FI1";1.9
"T";"TOTAL";"AVG";"FI19";2
"T";"TOTAL";"AVG";"FI1B";1.8
"T";"TOTAL";"AVG";"FI1C";1.9
"T";"TOTAL";"AVG";"FI1D";1.9
"T";"TOTAL";"AVG";"FI2";2.1
"T";"TOTAL";"AVG";"FI20";2.1
"T";"TOTAL";"AVG";"FR";1.8
"T";"TOTAL";"AVG";"HR";1.1
"T";"TOTAL";"AVG";"HU";1.2
"T";"TOTAL";"AVG";"HU1";1.2
"T";"TOTAL";"AVG";"HU2";1.1
"T";"TOTAL";"AVG";"HU3";1.2
"T";"TOTAL";"AVG";"IE";2
"T";"TOTAL";"AVG";"IE0";2
"T";"TOTAL";"AVG";"IE01";2.1
"T";"TOTAL";"AVG";"IE02";2
"T";"TOTAL";"AVG";"IT";1.4
"T";"TOTAL";"AVG";"ITC";1.4
"T";"TOTAL";"AVG";"ITC1";1.4
"T";"TOTAL";"AVG";"ITC2";1.5
"T";"TOTAL";"AVG";"ITC3";1.5
"T";"TOTAL";"AVG";"ITC4";1.4
"T";"TOTAL";"AVG";"ITF";1.2
"T";"TOTAL";"AVG";"ITF1";1.3
"T";"TOTAL";"AVG";"ITF2";1.7
"T";"TOTAL";"AVG";"ITF3";1.1
"T";"TOTAL";"AVG";"ITF4";1.3
"T";"TOTAL";"AVG";"ITF5";1.5
"T";"TOTAL";"AVG";"ITF6";1.3
"T";"TOTAL";"AVG";"ITG";1.4
"T";"TOTAL";"AVG";"ITG1";1.4
"T";"TOTAL";"AVG";"ITG2";1.6
"T";"TOTAL";"AVG";"ITH";1.5
"T";"TOTAL";"AVG";"ITH1";1.4
"T";"TOTAL";"AVG";"ITH2";1.3
"T";"TOTAL";"AVG";"ITH3";1.5
"T";"TOTAL";"AVG";"ITH4";1.6
"T";"TOTAL";"AVG";"ITH5";1.5
"T";"TOTAL";"AVG";"ITI";1.4
"T";"TOTAL";"AVG";"ITI1";1.5
"T";"TOTAL";"AVG";"ITI2";1.4
"T";"TOTAL";"AVG";"ITI3";1.3
"T";"TOTAL";"AVG";"ITI4";1.4
"T";"TOTAL";"AVG";"LT";1.4
"T";"TOTAL";"AVG";"LU";2
"T";"TOTAL";"AVG";"LV";1.2
"T";"TOTAL";"AVG";"MT";2.1
"T";"TOTAL";"AVG";"NL";1.9
"T";"TOTAL";"AVG";"NL1";2
"T";"TOTAL";"AVG";"NL2";1.9
"T";"TOTAL";"AVG";"NL3";1.9
"T";"TOTAL";"AVG";"NL4";2
"T";"TOTAL";"AVG";"PL";1.1
"T";"TOTAL";"AVG";"PL1";1.1
"T";"TOTAL";"AVG";"PL2";1.1
"T";"TOTAL";"AVG";"PL3";1
"T";"TOTAL";"AVG";"PL4";1.1
"T";"TOTAL";"AVG";"PL5";1.1
"T";"TOTAL";"AVG";"PL6";1
"T";"TOTAL";"AVG";"PT";1.7
"T";"TOTAL";"AVG";"RO";1
"T";"TOTAL";"AVG";"RO1";0.9
"T";"TOTAL";"AVG";"RO11";0.9
"T";"TOTAL";"AVG";"RO12";0.9
"T";"TOTAL";"AVG";"RO2";1
"T";"TOTAL";"AVG";"RO21";1
"T";"TOTAL";"AVG";"RO22";1.1
"T";"TOTAL";"AVG";"RO3";1.1
"T";"TOTAL";"AVG";"RO31";1.1
"T";"TOTAL";"AVG";"RO32";1
"T";"TOTAL";"AVG";"RO4";1.1
"T";"TOTAL";"AVG";"RO41";1.1
"T";"TOTAL";"AVG";"RO42";1
"T";"TOTAL";"AVG";"SE";1.8
"T";"TOTAL";"AVG";"SE1";1.6
"T";"TOTAL";"AVG";"SE11";1.6
"T";"TOTAL";"AVG";"SE12";1.7
"T";"TOTAL";"AVG";"SE2";1.8
"T";"TOTAL";"AVG";"SE21";1.9
"T";"TOTAL";"AVG";"SE22";1.8
"T";"TOTAL";"AVG";"SE23";1.8
"T";"TOTAL";"AVG";"SE3";1.9
"T";"TOTAL";"AVG";"SE31";1.9
"T";"TOTAL";"AVG";"SE32";1.9
"T";"TOTAL";"AVG";"SE33";1.8
"T";"TOTAL";"AVG";"SI";1.5
"T";"TOTAL";"AVG";"SI0";1.5
"T";"TOTAL";"AVG";"SK";1.1
"T";"TOTAL";"AVG";"SK0";1.1
"T";"TOTAL";"AVG";"SK01";1.2
"T";"TOTAL";"AVG";"SK02";1.2
"T";"TOTAL";"AVG";"SK03";1.1
"T";"TOTAL";"AVG";"SK04";1.1
"T";"TOTAL";"AVG";"UK";1.9
