"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PC_POP";"AT";4
"T";"TOTAL";"PC_POP";"BE";5.9
"T";"TOTAL";"PC_POP";"BE1";NA
"T";"TOTAL";"PC_POP";"BE2";NA
"T";"TOTAL";"PC_POP";"BE3";NA
"T";"TOTAL";"PC_POP";"BG";33.1
"T";"TOTAL";"PC_POP";"BG3";36.6
"T";"TOTAL";"PC_POP";"BG31";36
"T";"TOTAL";"PC_POP";"BG32";35.8
"T";"TOTAL";"PC_POP";"BG33";39
"T";"TOTAL";"PC_POP";"BG34";35.7
"T";"TOTAL";"PC_POP";"BG4";29.4
"T";"TOTAL";"PC_POP";"BG41";24.9
"T";"TOTAL";"PC_POP";"BG42";36
"T";"TOTAL";"PC_POP";"CY";15.3
"T";"TOTAL";"PC_POP";"CZ";6.7
"T";"TOTAL";"PC_POP";"CZ01";5.9
"T";"TOTAL";"PC_POP";"CZ02";3.7
"T";"TOTAL";"PC_POP";"CZ03";3.4
"T";"TOTAL";"PC_POP";"CZ04";13.5
"T";"TOTAL";"PC_POP";"CZ05";5.3
"T";"TOTAL";"PC_POP";"CZ06";4.5
"T";"TOTAL";"PC_POP";"CZ07";7.7
"T";"TOTAL";"PC_POP";"CZ08";11.9
"T";"TOTAL";"PC_POP";"DE";5
"T";"TOTAL";"PC_POP";"DK";3.2
"T";"TOTAL";"PC_POP";"DK01";3.3
"T";"TOTAL";"PC_POP";"DK02";4
"T";"TOTAL";"PC_POP";"DK03";3.8
"T";"TOTAL";"PC_POP";"DK04";2.3
"T";"TOTAL";"PC_POP";"DK05";3.1
"T";"TOTAL";"PC_POP";"EE";6.2
"T";"TOTAL";"PC_POP";"EL";21.5
"T";"TOTAL";"PC_POP";"EL3";20
"T";"TOTAL";"PC_POP";"EL4";23.9
"T";"TOTAL";"PC_POP";"EL5";20.5
"T";"TOTAL";"PC_POP";"EL6";24
"T";"TOTAL";"PC_POP";"ES";7.1
"T";"TOTAL";"PC_POP";"ES1";5.1
"T";"TOTAL";"PC_POP";"ES11";5.5
"T";"TOTAL";"PC_POP";"ES12";5.1
"T";"TOTAL";"PC_POP";"ES13";3.5
"T";"TOTAL";"PC_POP";"ES2";4.2
"T";"TOTAL";"PC_POP";"ES21";4.8
"T";"TOTAL";"PC_POP";"ES22";1.2
"T";"TOTAL";"PC_POP";"ES23";5.6
"T";"TOTAL";"PC_POP";"ES24";4.2
"T";"TOTAL";"PC_POP";"ES3";4.8
"T";"TOTAL";"PC_POP";"ES30";4.8
"T";"TOTAL";"PC_POP";"ES4";5.1
"T";"TOTAL";"PC_POP";"ES41";2.6
"T";"TOTAL";"PC_POP";"ES42";8.7
"T";"TOTAL";"PC_POP";"ES43";3.8
"T";"TOTAL";"PC_POP";"ES5";8.4
"T";"TOTAL";"PC_POP";"ES51";6.3
"T";"TOTAL";"PC_POP";"ES52";11.3
"T";"TOTAL";"PC_POP";"ES53";9.8
"T";"TOTAL";"PC_POP";"ES6";9.9
"T";"TOTAL";"PC_POP";"ES61";9.5
"T";"TOTAL";"PC_POP";"ES62";11.8
"T";"TOTAL";"PC_POP";"ES63";12.4
"T";"TOTAL";"PC_POP";"ES64";7.4
"T";"TOTAL";"PC_POP";"ES7";7.2
"T";"TOTAL";"PC_POP";"ES70";7.2
"T";"TOTAL";"PC_POP";"FI";2.8
"T";"TOTAL";"PC_POP";"FI1";2.8
"T";"TOTAL";"PC_POP";"FI1B";2.8
"T";"TOTAL";"PC_POP";"FI1C";2.7
"T";"TOTAL";"PC_POP";"FI1D";2.4
"T";"TOTAL";"PC_POP";"FI2";1
"T";"TOTAL";"PC_POP";"FR";4.8
"T";"TOTAL";"PC_POP";"HR";13.9
"T";"TOTAL";"PC_POP";"HU";24
"T";"TOTAL";"PC_POP";"HU1";23.6
"T";"TOTAL";"PC_POP";"HU2";21.5
"T";"TOTAL";"PC_POP";"HU3";26.3
"T";"TOTAL";"PC_POP";"IE";8.4
"T";"TOTAL";"PC_POP";"IE01";9.4
"T";"TOTAL";"PC_POP";"IE02";8
"T";"TOTAL";"PC_POP";"IT";11.6
"T";"TOTAL";"PC_POP";"ITC";8.1
"T";"TOTAL";"PC_POP";"ITC1";5.3
"T";"TOTAL";"PC_POP";"ITC2";9.4
"T";"TOTAL";"PC_POP";"ITC3";12.7
"T";"TOTAL";"PC_POP";"ITC4";8.5
"T";"TOTAL";"PC_POP";"ITF";18.3
"T";"TOTAL";"PC_POP";"ITF1";9.5
"T";"TOTAL";"PC_POP";"ITF2";8.9
"T";"TOTAL";"PC_POP";"ITF3";18.7
"T";"TOTAL";"PC_POP";"ITF4";23.2
"T";"TOTAL";"PC_POP";"ITF5";15.1
"T";"TOTAL";"PC_POP";"ITF6";15.6
"T";"TOTAL";"PC_POP";"ITG";23.2
"T";"TOTAL";"PC_POP";"ITG1";26
"T";"TOTAL";"PC_POP";"ITG2";14.7
"T";"TOTAL";"PC_POP";"ITH";5.8
"T";"TOTAL";"PC_POP";"ITH1";3.3
"T";"TOTAL";"PC_POP";"ITH2";2.8
"T";"TOTAL";"PC_POP";"ITH3";4.7
"T";"TOTAL";"PC_POP";"ITH4";7.2
"T";"TOTAL";"PC_POP";"ITH5";7.3
"T";"TOTAL";"PC_POP";"ITI";7.4
"T";"TOTAL";"PC_POP";"ITI1";7.3
"T";"TOTAL";"PC_POP";"ITI2";5.2
"T";"TOTAL";"PC_POP";"ITI3";9.5
"T";"TOTAL";"PC_POP";"ITI4";7.3
"T";"TOTAL";"PC_POP";"LT";13.6
"T";"TOTAL";"PC_POP";"LU";1.4
"T";"TOTAL";"PC_POP";"LV";19.2
"T";"TOTAL";"PC_POP";"MT";10.2
"T";"TOTAL";"PC_POP";"NL";3.2
"T";"TOTAL";"PC_POP";"NL1";1.8
"T";"TOTAL";"PC_POP";"NL2";3
"T";"TOTAL";"PC_POP";"NL3";4.1
"T";"TOTAL";"PC_POP";"NL4";1.8
"T";"TOTAL";"PC_POP";"PL";10.4
"T";"TOTAL";"PC_POP";"PL1";9.8
"T";"TOTAL";"PC_POP";"PL2";9.2
"T";"TOTAL";"PC_POP";"PL3";11.9
"T";"TOTAL";"PC_POP";"PL4";9.4
"T";"TOTAL";"PC_POP";"PL5";12.6
"T";"TOTAL";"PC_POP";"PL6";10.5
"T";"TOTAL";"PC_POP";"PT";10.6
"T";"TOTAL";"PC_POP";"RO";25.9
"T";"TOTAL";"PC_POP";"RO1";21.4
"T";"TOTAL";"PC_POP";"RO11";18
"T";"TOTAL";"PC_POP";"RO12";25
"T";"TOTAL";"PC_POP";"RO2";32.1
"T";"TOTAL";"PC_POP";"RO21";30.4
