"unit";"sex";"age";"nace_r2";"isco08";"indic_em";"geo";"X2014"
"NR";"T";"TOTAL";"A";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A-S";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B-S";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"C";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"D";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"E";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"F";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"G";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"H";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"I";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"J";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"K";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"L";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"M";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"N";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"O";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"P";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"Q";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"R";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"S";"OC0";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A-S";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B-S";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"C";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"D";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"E";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"F";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"G";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"H";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"I";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"J";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"K";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"L";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"M";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"N";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"O";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"P";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"Q";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"R";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"S";"OC1";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A-S";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B-S";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"C";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"D";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"E";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"F";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"G";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"H";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"I";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"J";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"K";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"L";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"M";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"N";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"O";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"P";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"Q";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"R";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"S";"OC2";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"A-S";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"B-S";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"C";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"D";"OC3";"JOBTOT";"AT";NA
"NR";"T";"TOTAL";"E";"OC3";"JOBTOT";"AT";NA
