"sex";"age";"unit";"isco08";"isced11";"mgstatus";"geo";"X2014"
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"IMG";"AT";NA
"T";"TOTAL";"THS_PER";"OC0";"ED0-2";"TOTAL";"AT";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"IMG";"AT";NA
"T";"TOTAL";"THS_PER";"OC0";"ED3_4";"TOTAL";"AT";8.2
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"IMG";"AT";NA
"T";"TOTAL";"THS_PER";"OC0";"ED5-8";"TOTAL";"AT";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"IMG";"AT";NA
"T";"TOTAL";"THS_PER";"OC0";"TOTAL";"TOTAL";"AT";11.8
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"IMG";"AT";NA
"T";"TOTAL";"THS_PER";"OC1";"ED0-2";"TOTAL";"AT";NA
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"IMG";"AT";10.8
"T";"TOTAL";"THS_PER";"OC1";"ED3_4";"TOTAL";"AT";59.5
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"IMG";"AT";23.5
"T";"TOTAL";"THS_PER";"OC1";"ED5-8";"TOTAL";"AT";92.1
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"IMG";"AT";34.6
"T";"TOTAL";"THS_PER";"OC1";"TOTAL";"TOTAL";"AT";154.8
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"IMG";"AT";NA
"T";"TOTAL";"THS_PER";"OC2";"ED0-2";"TOTAL";"AT";6.8
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"IMG";"AT";22.9
"T";"TOTAL";"THS_PER";"OC2";"ED3_4";"TOTAL";"AT";104.8
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"IMG";"AT";106.6
"T";"TOTAL";"THS_PER";"OC2";"ED5-8";"TOTAL";"AT";430.8
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"IMG";"AT";132.2
"T";"TOTAL";"THS_PER";"OC2";"TOTAL";"TOTAL";"AT";542.5
"T";"TOTAL";"THS_PER";"OC3";"ED0-2";"IMG";"AT";7.7
