"unit";"sex";"age";"isced11";"geo";"X2014"
"THS";"F";"Y15-24";"ED0-2";"AT";56.8
"THS";"F";"Y15-24";"ED0-2";"AT1";19.6
"THS";"F";"Y15-24";"ED0-2";"AT11";NA
"THS";"F";"Y15-24";"ED0-2";"AT12";10.7
"THS";"F";"Y15-24";"ED0-2";"AT13";7.9
"THS";"F";"Y15-24";"ED0-2";"AT2";11.2
"THS";"F";"Y15-24";"ED0-2";"AT21";3.4
"THS";"F";"Y15-24";"ED0-2";"AT22";7.8
"THS";"F";"Y15-24";"ED0-2";"AT3";26
"THS";"F";"Y15-24";"ED0-2";"AT31";12.3
"THS";"F";"Y15-24";"ED0-2";"AT32";3.8
"THS";"F";"Y15-24";"ED0-2";"AT33";6.5
"THS";"F";"Y15-24";"ED0-2";"AT34";3.4
"THS";"F";"Y15-24";"ED0-2";"BE";20.2
"THS";"F";"Y15-24";"ED0-2";"BE1";2.4
"THS";"F";"Y15-24";"ED0-2";"BE10";2.4
"THS";"F";"Y15-24";"ED0-2";"BE2";11.3
"THS";"F";"Y15-24";"ED0-2";"BE21";3.2
"THS";"F";"Y15-24";"ED0-2";"BE22";NA
"THS";"F";"Y15-24";"ED0-2";"BE23";2.6
"THS";"F";"Y15-24";"ED0-2";"BE24";NA
"THS";"F";"Y15-24";"ED0-2";"BE25";2.7
"THS";"F";"Y15-24";"ED0-2";"BE3";6.5
"THS";"F";"Y15-24";"ED0-2";"BE31";NA
"THS";"F";"Y15-24";"ED0-2";"BE32";2.5
"THS";"F";"Y15-24";"ED0-2";"BE33";2.3
"THS";"F";"Y15-24";"ED0-2";"BE34";NA
"THS";"F";"Y15-24";"ED0-2";"BE35";NA
"THS";"F";"Y15-24";"ED0-2";"BG";4.1
"THS";"F";"Y15-24";"ED0-2";"BG3";NA
"THS";"F";"Y15-24";"ED0-2";"BG31";NA
"THS";"F";"Y15-24";"ED0-2";"BG32";NA
"THS";"F";"Y15-24";"ED0-2";"BG33";NA
"THS";"F";"Y15-24";"ED0-2";"BG34";NA
"THS";"F";"Y15-24";"ED0-2";"BG4";NA
"THS";"F";"Y15-24";"ED0-2";"BG41";NA
"THS";"F";"Y15-24";"ED0-2";"BG42";NA
"THS";"F";"Y15-24";"ED0-2";"CY";0.8
"THS";"F";"Y15-24";"ED0-2";"CY0";0.8
"THS";"F";"Y15-24";"ED0-2";"CY00";0.8
"THS";"F";"Y15-24";"ED0-2";"CZ";7.5
"THS";"F";"Y15-24";"ED0-2";"CZ0";7.5
"THS";"F";"Y15-24";"ED0-2";"CZ01";NA
"THS";"F";"Y15-24";"ED0-2";"CZ02";0.6
"THS";"F";"Y15-24";"ED0-2";"CZ03";1.1
"THS";"F";"Y15-24";"ED0-2";"CZ04";2
"THS";"F";"Y15-24";"ED0-2";"CZ05";0.5
"THS";"F";"Y15-24";"ED0-2";"CZ06";1.3
"THS";"F";"Y15-24";"ED0-2";"CZ07";0.8
"THS";"F";"Y15-24";"ED0-2";"CZ08";1
"THS";"F";"Y15-24";"ED0-2";"DE";569
"THS";"F";"Y15-24";"ED0-2";"DE1";105.1
"THS";"F";"Y15-24";"ED0-2";"DE11";39.2
"THS";"F";"Y15-24";"ED0-2";"DE12";24.3
"THS";"F";"Y15-24";"ED0-2";"DE13";24.4
"THS";"F";"Y15-24";"ED0-2";"DE14";17.2
"THS";"F";"Y15-24";"ED0-2";"DE2";113.9
"THS";"F";"Y15-24";"ED0-2";"DE21";37.5
"THS";"F";"Y15-24";"ED0-2";"DE22";12.2
"THS";"F";"Y15-24";"ED0-2";"DE23";9.9
"THS";"F";"Y15-24";"ED0-2";"DE24";9.6
"THS";"F";"Y15-24";"ED0-2";"DE25";13.9
"THS";"F";"Y15-24";"ED0-2";"DE26";13.8
"THS";"F";"Y15-24";"ED0-2";"DE27";16.8
"THS";"F";"Y15-24";"ED0-2";"DE3";13.8
"THS";"F";"Y15-24";"ED0-2";"DE30";13.8
"THS";"F";"Y15-24";"ED0-2";"DE4";8
"THS";"F";"Y15-24";"ED0-2";"DE40";8
"THS";"F";"Y15-24";"ED0-2";"DE5";5.4
"THS";"F";"Y15-24";"ED0-2";"DE50";5.4
"THS";"F";"Y15-24";"ED0-2";"DE6";8.4
"THS";"F";"Y15-24";"ED0-2";"DE60";8.4
"THS";"F";"Y15-24";"ED0-2";"DE7";43.9
