"age";"unit";"sex";"worktime";"geo";"X2014"
"TOTAL";"THS";"F";"FT";"AT";1029
"TOTAL";"THS";"F";"FT";"AT1";462.8
"TOTAL";"THS";"F";"FT";"AT11";35.3
"TOTAL";"THS";"F";"FT";"AT12";201.1
"TOTAL";"THS";"F";"FT";"AT13";226.4
"TOTAL";"THS";"F";"FT";"AT2";203.3
"TOTAL";"THS";"F";"FT";"AT21";64.3
"TOTAL";"THS";"F";"FT";"AT22";139
"TOTAL";"THS";"F";"FT";"AT3";362.8
"TOTAL";"THS";"F";"FT";"AT31";167
"TOTAL";"THS";"F";"FT";"AT32";65.8
"TOTAL";"THS";"F";"FT";"AT33";87.2
"TOTAL";"THS";"F";"FT";"AT34";42.8
"TOTAL";"THS";"F";"FT";"BE";1236.2
"TOTAL";"THS";"F";"FT";"BE1";135.4
"TOTAL";"THS";"F";"FT";"BE10";135.4
"TOTAL";"THS";"F";"FT";"BE2";738
"TOTAL";"THS";"F";"FT";"BE21";198.2
"TOTAL";"THS";"F";"FT";"BE22";85.6
"TOTAL";"THS";"F";"FT";"BE23";181.4
"TOTAL";"THS";"F";"FT";"BE24";141.4
"TOTAL";"THS";"F";"FT";"BE25";131.5
"TOTAL";"THS";"F";"FT";"BE3";362.8
"TOTAL";"THS";"F";"FT";"BE31";48.8
"TOTAL";"THS";"F";"FT";"BE32";131.8
"TOTAL";"THS";"F";"FT";"BE33";103.6
"TOTAL";"THS";"F";"FT";"BE34";26
"TOTAL";"THS";"F";"FT";"BE35";52.6
"TOTAL";"THS";"F";"FT";"BG";1361.4
"TOTAL";"THS";"F";"FT";"BG3";622.2
"TOTAL";"THS";"F";"FT";"BG31";130.1
"TOTAL";"THS";"F";"FT";"BG32";141.2
"TOTAL";"THS";"F";"FT";"BG33";171.2
"TOTAL";"THS";"F";"FT";"BG34";179.8
"TOTAL";"THS";"F";"FT";"BG4";739.1
"TOTAL";"THS";"F";"FT";"BG41";467.2
"TOTAL";"THS";"F";"FT";"BG42";271.9
"TOTAL";"THS";"F";"FT";"CY";147
"TOTAL";"THS";"F";"FT";"CY0";147
"TOTAL";"THS";"F";"FT";"CY00";147
"TOTAL";"THS";"F";"FT";"CZ";1932.5
"TOTAL";"THS";"F";"FT";"CZ0";1932.5
"TOTAL";"THS";"F";"FT";"CZ01";246
"TOTAL";"THS";"F";"FT";"CZ02";249.2
"TOTAL";"THS";"F";"FT";"CZ03";227
"TOTAL";"THS";"F";"FT";"CZ04";198.8
"TOTAL";"THS";"F";"FT";"CZ05";273
"TOTAL";"THS";"F";"FT";"CZ06";304.5
"TOTAL";"THS";"F";"FT";"CZ07";218.6
"TOTAL";"THS";"F";"FT";"CZ08";215.5
"TOTAL";"THS";"F";"FT";"DE";9846.8
"TOTAL";"THS";"F";"FT";"DE1";1268.5
"TOTAL";"THS";"F";"FT";"DE11";488.4
"TOTAL";"THS";"F";"FT";"DE12";318.4
"TOTAL";"THS";"F";"FT";"DE13";258.7
"TOTAL";"THS";"F";"FT";"DE14";203
"TOTAL";"THS";"F";"FT";"DE2";1603.8
"TOTAL";"THS";"F";"FT";"DE21";629.6
"TOTAL";"THS";"F";"FT";"DE22";135.6
"TOTAL";"THS";"F";"FT";"DE23";143.2
"TOTAL";"THS";"F";"FT";"DE24";118
"TOTAL";"THS";"F";"FT";"DE25";219.2
"TOTAL";"THS";"F";"FT";"DE26";146.2
"TOTAL";"THS";"F";"FT";"DE27";211.9
"TOTAL";"THS";"F";"FT";"DE3";501.9
"TOTAL";"THS";"F";"FT";"DE30";501.9
"TOTAL";"THS";"F";"FT";"DE4";365.4
"TOTAL";"THS";"F";"FT";"DE40";365.4
"TOTAL";"THS";"F";"FT";"DE5";74.1
"TOTAL";"THS";"F";"FT";"DE50";74.1
"TOTAL";"THS";"F";"FT";"DE6";258.8
"TOTAL";"THS";"F";"FT";"DE60";258.8
"TOTAL";"THS";"F";"FT";"DE7";720.8
"TOTAL";"THS";"F";"FT";"DE71";482.5
"TOTAL";"THS";"F";"FT";"DE72";110.3
"TOTAL";"THS";"F";"FT";"DE73";128
"TOTAL";"THS";"F";"FT";"DE8";210
"TOTAL";"THS";"F";"FT";"DE80";210
"TOTAL";"THS";"F";"FT";"DE9";876.3
"TOTAL";"THS";"F";"FT";"DE91";176.1
"TOTAL";"THS";"F";"FT";"DE92";251.1
"TOTAL";"THS";"F";"FT";"DE93";184.8
"TOTAL";"THS";"F";"FT";"DE94";264.3
"TOTAL";"THS";"F";"FT";"DEA";1939.9
"TOTAL";"THS";"F";"FT";"DEA1";582.7
"TOTAL";"THS";"F";"FT";"DEA2";509.1
"TOTAL";"THS";"F";"FT";"DEA3";261.6
"TOTAL";"THS";"F";"FT";"DEA4";212.2
"TOTAL";"THS";"F";"FT";"DEA5";374.3
"TOTAL";"THS";"F";"FT";"DEB";452.2
"TOTAL";"THS";"F";"FT";"DEB1";158.9
"TOTAL";"THS";"F";"FT";"DEB2";59.6
"TOTAL";"THS";"F";"FT";"DEB3";233.8
"TOTAL";"THS";"F";"FT";"DEC";110.5
"TOTAL";"THS";"F";"FT";"DEC0";110.5
"TOTAL";"THS";"F";"FT";"DED";539.7
"TOTAL";"THS";"F";"FT";"DED2";207.6
"TOTAL";"THS";"F";"FT";"DED4";189.8
"TOTAL";"THS";"F";"FT";"DED5";142.3
"TOTAL";"THS";"F";"FT";"DEE";303.8
"TOTAL";"THS";"F";"FT";"DEE0";303.8
"TOTAL";"THS";"F";"FT";"DEF";319.6
"TOTAL";"THS";"F";"FT";"DEF0";319.6
"TOTAL";"THS";"F";"FT";"DEG";301.4
"TOTAL";"THS";"F";"FT";"DEG0";301.4
"TOTAL";"THS";"F";"FT";"DK";824.2
"TOTAL";"THS";"F";"FT";"DK0";824.2
"TOTAL";"THS";"F";"FT";"DK01";281.6
"TOTAL";"THS";"F";"FT";"DK02";119.7
"TOTAL";"THS";"F";"FT";"DK03";160.8
"TOTAL";"THS";"F";"FT";"DK04";178.5
"TOTAL";"THS";"F";"FT";"DK05";83.6
"TOTAL";"THS";"F";"FT";"EE";265.8
"TOTAL";"THS";"F";"FT";"EE0";265.8
"TOTAL";"THS";"F";"FT";"EE00";265.8
"TOTAL";"THS";"F";"FT";"EL";1284.4
"TOTAL";"THS";"F";"FT";"EL3";500.4
"TOTAL";"THS";"F";"FT";"EL30";500.4
"TOTAL";"THS";"F";"FT";"EL4";149.8
"TOTAL";"THS";"F";"FT";"EL41";20.5
"TOTAL";"THS";"F";"FT";"EL42";49.9
"TOTAL";"THS";"F";"FT";"EL43";79.4
"TOTAL";"THS";"F";"FT";"EL5";342.6
"TOTAL";"THS";"F";"FT";"EL51";72.5
"TOTAL";"THS";"F";"FT";"EL52";204
"TOTAL";"THS";"F";"FT";"EL53";26.8
"TOTAL";"THS";"F";"FT";"EL54";39.3
"TOTAL";"THS";"F";"FT";"EL6";291.6
"TOTAL";"THS";"F";"FT";"EL61";70.7
"TOTAL";"THS";"F";"FT";"EL62";26.4
"TOTAL";"THS";"F";"FT";"EL63";70.3
"TOTAL";"THS";"F";"FT";"EL64";57.2
"TOTAL";"THS";"F";"FT";"EL65";67
"TOTAL";"THS";"F";"FT";"ES";5879.9
"TOTAL";"THS";"F";"FT";"ES1";586.4
"TOTAL";"THS";"F";"FT";"ES11";366.7
"TOTAL";"THS";"F";"FT";"ES12";139.7
"TOTAL";"THS";"F";"FT";"ES13";79.9
"TOTAL";"THS";"F";"FT";"ES2";574.4
"TOTAL";"THS";"F";"FT";"ES21";282.6
"TOTAL";"THS";"F";"FT";"ES22";82.1
"TOTAL";"THS";"F";"FT";"ES23";40.2
"TOTAL";"THS";"F";"FT";"ES24";169.5
"TOTAL";"THS";"F";"FT";"ES3";1025.5
"TOTAL";"THS";"F";"FT";"ES30";1025.5
"TOTAL";"THS";"F";"FT";"ES4";615.7
"TOTAL";"THS";"F";"FT";"ES41";291.1
"TOTAL";"THS";"F";"FT";"ES42";217.8
"TOTAL";"THS";"F";"FT";"ES43";106.8
"TOTAL";"THS";"F";"FT";"ES5";1836.5
"TOTAL";"THS";"F";"FT";"ES51";1099.1
"TOTAL";"THS";"F";"FT";"ES52";561.2
"TOTAL";"THS";"F";"FT";"ES53";176.1
"TOTAL";"THS";"F";"FT";"ES6";981.7
"TOTAL";"THS";"F";"FT";"ES61";805.3
"TOTAL";"THS";"F";"FT";"ES62";161.1
"TOTAL";"THS";"F";"FT";"ES63";7.9
"TOTAL";"THS";"F";"FT";"ES64";7.4
"TOTAL";"THS";"F";"FT";"ES7";259.8
"TOTAL";"THS";"F";"FT";"ES70";259.8
"TOTAL";"THS";"F";"FT";"FI";952
"TOTAL";"THS";"F";"FT";"FI1";946.4
"TOTAL";"THS";"F";"FT";"FI19";228.3
"TOTAL";"THS";"F";"FT";"FI1B";321.4
"TOTAL";"THS";"F";"FT";"FI1C";190.1
"TOTAL";"THS";"F";"FT";"FI1D";206.7
"TOTAL";"THS";"F";"FT";"FI2";5.5
"TOTAL";"THS";"F";"FT";"FI20";5.5
"TOTAL";"THS";"F";"FT";"FR";8805.6
"TOTAL";"THS";"F";"FT";"FR1";1990
"TOTAL";"THS";"F";"FT";"FR10";1990
"TOTAL";"THS";"F";"FT";"FR2";1394.9
"TOTAL";"THS";"F";"FT";"FR21";160.1
"TOTAL";"THS";"F";"FT";"FR22";242.3
"TOTAL";"THS";"F";"FT";"FR23";233.9
"TOTAL";"THS";"F";"FT";"FR24";336.6
"TOTAL";"THS";"F";"FT";"FR25";197.7
"TOTAL";"THS";"F";"FT";"FR26";224.3
"TOTAL";"THS";"F";"FT";"FR3";467.8
"TOTAL";"THS";"F";"FT";"FR30";467.8
"TOTAL";"THS";"F";"FT";"FR4";672.8
"TOTAL";"THS";"F";"FT";"FR41";273.3
"TOTAL";"THS";"F";"FT";"FR42";252.3
"TOTAL";"THS";"F";"FT";"FR43";147.2
"TOTAL";"THS";"F";"FT";"FR5";1124.3
