"unit";"sex";"age";"geo";"X2014"
"THS";"F";"Y15-24";"AT";243.6
"THS";"F";"Y15-24";"AT1";95.9
"THS";"F";"Y15-24";"AT11";5.9
"THS";"F";"Y15-24";"AT12";45.8
"THS";"F";"Y15-24";"AT13";44.2
"THS";"F";"Y15-24";"AT2";50
"THS";"F";"Y15-24";"AT21";15
"THS";"F";"Y15-24";"AT22";35
"THS";"F";"Y15-24";"AT3";97.7
"THS";"F";"Y15-24";"AT31";46.1
"THS";"F";"Y15-24";"AT32";15.6
"THS";"F";"Y15-24";"AT33";23.5
"THS";"F";"Y15-24";"AT34";12.5
"THS";"F";"Y15-24";"BE";142
"THS";"F";"Y15-24";"BE1";11.5
"THS";"F";"Y15-24";"BE10";11.5
"THS";"F";"Y15-24";"BE2";91
"THS";"F";"Y15-24";"BE21";23.1
"THS";"F";"Y15-24";"BE22";14.1
"THS";"F";"Y15-24";"BE23";23.6
"THS";"F";"Y15-24";"BE24";12.5
"THS";"F";"Y15-24";"BE25";17.7
"THS";"F";"Y15-24";"BE3";39.5
"THS";"F";"Y15-24";"BE31";3.6
"THS";"F";"Y15-24";"BE32";13.9
"THS";"F";"Y15-24";"BE33";12.2
"THS";"F";"Y15-24";"BE34";3.7
"THS";"F";"Y15-24";"BE35";6
"THS";"F";"Y15-24";"BG";61.9
"THS";"F";"Y15-24";"BG3";28.1
"THS";"F";"Y15-24";"BG31";6.7
"THS";"F";"Y15-24";"BG32";6
"THS";"F";"Y15-24";"BG33";8.7
"THS";"F";"Y15-24";"BG34";6.8
"THS";"F";"Y15-24";"BG4";33.7
"THS";"F";"Y15-24";"BG41";21.3
"THS";"F";"Y15-24";"BG42";12.4
"THS";"F";"Y15-24";"CY";14.3
"THS";"F";"Y15-24";"CY0";14.3
"THS";"F";"Y15-24";"CY00";14.3
"THS";"F";"Y15-24";"CZ";116.6
"THS";"F";"Y15-24";"CZ0";116.6
"THS";"F";"Y15-24";"CZ01";11.3
"THS";"F";"Y15-24";"CZ02";13
"THS";"F";"Y15-24";"CZ03";12.4
"THS";"F";"Y15-24";"CZ04";12
"THS";"F";"Y15-24";"CZ05";19.3
"THS";"F";"Y15-24";"CZ06";20.2
"THS";"F";"Y15-24";"CZ07";14.2
"THS";"F";"Y15-24";"CZ08";14.2
"THS";"F";"Y15-24";"DE";1816.3
"THS";"F";"Y15-24";"DE1";302.2
"THS";"F";"Y15-24";"DE11";113
"THS";"F";"Y15-24";"DE12";78.1
"THS";"F";"Y15-24";"DE13";62.4
"THS";"F";"Y15-24";"DE14";48.7
"THS";"F";"Y15-24";"DE2";344.2
"THS";"F";"Y15-24";"DE21";116.8
"THS";"F";"Y15-24";"DE22";36.3
"THS";"F";"Y15-24";"DE23";32.5
"THS";"F";"Y15-24";"DE24";28.2
"THS";"F";"Y15-24";"DE25";42.9
"THS";"F";"Y15-24";"DE26";38.1
"THS";"F";"Y15-24";"DE27";49.4
"THS";"F";"Y15-24";"DE3";65.1
"THS";"F";"Y15-24";"DE30";65.1
"THS";"F";"Y15-24";"DE4";29.4
"THS";"F";"Y15-24";"DE40";29.4
"THS";"F";"Y15-24";"DE5";14.4
"THS";"F";"Y15-24";"DE50";14.4
"THS";"F";"Y15-24";"DE6";39.1
"THS";"F";"Y15-24";"DE60";39.1
"THS";"F";"Y15-24";"DE7";138
"THS";"F";"Y15-24";"DE71";80.8
"THS";"F";"Y15-24";"DE72";28.4
"THS";"F";"Y15-24";"DE73";28.8
"THS";"F";"Y15-24";"DE8";25.8
"THS";"F";"Y15-24";"DE80";25.8
"THS";"F";"Y15-24";"DE9";178
"THS";"F";"Y15-24";"DE91";33
"THS";"F";"Y15-24";"DE92";47.5
"THS";"F";"Y15-24";"DE93";37.5
"THS";"F";"Y15-24";"DE94";60
"THS";"F";"Y15-24";"DEA";366
"THS";"F";"Y15-24";"DEA1";100.9
"THS";"F";"Y15-24";"DEA2";87.3
"THS";"F";"Y15-24";"DEA3";61.3
"THS";"F";"Y15-24";"DEA4";42
"THS";"F";"Y15-24";"DEA5";74.5
"THS";"F";"Y15-24";"DEB";96.5
"THS";"F";"Y15-24";"DEB1";34
"THS";"F";"Y15-24";"DEB2";17.6
"THS";"F";"Y15-24";"DEB3";44.9
"THS";"F";"Y15-24";"DEC";20.2
"THS";"F";"Y15-24";"DEC0";20.2
"THS";"F";"Y15-24";"DED";68.9
"THS";"F";"Y15-24";"DED2";29.4
"THS";"F";"Y15-24";"DED4";21.7
"THS";"F";"Y15-24";"DED5";17.8
"THS";"F";"Y15-24";"DEE";31.3
"THS";"F";"Y15-24";"DEE0";31.3
"THS";"F";"Y15-24";"DEF";66.3
"THS";"F";"Y15-24";"DEF0";66.3
"THS";"F";"Y15-24";"DEG";30.9
"THS";"F";"Y15-24";"DEG0";30.9
"THS";"F";"Y15-24";"DK";192.3
"THS";"F";"Y15-24";"DK0";192.3
"THS";"F";"Y15-24";"DK01";64.2
"THS";"F";"Y15-24";"DK02";22.7
"THS";"F";"Y15-24";"DK03";37.6
"THS";"F";"Y15-24";"DK04";48
"THS";"F";"Y15-24";"DK05";19.8
"THS";"F";"Y15-24";"EE";23.7
"THS";"F";"Y15-24";"EE0";23.7
"THS";"F";"Y15-24";"EE00";23.7
"THS";"F";"Y15-24";"EL";60.1
"THS";"F";"Y15-24";"EL3";24.2
"THS";"F";"Y15-24";"EL30";24.2
"THS";"F";"Y15-24";"EL4";10.2
"THS";"F";"Y15-24";"EL41";NA
"THS";"F";"Y15-24";"EL42";4.5
"THS";"F";"Y15-24";"EL43";4.6
"THS";"F";"Y15-24";"EL5";14.4
"THS";"F";"Y15-24";"EL51";3.8
"THS";"F";"Y15-24";"EL52";8.6
"THS";"F";"Y15-24";"EL53";NA
"THS";"F";"Y15-24";"EL54";NA
"THS";"F";"Y15-24";"EL6";11.2
"THS";"F";"Y15-24";"EL61";1.9
"THS";"F";"Y15-24";"EL62";1.4
"THS";"F";"Y15-24";"EL63";3.1
"THS";"F";"Y15-24";"EL64";2.2
"THS";"F";"Y15-24";"EL65";2.8
"THS";"F";"Y15-24";"ES";350.5
"THS";"F";"Y15-24";"ES1";25.9
"THS";"F";"Y15-24";"ES11";16.9
"THS";"F";"Y15-24";"ES12";5.9
"THS";"F";"Y15-24";"ES13";3
"THS";"F";"Y15-24";"ES2";31.1
"THS";"F";"Y15-24";"ES21";12.6
"THS";"F";"Y15-24";"ES22";6
"THS";"F";"Y15-24";"ES23";2.7
"THS";"F";"Y15-24";"ES24";9.9
"THS";"F";"Y15-24";"ES3";53.2
"THS";"F";"Y15-24";"ES30";53.2
"THS";"F";"Y15-24";"ES4";35.9
"THS";"F";"Y15-24";"ES41";12.8
"THS";"F";"Y15-24";"ES42";14.9
"THS";"F";"Y15-24";"ES43";8.3
"THS";"F";"Y15-24";"ES5";119.3
"THS";"F";"Y15-24";"ES51";73
"THS";"F";"Y15-24";"ES52";35.9
"THS";"F";"Y15-24";"ES53";10.4
"THS";"F";"Y15-24";"ES6";68.7
"THS";"F";"Y15-24";"ES61";57.7
"THS";"F";"Y15-24";"ES62";10.6
"THS";"F";"Y15-24";"ES63";NA
"THS";"F";"Y15-24";"ES64";NA
"THS";"F";"Y15-24";"ES7";16.3
"THS";"F";"Y15-24";"ES70";16.3
"THS";"F";"Y15-24";"FI";136.3
"THS";"F";"Y15-24";"FI1";135.6
"THS";"F";"Y15-24";"FI19";33.9
"THS";"F";"Y15-24";"FI1B";45.5
"THS";"F";"Y15-24";"FI1C";26
"THS";"F";"Y15-24";"FI1D";30.2
"THS";"F";"Y15-24";"FI2";NA
"THS";"F";"Y15-24";"FI20";NA
"THS";"F";"Y15-24";"FR";956.8
"THS";"F";"Y15-24";"FR1";185.3
"THS";"F";"Y15-24";"FR10";185.3
"THS";"F";"Y15-24";"FR2";153.3
"THS";"F";"Y15-24";"FR21";18.8
"THS";"F";"Y15-24";"FR22";27.6
"THS";"F";"Y15-24";"FR23";27.4
"THS";"F";"Y15-24";"FR24";32.2
"THS";"F";"Y15-24";"FR25";24.8
"THS";"F";"Y15-24";"FR26";22.6
"THS";"F";"Y15-24";"FR3";63.4
"THS";"F";"Y15-24";"FR30";63.4
"THS";"F";"Y15-24";"FR4";91.9
"THS";"F";"Y15-24";"FR41";38.4
"THS";"F";"Y15-24";"FR42";37.2
"THS";"F";"Y15-24";"FR43";16.2
"THS";"F";"Y15-24";"FR5";124.6
"THS";"F";"Y15-24";"FR51";49.9
"THS";"F";"Y15-24";"FR52";45.7
"THS";"F";"Y15-24";"FR53";29
"THS";"F";"Y15-24";"FR6";96.1
"THS";"F";"Y15-24";"FR61";43.7
"THS";"F";"Y15-24";"FR62";41.9
"THS";"F";"Y15-24";"FR63";10.6
"THS";"F";"Y15-24";"FR7";124.4
"THS";"F";"Y15-24";"FR71";111.5
"THS";"F";"Y15-24";"FR72";12.8
"THS";"F";"Y15-24";"FR8";103
"THS";"F";"Y15-24";"FR81";31.9
"THS";"F";"Y15-24";"FR82";69
"THS";"F";"Y15-24";"FR83";NA
"THS";"F";"Y15-24";"FRA";14.8
"THS";"F";"Y15-24";"FRA1";NA
"THS";"F";"Y15-24";"FRA2";2.5
"THS";"F";"Y15-24";"FRA3";NA
"THS";"F";"Y15-24";"FRA4";7.4
"THS";"F";"Y15-24";"FRA5";NA
"THS";"F";"Y15-24";"HR";36.9
"THS";"F";"Y15-24";"HR0";36.9
"THS";"F";"Y15-24";"HR03";14.3
"THS";"F";"Y15-24";"HR04";22.5
"THS";"F";"Y15-24";"HU";112.2
"THS";"F";"Y15-24";"HU1";29.2
"THS";"F";"Y15-24";"HU10";29.2
"THS";"F";"Y15-24";"HU2";40
"THS";"F";"Y15-24";"HU21";14.7
"THS";"F";"Y15-24";"HU22";14.3
"THS";"F";"Y15-24";"HU23";11
"THS";"F";"Y15-24";"HU3";43
"THS";"F";"Y15-24";"HU31";10.2
"THS";"F";"Y15-24";"HU32";18.3
"THS";"F";"Y15-24";"HU33";14.5
"THS";"F";"Y15-24";"IE";72.1
"THS";"F";"Y15-24";"IE0";72.1
"THS";"F";"Y15-24";"IE01";17
"THS";"F";"Y15-24";"IE02";55.1
"THS";"F";"Y15-24";"IT";371.5
"THS";"F";"Y15-24";"ITC";120.1
"THS";"F";"Y15-24";"ITC1";30.2
"THS";"F";"Y15-24";"ITC2";NA
"THS";"F";"Y15-24";"ITC3";7
"THS";"F";"Y15-24";"ITC4";81.8
"THS";"F";"Y15-24";"ITF";60.6
"THS";"F";"Y15-24";"ITF1";4.2
"THS";"F";"Y15-24";"ITF2";NA
"THS";"F";"Y15-24";"ITF3";27.8
"THS";"F";"Y15-24";"ITF4";17.4
"THS";"F";"Y15-24";"ITF5";2.3
"THS";"F";"Y15-24";"ITF6";7.7
"THS";"F";"Y15-24";"ITG";32.5
"THS";"F";"Y15-24";"ITG1";23.7
"THS";"F";"Y15-24";"ITG2";8.8
"THS";"F";"Y15-24";"ITH";89.1
"THS";"F";"Y15-24";"ITH1";8
"THS";"F";"Y15-24";"ITH2";4
"THS";"F";"Y15-24";"ITH3";40.4
"THS";"F";"Y15-24";"ITH4";8.1
"THS";"F";"Y15-24";"ITH5";28.7
"THS";"F";"Y15-24";"ITI";69.3
"THS";"F";"Y15-24";"ITI1";26.9
"THS";"F";"Y15-24";"ITI2";4.7
