"sex";"unit";"nace_r2";"age";"geo";"X2014"
"T";"THS";"A";"Y15-24";"AT";16.8
"T";"THS";"A";"Y15-24";"AT1";5.2
"T";"THS";"A";"Y15-24";"AT11";NA
"T";"THS";"A";"Y15-24";"AT12";3.9
"T";"THS";"A";"Y15-24";"AT13";NA
"T";"THS";"A";"Y15-24";"AT2";4.3
"T";"THS";"A";"Y15-24";"AT21";NA
"T";"THS";"A";"Y15-24";"AT22";3.3
"T";"THS";"A";"Y15-24";"AT3";7.3
"T";"THS";"A";"Y15-24";"AT31";4.6
"T";"THS";"A";"Y15-24";"AT32";NA
"T";"THS";"A";"Y15-24";"AT33";NA
"T";"THS";"A";"Y15-24";"AT34";NA
"T";"THS";"A";"Y15-24";"BE";3.1
"T";"THS";"A";"Y15-24";"BE1";NA
"T";"THS";"A";"Y15-24";"BE10";NA
"T";"THS";"A";"Y15-24";"BE2";NA
"T";"THS";"A";"Y15-24";"BE21";NA
"T";"THS";"A";"Y15-24";"BE22";NA
"T";"THS";"A";"Y15-24";"BE23";NA
"T";"THS";"A";"Y15-24";"BE24";NA
"T";"THS";"A";"Y15-24";"BE25";NA
"T";"THS";"A";"Y15-24";"BE3";NA
"T";"THS";"A";"Y15-24";"BE31";NA
"T";"THS";"A";"Y15-24";"BE32";NA
"T";"THS";"A";"Y15-24";"BE33";NA
"T";"THS";"A";"Y15-24";"BE34";NA
"T";"THS";"A";"Y15-24";"BE35";NA
"T";"THS";"A";"Y15-24";"BG";12.4
"T";"THS";"A";"Y15-24";"BG3";6.6
"T";"THS";"A";"Y15-24";"BG31";NA
"T";"THS";"A";"Y15-24";"BG32";NA
"T";"THS";"A";"Y15-24";"BG33";NA
"T";"THS";"A";"Y15-24";"BG34";NA
"T";"THS";"A";"Y15-24";"BG4";5.8
"T";"THS";"A";"Y15-24";"BG41";NA
"T";"THS";"A";"Y15-24";"BG42";4.4
"T";"THS";"A";"Y15-24";"CY";1.6
"T";"THS";"A";"Y15-24";"CY0";1.6
"T";"THS";"A";"Y15-24";"CY00";1.6
"T";"THS";"A";"Y15-24";"CZ";7.7
"T";"THS";"A";"Y15-24";"CZ0";7.7
"T";"THS";"A";"Y15-24";"CZ01";NA
"T";"THS";"A";"Y15-24";"CZ02";0.7
"T";"THS";"A";"Y15-24";"CZ03";1
"T";"THS";"A";"Y15-24";"CZ04";0.9
"T";"THS";"A";"Y15-24";"CZ05";1.7
"T";"THS";"A";"Y15-24";"CZ06";2
"T";"THS";"A";"Y15-24";"CZ07";NA
"T";"THS";"A";"Y15-24";"CZ08";0.8
"T";"THS";"A";"Y15-24";"DE";47.3
"T";"THS";"A";"Y15-24";"DE1";NA
"T";"THS";"A";"Y15-24";"DE11";NA
"T";"THS";"A";"Y15-24";"DE12";NA
"T";"THS";"A";"Y15-24";"DE13";NA
"T";"THS";"A";"Y15-24";"DE14";NA
"T";"THS";"A";"Y15-24";"DE2";6.4
"T";"THS";"A";"Y15-24";"DE21";NA
"T";"THS";"A";"Y15-24";"DE22";NA
"T";"THS";"A";"Y15-24";"DE23";NA
"T";"THS";"A";"Y15-24";"DE24";NA
"T";"THS";"A";"Y15-24";"DE25";NA
"T";"THS";"A";"Y15-24";"DE26";NA
"T";"THS";"A";"Y15-24";"DE27";NA
"T";"THS";"A";"Y15-24";"DE3";NA
"T";"THS";"A";"Y15-24";"DE30";NA
"T";"THS";"A";"Y15-24";"DE4";NA
"T";"THS";"A";"Y15-24";"DE40";NA
"T";"THS";"A";"Y15-24";"DE5";NA
"T";"THS";"A";"Y15-24";"DE50";NA
"T";"THS";"A";"Y15-24";"DE6";NA
"T";"THS";"A";"Y15-24";"DE60";NA
"T";"THS";"A";"Y15-24";"DE7";NA
"T";"THS";"A";"Y15-24";"DE71";NA
"T";"THS";"A";"Y15-24";"DE72";NA
"T";"THS";"A";"Y15-24";"DE73";NA
"T";"THS";"A";"Y15-24";"DE8";NA
"T";"THS";"A";"Y15-24";"DE80";NA
"T";"THS";"A";"Y15-24";"DE9";8.8
"T";"THS";"A";"Y15-24";"DE91";NA
"T";"THS";"A";"Y15-24";"DE92";NA
"T";"THS";"A";"Y15-24";"DE93";NA
"T";"THS";"A";"Y15-24";"DE94";NA
"T";"THS";"A";"Y15-24";"DEA";9.1
"T";"THS";"A";"Y15-24";"DEA1";NA
"T";"THS";"A";"Y15-24";"DEA2";NA
"T";"THS";"A";"Y15-24";"DEA3";NA
"T";"THS";"A";"Y15-24";"DEA4";NA
"T";"THS";"A";"Y15-24";"DEA5";NA
"T";"THS";"A";"Y15-24";"DEB";NA
"T";"THS";"A";"Y15-24";"DEB1";NA
"T";"THS";"A";"Y15-24";"DEB2";NA
"T";"THS";"A";"Y15-24";"DEB3";NA
"T";"THS";"A";"Y15-24";"DEC";NA
"T";"THS";"A";"Y15-24";"DEC0";NA
"T";"THS";"A";"Y15-24";"DED";NA
"T";"THS";"A";"Y15-24";"DED2";NA
"T";"THS";"A";"Y15-24";"DED4";NA
"T";"THS";"A";"Y15-24";"DED5";NA
"T";"THS";"A";"Y15-24";"DEE";NA
"T";"THS";"A";"Y15-24";"DEE0";NA
"T";"THS";"A";"Y15-24";"DEF";NA
"T";"THS";"A";"Y15-24";"DEF0";NA
"T";"THS";"A";"Y15-24";"DEG";NA
"T";"THS";"A";"Y15-24";"DEG0";NA
"T";"THS";"A";"Y15-24";"DK";9
"T";"THS";"A";"Y15-24";"DK0";9
"T";"THS";"A";"Y15-24";"DK01";NA
"T";"THS";"A";"Y15-24";"DK02";NA
"T";"THS";"A";"Y15-24";"DK03";2.6
"T";"THS";"A";"Y15-24";"DK04";3
"T";"THS";"A";"Y15-24";"DK05";2.1
"T";"THS";"A";"Y15-24";"EE";2.2
"T";"THS";"A";"Y15-24";"EE0";2.2
"T";"THS";"A";"Y15-24";"EE00";2.2
"T";"THS";"A";"Y15-24";"EL";18
"T";"THS";"A";"Y15-24";"EL3";NA
"T";"THS";"A";"Y15-24";"EL30";NA
"T";"THS";"A";"Y15-24";"EL4";2.7
"T";"THS";"A";"Y15-24";"EL41";NA
"T";"THS";"A";"Y15-24";"EL42";NA
"T";"THS";"A";"Y15-24";"EL43";1.3
"T";"THS";"A";"Y15-24";"EL5";8.6
"T";"THS";"A";"Y15-24";"EL51";3.7
"T";"THS";"A";"Y15-24";"EL52";3.5
"T";"THS";"A";"Y15-24";"EL53";NA
"T";"THS";"A";"Y15-24";"EL54";NA
"T";"THS";"A";"Y15-24";"EL6";6.2
"T";"THS";"A";"Y15-24";"EL61";NA
"T";"THS";"A";"Y15-24";"EL62";NA
"T";"THS";"A";"Y15-24";"EL63";1.6
"T";"THS";"A";"Y15-24";"EL64";NA
"T";"THS";"A";"Y15-24";"EL65";2.4
"T";"THS";"A";"Y15-24";"ES";41.4
"T";"THS";"A";"Y15-24";"ES1";2.9
"T";"THS";"A";"Y15-24";"ES11";1.9
"T";"THS";"A";"Y15-24";"ES12";NA
"T";"THS";"A";"Y15-24";"ES13";NA
"T";"THS";"A";"Y15-24";"ES2";2.4
"T";"THS";"A";"Y15-24";"ES21";NA
"T";"THS";"A";"Y15-24";"ES22";NA
