"unit";"age";"sex";"geo";"X2014"
"THS";"Y15-24";"F";"AT";26.8
"THS";"Y15-24";"F";"AT1";14.3
"THS";"Y15-24";"F";"AT11";NA
"THS";"Y15-24";"F";"AT12";5.6
"THS";"Y15-24";"F";"AT13";7.9
"THS";"Y15-24";"F";"AT2";4.6
"THS";"Y15-24";"F";"AT21";NA
"THS";"Y15-24";"F";"AT22";NA
"THS";"Y15-24";"F";"AT3";8
"THS";"Y15-24";"F";"AT31";4.6
"THS";"Y15-24";"F";"AT32";NA
"THS";"Y15-24";"F";"AT33";NA
"THS";"Y15-24";"F";"AT34";NA
"THS";"Y15-24";"F";"BE";40.8
"THS";"Y15-24";"F";"BE1";5
"THS";"Y15-24";"F";"BE10";5
"THS";"Y15-24";"F";"BE2";17.6
"THS";"Y15-24";"F";"BE21";5.5
"THS";"Y15-24";"F";"BE22";NA
"THS";"Y15-24";"F";"BE23";3.9
"THS";"Y15-24";"F";"BE24";3.2
"THS";"Y15-24";"F";"BE25";3.1
"THS";"Y15-24";"F";"BE3";18.2
"THS";"Y15-24";"F";"BE31";NA
"THS";"Y15-24";"F";"BE32";7.7
"THS";"Y15-24";"F";"BE33";5.4
"THS";"Y15-24";"F";"BE34";NA
"THS";"Y15-24";"F";"BE35";2.5
"THS";"Y15-24";"F";"BG";19.3
"THS";"Y15-24";"F";"BG3";10.4
"THS";"Y15-24";"F";"BG31";NA
"THS";"Y15-24";"F";"BG32";NA
"THS";"Y15-24";"F";"BG33";NA
"THS";"Y15-24";"F";"BG34";NA
"THS";"Y15-24";"F";"BG4";8.9
"THS";"Y15-24";"F";"BG41";4
"THS";"Y15-24";"F";"BG42";4.9
"THS";"Y15-24";"F";"CY";7.6
"THS";"Y15-24";"F";"CY0";7.6
"THS";"Y15-24";"F";"CY00";7.6
"THS";"Y15-24";"F";"CZ";24.1
"THS";"Y15-24";"F";"CZ0";24.1
"THS";"Y15-24";"F";"CZ01";1.5
"THS";"Y15-24";"F";"CZ02";2.5
"THS";"Y15-24";"F";"CZ03";2.8
"THS";"Y15-24";"F";"CZ04";3.1
"THS";"Y15-24";"F";"CZ05";3.8
"THS";"Y15-24";"F";"CZ06";3.6
"THS";"Y15-24";"F";"CZ07";2.3
"THS";"Y15-24";"F";"CZ08";4.3
"THS";"Y15-24";"F";"DE";137.8
