"";"mismatch"
"AT";NA
"AT1";NA
"AT11";NA
"AT12";NA
"AT13";NA
"AT2";NA
"AT21";NA
"AT22";NA
"AT3";NA
"AT31";NA
"AT32";NA
"AT33";NA
"AT34";NA
"BE";NA
"BE1";NA
"BE10";NA
"BE2";NA
"BE21";NA
"BE22";NA
"BE23";NA
"BE24";NA
"BE25";NA
"BE3";NA
"BE31";NA
"BE32";NA
"BE33";NA
"BE34";NA
"BE35";NA
"BG";84.8885994715634
"BG3";55.2340270883035
"BG31";34.3437749553899
"BG32";76.2155198622287
"BG33";91.1695322558473
"BG34";89.358003504913
"BG4";51.1984724673055
"BG41";50.0510281297906
"BG42";87.8054172463029
"CY";NA
"CY0";NA
"CY00";NA
"CZ";49.2224857920956
"CZ0";49.2224857920956
"CZ01";41.7892944640225
"CZ02";46.755044560278
"CZ03";60.0687447947205
"CZ04";65.9350375998188
"CZ05";58.868484056072
"CZ06";62.9572812237952
"CZ07";56.7692570683628
"CZ08";53.3916782775809
"DE";NA
"DE1";NA
"DE11";NA
"DE12";NA
"DE13";NA
"DE14";NA
"DE2";NA
"DE21";NA
"DE22";NA
"DE23";NA
"DE24";NA
"DE25";NA
"DE26";NA
"DE27";NA
"DE3";NA
"DE30";NA
"DE4";NA
"DE40";NA
"DE5";NA
"DE50";NA
"DE6";NA
"DE60";NA
"DE7";NA
"DE71";NA
"DE72";NA
"DE73";NA
"DE8";NA
"DE80";NA
"DE9";NA
"DE91";NA
"DE92";NA
"DE93";NA
"DE94";NA
"DEA";NA
"DEA1";NA
"DEA2";NA
"DEA3";NA
"DEA4";NA
"DEA5";NA
"DEB";NA
"DEB1";NA
"DEB2";NA
"DEB3";NA
"DEC";NA
"DEC0";NA
"DED";NA
"DED2";NA
"DED4";NA
"DED5";NA
"DEE";NA
"DEE0";NA
"DEF";NA
"DEF0";NA
"DEG";NA
"DEG0";NA
"DK";NA
"DK0";NA
"DK01";NA
"DK02";NA
"DK03";NA
"DK04";NA
"DK05";NA
"EE";NA
"EE0";NA
"EE00";NA
"EL";NA
"EL3";NA
"EL30";NA
"EL4";NA
"EL41";NA
"EL42";NA
"EL43";NA
"EL5";NA
"EL51";NA
"EL52";NA
"EL53";NA
"EL54";NA
"EL6";NA
"EL61";NA
"EL62";NA
"EL63";NA
"EL64";NA
"EL65";NA
"ES";NA
"ES1";NA
"ES11";NA
"ES12";NA
"ES13";NA
"ES2";NA
"ES21";NA
"ES22";NA
"ES23";NA
"ES24";NA
"ES3";NA
"ES30";NA
"ES4";NA
"ES41";NA
"ES42";NA
"ES43";NA
"ES5";NA
"ES51";NA
"ES52";NA
"ES53";NA
"ES6";NA
"ES61";NA
"ES62";NA
"ES63";NA
"ES64";NA
"ES7";NA
"ES70";NA
"FI";39.9530067235795
"FI1";NA
"FI19";17.3335166202954
"FI1B";6.27810065244403
"FI1C";116.832260330957
"FI1D";39.444348555998
"FI2";NA
"FI20";NA
"FR";NA
"FR1";NA
"FR10";NA
"FR2";NA
"FR21";NA
"FR22";NA
"FR23";NA
"FR24";NA
"FR25";NA
"FR26";NA
"FR3";NA
"FR30";NA
"FR4";NA
"FR41";NA
"FR42";NA
"FR43";NA
"FR5";NA
"FR51";NA
"FR52";NA
"FR53";NA
"FR6";NA
"FR61";NA
"FR62";NA
"FR63";NA
"FR7";NA
"FR71";NA
"FR72";NA
"FR8";NA
"FR81";NA
"FR82";NA
"FR83";NA
"FRA";NA
"FRA1";NA
"FRA2";NA
"FRA3";NA
"FRA4";NA
"FRA5";NA
"HR";NA
"HR0";NA
"HR03";NA
"HR04";NA
"HU";NA
"HU1";NA
"HU10";NA
"HU2";NA
"HU21";NA
"HU22";NA
"HU23";NA
"HU3";NA
"HU31";NA
"HU32";NA
"HU33";NA
"IE";NA
"IE0";NA
"IE01";NA
"IE02";NA
"IT";NA
"ITC";NA
"ITC1";NA
"ITC2";NA
"ITC3";NA
"ITC4";NA
"ITF";NA
"ITF1";NA
"ITF2";NA
"ITF3";NA
"ITF4";NA
"ITF5";NA
"ITF6";NA
"ITG";NA
"ITG1";NA
"ITG2";NA
"ITH";NA
"ITH1";NA
"ITH2";NA
"ITH3";NA
"ITH4";NA
"ITH5";NA
"ITI";NA
"ITI1";NA
"ITI2";NA
"ITI3";NA
"ITI4";NA
"LT";NA
"LT0";NA
"LT00";NA
"LU";NA
"LU0";NA
"LU00";NA
"LV";35.0819137592786
"LV0";35.0819137592786
"LV00";35.0819137592786
"MT";NA
"MT0";NA
"MT00";NA
"NL";NA
"NL1";NA
"NL11";NA
"NL12";NA
"NL13";NA
"NL2";NA
"NL21";NA
"NL22";NA
"NL23";NA
"NL3";NA
"NL31";NA
"NL32";NA
"NL33";NA
"NL34";NA
"NL4";NA
"NL41";NA
"NL42";NA
"PL";59.706165534102
"PL1";29.0929380202031
"PL11";65.9424783605203
"PL12";18.7640161517774
"PL2";69.4356426144077
"PL21";32.8110356007916
"PL22";30.4496823304085
"PL3";59.8196013308171
"PL31";98.4519376831485
"PL32";32.4177103286683
"PL33";80.0397624399961
"PL34";94.2943986070391
"PL4";94.2943986070391
"PL41";44.3841918152528
"PL42";41.4980958972282
"PL43";39.615264866021
"PL5";63.6996812535688
"PL51";45.57677636996
"PL52";41.4980958972282
"PL6";92.0199438710299
"PL61";38.0731465385271
"PL62";41.4980958972282
"PL63";29.2316172759993
"PT";92.1347844953031
"PT1";NA
"PT11";NA
"PT15";NA
"PT16";NA
"PT17";NA
"PT18";NA
"PT2";NA
"PT20";NA
"PT3";NA
"PT30";NA
"RO";57.2888639065301
"RO1";36.8323581089788
"RO11";79.4509915906814
"RO12";57.812734010916
"RO2";39.0310466687893
"RO21";79.0181915030115
"RO22";63.1629017147528
"RO3";76.6763410620613
"RO31";51.7284563074742
"RO32";43.7479998206627
"RO4";56.807522525008
"RO41";63.1629017147528
"RO42";52.1459856119778
"SE";NA
"SE1";NA
"SE11";NA
"SE12";NA
"SE2";NA
"SE21";NA
"SE22";NA
"SE23";NA
"SE3";NA
"SE31";NA
"SE32";NA
"SE33";NA
"SI";NA
"SI0";NA
"SI03";NA
"SI04";NA
"SK";56.1077179270729
"SK0";NA
"SK01";50.6148104503584
"SK02";46.7900861544589
"SK03";66.3432836281055
"SK04";48.8939207620558
"UK";NA
"UKC";NA
"UKC1";NA
"UKC2";NA
"UKD";NA
"UKD1";NA
"UKD3";NA
"UKD4";NA
"UKD6";NA
"UKD7";NA
"UKE";NA
"UKE1";NA
"UKE2";NA
"UKE3";NA
"UKE4";NA
"UKF";NA
"UKF1";NA
"UKF2";NA
"UKF3";NA
"UKG";NA
"UKG1";NA
"UKG2";NA
"UKG3";NA
"UKH";NA
"UKH1";NA
"UKH2";NA
"UKH3";NA
"UKI";NA
"UKI3";NA
"UKI4";NA
"UKI5";NA
"UKI6";NA
"UKI7";NA
"UKJ";NA
"UKJ1";NA
"UKJ2";NA
"UKJ3";NA
"UKJ4";NA
"UKK";NA
"UKK1";NA
"UKK2";NA
"UKK3";NA
"UKK4";NA
"UKL";NA
"UKL1";NA
"UKL2";NA
"UKM";NA
"UKM2";NA
"UKM3";NA
"UKM5";NA
"UKM6";NA
"UKN";NA
"UKN0";NA
