"";"pop_Total";"pop_Y0-14";"pop_Y15-24";"pop_Y25-64";"pop_Y65-74";"pop_YGE75";"ARPR";"low_work";"rooms_pp";"mat_depriv";"ARPR_socexcl";"emp_Y15-24_ED0-2";"emp_Y25-64_ED0-2";"emp_Y15-24_ED3-4";"emp_Y25-64_ED3-4";"emp_Y15-24_ED5-8";"emp_Y25-64_ED5-8";"emp_TF";"emp_TP";"emp_Y15-24";"emp_Y25-64";"emp_YGE65";"emp_Y15-24_NaceA";"emp_Y25-64_NaceA";"emp_Y15-24_NaceB-E";"emp_Y25-64_NaceB-E";"emp_Y15-24_NaceF";"emp_Y25-64_NaceF";"emp_Y15-24_NaceG-I";"emp_Y25-64_NaceG-I";"emp_Y15-24_NaceJ";"emp_Y25-64_NaceJ";"emp_Y15-24_NaceK";"emp_Y25-64_NaceK";"emp_Y15-24_NaceL";"emp_Y25-64_NaceL";"emp_Y15-24_NaceM_N";"emp_Y25-64_NaceM_N";"emp_Y15-24_NaceO-Q";"emp_Y25-64_NaceO-Q";"emp_Y15-24_NaceR-U";"emp_Y25-64_NaceR-U";"unemp_Y15-24";"unemp_YGE25";"GDP";"GVAgr";"disp_income";"training";"earn_OC1_NaceB-F";"earn_OC2_NaceB-F";"earn_OC3_NaceB-F";"earn_OC4_NaceB-F";"earn_OC5_NaceB-F";"earn_OC6_NaceB-F";"earn_OC7_NaceB-F";"earn_OC8_NaceB-F";"earn_OC9_NaceB-F";"earn_OC1_NaceG-N";"earn_OC2_NaceG-N";"earn_OC3_NaceG-N";"earn_OC4_NaceG-N";"earn_OC5_NaceG-N";"earn_OC6_NaceG-N";"earn_OC7_NaceG-N";"earn_OC8_NaceG-N";"earn_OC9_NaceG-N";"earn_OC1_NaceP-S";"earn_OC2_NaceP-S";"earn_OC3_NaceP-S";"earn_OC4_NaceP-S";"earn_OC5_NaceP-S";"earn_OC6_NaceP-S";"earn_OC7_NaceP-S";"earn_OC8_NaceP-S";"earn_OC9_NaceP-S";"expend_ED5-8"
"AT";8506889;14.327705463184;11.8997203325446;55.4728996699028;10.1552518200249;8.14442271434363;14.1;9.1;1.6;4;19.2;28.2172373081464;11.4123652864436;52.7351436442346;54.5802609188883;19.047619047619;34.0073737946682;44.97506523674;17.3838285664899;50.2027075084758;74.7189351682914;5.03618796543788;3.30578512396694;4.3930799773114;19.0869736324282;17.0221213840045;12.0425029515939;8.30686330119115;31.4246359700905;24.4583096993761;2.79417552144825;2.97504254112309;2.42030696576151;3.51389676687465;NA;0.865002836074872;9.11058638331366;9.03006239364719;14.0299094844549;24.9290981281906;5.35222353404172;4.50368689733409;5.74930652694469;3.34413175628355;35500;0.3;20700;14.3;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT1";3679155;14.2354698293494;11.7059216042814;55.7217078378051;10.4144837605374;7.92241696802663;NA;NA;NA;NA;NA;26.1782786885246;11.0321239353497;50.7684426229508;49.9497015626048;23.0532786885246;39.0181745020455;43.4298021042399;16.5017884502844;45.3237794273693;72.733463148899;4.46161895995363;2.66393442622951;3.0179062437127;11.8852459016393;11.9777345583797;9.52868852459017;8.02763060827577;31.9672131147541;23.4994299510429;4.96926229508197;4.45308832405607;3.17622950819672;4.03058144993629;NA;1.33458520555295;10.8094262295082;10.8644624773657;17.1618852459016;27.0873851519013;7.17213114754098;5.70719602977668;7.499785222869;4.37685682499929;35600;NA;20900;16;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT11";287318;13.1272666522807;10.3735234130824;56.2272464655886;10.4024112655664;9.86955220348186;NA;NA;NA;NA;NA;24.812030075188;11.354079058032;51.8796992481203;59.2094196804037;23.3082706766917;29.4365012615643;46.057746198767;14.3732711395563;44.6233853380305;73.599049216656;NA;NA;4.54163162321278;NA;15.6433978132885;NA;9.75609756097561;25.5639097744361;25.9882253994954;NA;NA;NA;3.53238015138772;NA;NA;NA;7.1488645920942;NA;25.8200168208579;NA;5.04625735912532;NA;2.71626993454834;24400;NA;20400;10.1;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT12";1626262;14.385258955814;11.5114907684002;54.6685589406873;10.7302513371154;8.7044399979831;NA;NA;NA;NA;NA;29.320987654321;11.2848502729016;51.2345679012346;55.1556276736982;19.4444444444444;33.5595220534002;46.3477093582078;16.8537124938937;51.9211354276282;76.2495866392818;4.84086831888983;4.01234567901235;5.51703791119634;16.5637860082305;16.3003392830801;12.1399176954733;8.54108275556867;30.9670781893004;21.8173771942764;NA;3.09780203569848;NA;3.17155922702463;NA;0.899837734179083;8.74485596707819;9.33766042189113;14.8148148148148;27.0836406549639;6.79012345679012;4.23366278212126;6.46343352545578;2.85833562125549;28900;NA;21500;12.9;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT13";1765575;14.2778414963964;12.1018365121844;56.6094898262606;10.1255964770684;6.88523568809028;NA;NA;NA;NA;NA;22.7863046044864;10.7302318882328;50.0590318772137;43.2810024485093;27.1546635182999;45.988765663258;40.3901072256048;16.5238788009411;39.6411238047991;69.4659138774746;4.42832932120038;NA;NA;6.25737898465171;7.12948293244995;5.0767414403778;7.23030390321187;34.2384887839433;24.7155408324932;7.6741440377804;6.23649719141581;NA;4.95463056315714;NA;1.8435834653608;13.9315230224321;12.9915022324644;19.7166469893743;27.2936770848336;7.79220779220779;7.25910989485813;8.705134625375;6.02584493379209;43500;NA;20400;19.6;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT2";1770670;13.3525727549459;11.6005805711962;55.2908221181813;10.5966103226462;9.15941423303043;NA;NA;NA;NA;NA;25.3128007699711;9.25153032832499;57.0741097208855;59.9332220367279;17.7093358999037;30.8013355592654;44.3494694462402;16.9016301800873;50.5822558030846;73.4205091224063;5.03124517600782;4.1385948026949;6.67779632721202;20.8854667949952;20.2420701168614;13.2820019249278;8.84808013355593;32.1462945139557;23.0662214802449;NA;1.78074568725654;NA;2.92153589315526;NA;0.542570951585977;7.50721847930703;7.51252086811352;13.5707410972089;24.5687256538676;5.29355149181906;3.83973288814691;4.62494157968531;3.17147659664561;31200;NA;20100;12.8;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT21";555743;13.5191986223848;11.0711246025591;55.0941712266281;10.9561433972178;9.35936215121018;NA;NA;NA;NA;NA;26.625386996904;7.97629899726527;55.1083591331269;58.3409298085688;18.266253869969;33.6827711941659;44.0040410922148;15.8890519532335;52.4972776179563;71.6567270446989;4.42861951072612;NA;6.28988149498633;19.8142414860681;15.3600729261623;16.0990712074303;10.3919781221513;31.2693498452012;25.2506836827712;NA;1.77757520510483;NA;3.55515041020966;NA;NA;NA;7.20145852324521;13.6222910216718;25.2506836827712;NA;4.23883318140383;5.36349895167975;3.51431607050426;29700;NA;19900;12.2;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT22";1214927;13.2763532294533;11.8427691540315;55.3807759643172;10.4321494213233;9.06795223087478;NA;NA;NA;NA;NA;24.7206703910615;9.8137392349289;57.8212290502793;60.6449028640096;17.4581005586592;29.5413579010615;44.4957920844551;17.35102707057;49.763346098512;74.2082766082671;5.31843047207402;4.60893854748603;6.84958942519527;21.5083798882682;22.3913478870419;12.1508379888268;8.17144001602243;32.5418994413408;22.1109553374725;NA;1.76246745443621;NA;2.64370118165432;NA;NA;8.37988826815642;7.65071099539355;13.5474860335196;24.2940116162628;4.88826815642458;3.66513118365712;4.30911656160299;3.0140861628432;32000;NA;20200;13;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT3";3057064;15.0035131747324;12.30621930061;55.2789212132949;9.58763048467418;7.82371582668861;NA;NA;NA;NA;NA;31.5789473684211;13.0223370308464;52.488038277512;56.8910499924024;15.9808612440191;30.0866129767513;47.2147374069661;18.7349976962735;55.5542265070745;77.8857123921246;5.76768443439118;3.49282296650718;4.71053031454186;24.8803827751196;20.9770551587905;13.7799043062201;8.32700197538368;30.5741626794258;26.3029934660386;1.57894736842105;1.96018842121258;2.15311004784689;3.2517854429418;NA;0.509041179152105;8.32535885167464;7.77997264853366;11.3875598086124;22.6789241756572;3.68421052631579;3.50250721774806;4.38585998740062;2.17346138096996;37800;NA;20800;13.2;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
"AT31";1425982;14.97354104049;12.1953853554954;55.107147215042;9.50397690854443;8.21994948042822;NA;NA;NA;NA;NA;33.1;13.2364942059736;50.7;57.2384527501224;16.2;29.525053043904;47.4870052143489;18.9546284993248;57.5029901554881;77.9697079985442;5.8953865632666;4.6;6.25102007507752;30.1;24.6776562755019;13.4;8.12795821772482;26.6;22.7680757303738;NA;2.08911375877265;NA;2.92149502203362;NA;NA;9.5;7.44246776562755;9.9;22.4416517055655;NA;2.90517382079321;4.94525715337198;2.39867237282966;36100;NA;20700;13;27.7;20.59;16.59;14.25;9.91;NA;10.65;11.44;10.3;25.62;20.29;15.7;13.71;10.05;NA;9.81;11.04;8.63;23.28;18.4;14.64;12.89;11.13;NA;9.28;8.16;9.28;1.86
