"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"AT";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"AT34";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE24";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE34";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BE35";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BG";NA;NA;NA;NA;4.16666666666667;NA;NA;NA;8.33333333333333;NA;37.5
"BG3";NA;NA;NA;NA;20.6896551724138;NA;NA;NA;24.1379310344828;NA;17.2413793103448
"BG31";NA;NA;NA;NA;32.1428571428571;NA;NA;NA;10.7142857142857;NA;21.4285714285714
"BG32";NA;NA;NA;NA;5;NA;NA;NA;20;NA;25
"BG33";NA;NA;NA;NA;4.54545454545455;NA;NA;NA;13.6363636363636;NA;40.9090909090909
"BG34";NA;NA;NA;NA;4.54545454545455;NA;NA;NA;9.09090909090909;NA;40.9090909090909
"BG4";NA;NA;NA;NA;27.2727272727273;NA;NA;NA;24.2424242424242;NA;18.1818181818182
"BG41";NA;NA;NA;NA;33.3333333333333;NA;NA;NA;26.6666666666667;NA;13.3333333333333
"BG42";NA;NA;NA;NA;5;NA;NA;NA;10;NA;40
"CY";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CY0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CY00";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"CZ";NA;NA;NA;NA;6.66666666666667;NA;NA;NA;13.3333333333333;NA;20
"CZ0";NA;NA;NA;NA;6.66666666666667;NA;NA;NA;13.3333333333333;NA;20
"CZ01";NA;NA;NA;NA;15.1515151515152;NA;NA;NA;3.03030303030303;NA;24.2424242424242
"CZ02";NA;NA;NA;NA;9.09090909090909;NA;NA;NA;12.1212121212121;NA;21.2121212121212
"CZ03";NA;NA;NA;NA;3.33333333333333;NA;NA;NA;16.6666666666667;NA;23.3333333333333
"CZ04";NA;NA;NA;NA;7.40740740740741;NA;NA;NA;11.1111111111111;NA;33.3333333333333
"CZ05";NA;NA;NA;NA;12.5;NA;NA;NA;18.75;NA;28.125
"CZ06";NA;NA;NA;NA;16.6666666666667;NA;NA;NA;25;NA;27.7777777777778
"CZ07";NA;NA;NA;NA;3.44827586206897;NA;NA;NA;10.3448275862069;NA;24.1379310344828
"CZ08";NA;NA;NA;NA;7.14285714285714;NA;NA;NA;10.7142857142857;NA;25
"DE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DE13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
