"";"lmktm_OC0";"lmktm_OC1";"lmktm_OC2";"lmktm_OC3";"lmktm_OC4";"lmktm_OC5";"lmktm_OC6";"lmktm_OC7";"lmktm_OC8";"lmktm_OC9";"lmktm_ED0-2";"lmktm_ED3_4";"lmktm_ED5-8";"lmktm_Total"
"AT";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT1";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT11";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT12";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT13";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT2";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT21";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT22";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT3";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT31";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT32";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT33";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"AT34";NA;22.3514211886305;24.36866359447;19.1524719567927;19.740009629273;30.7403936269916;20.4918032786885;27.472306143001;33.9581517000872;47.3700787401575;38.9956602603844;23.8910891089109;27.03911677929;26.8778484217633
"BE";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE1";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE10";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE2";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE21";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE22";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE23";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE24";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE25";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE3";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE31";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE32";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE33";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE34";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BE35";NA;19.4444444444444;18.4458398744113;17.8497942386831;19.2888549034601;26.5159747880895;NA;27.8670953912111;23.9376770538244;40.5334603477018;33.111279333838;21.870475187574;20.4434378352605;23.1764217948053
"BG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"BG3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"BG31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"BG32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"BG33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"BG34";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"BG4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"BG41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"BG42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.647702991452991;0.883652430044183;0.666822648572766
"CY";20.9302325581395;28.2828282828283;18.9285714285714;15.7760814249364;13.9473684210526;25.8364312267658;NA;32.6996197718631;25.4098360655738;63.4011090573013;45.859872611465;28.2935455349248;23.8905325443787;29.0792146242383
"CY0";20.9302325581395;28.2828282828283;18.9285714285714;15.7760814249364;13.9473684210526;25.8364312267658;NA;32.6996197718631;25.4098360655738;63.4011090573013;45.859872611465;28.2935455349248;23.8905325443787;29.0792146242383
"CY00";20.9302325581395;28.2828282828283;18.9285714285714;15.7760814249364;13.9473684210526;25.8364312267658;NA;32.6996197718631;25.4098360655738;63.4011090573013;45.859872611465;28.2935455349248;23.8905325443787;29.0792146242383
"CZ";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ0";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ01";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ02";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ03";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ04";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ05";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ06";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ07";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"CZ08";10.5263157894737;8.22351080653664;7.05160112825618;5.17707296259423;5.33945397438995;7.35114370525581;8.91364902506964;7.53604193971166;8.97620188468296;12.4346076458753;15.9509202453988;6.79218057511939;7.58472296933835;7.38290092286262
"DE";NA;9.60285448340056;13.4837898783779;13.4507858150312;13.1119533413192;22.3737179616855;NA;24.1336176844523;29.965141982656;40.5294759825328;42.6303745634108;16.2918659196484;16.0696296456774;19.3165870662532
"DE1";NA;9.60285448340056;13.4837898783779;13.4507858150312;13.1119533413192;22.3737179616855;NA;24.1336176844523;29.965141982656;40.5294759825328;42.6303745634108;16.2918659196484;16.0696296456774;19.3165870662532
"DE11";NA;9.60285448340056;13.4837898783779;13.4507858150312;13.1119533413192;22.3737179616855;NA;24.1336176844523;29.965141982656;40.5294759825328;42.6303745634108;16.2918659196484;16.0696296456774;19.3165870662532
"DE12";NA;9.60285448340056;13.4837898783779;13.4507858150312;13.1119533413192;22.3737179616855;NA;24.1336176844523;29.965141982656;40.5294759825328;42.6303745634108;16.2918659196484;16.0696296456774;19.3165870662532
"DE13";NA;9.60285448340056;13.4837898783779;13.4507858150312;13.1119533413192;22.3737179616855;NA;24.1336176844523;29.965141982656;40.5294759825328;42.6303745634108;16.2918659196484;16.0696296456774;19.3165870662532
"DE14";NA;9.60285448340056;13.4837898783779;13.4507858150312;13.1119533413192;22.3737179616855;NA;24.1336176844523;29.965141982656;40.5294759825328;42.6303745634108;16.2918659196484;16.0696296456774;19.3165870662532
"DE2";NA;9.60285448340056;13.4837898783779;13.4507858150312;13.1119533413192;22.3737179616855;NA;24.1336176844523;29.965141982656;40.5294759825328;42.6303745634108;16.2918659196484;16.0696296456774;19.3165870662532
"DE21";NA;9.60285448340056;13.4837898783779;13.4507858150312;13.1119533413192;22.3737179616855;NA;24.1336176844523;29.965141982656;40.5294759825328;42.6303745634108;16.2918659196484;16.0696296456774;19.3165870662532
