"";"F00";"F01";"F02";"F03";"F04";"F05";"F06";"F07";"F08";"F09";"F10"
"AT";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT1";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT11";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT12";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT13";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT2";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT21";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT22";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT3";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT31";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT32";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT33";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"AT34";NA;11.4599341383095;8.67422856445908;8.20100012196609;23.5931211123308;5.28601048908403;4.45298207098427;21.152579582876;1.63922429564581;NA;8.95231125747042
"BE";NA;9.01810836159007;10.7432724911623;11.6631195440444;18.211168025395;3.7641584301277;1.75582569800159;12.4233460789265;2.31134117307554;25.2759541158647;1.53758747565111
"BE1";NA;9.01810836159007;10.7432724911623;11.6631195440444;18.211168025395;3.7641584301277;1.75582569800159;12.4233460789265;2.31134117307554;25.2759541158647;1.53758747565111
"BE10";NA;9.01810836159007;10.7432724911623;11.6631195440444;18.211168025395;3.7641584301277;1.75582569800159;12.4233460789265;2.31134117307554;25.2759541158647;1.53758747565111
"BE2";NA;9.01810836159007;10.7432724911623;11.6631195440444;18.211168025395;3.7641584301277;1.75582569800159;12.4233460789265;2.31134117307554;25.2759541158647;1.53758747565111
"BE21";NA;9.01810836159007;10.7432724911623;11.6631195440444;18.211168025395;3.7641584301277;1.75582569800159;12.4233460789265;2.31134117307554;25.2759541158647;1.53758747565111
"BE22";NA;9.01810836159007;10.7432724911623;11.6631195440444;18.211168025395;3.7641584301277;1.75582569800159;12.4233460789265;2.31134117307554;25.2759541158647;1.53758747565111
"BE23";NA;9.01810836159007;10.7432724911623;11.6631195440444;18.211168025395;3.7641584301277;1.75582569800159;12.4233460789265;2.31134117307554;25.2759541158647;1.53758747565111
"BE24";NA;9.01810836159007;10.7432724911623;11.6631195440444;18.211168025395;3.7641584301277;1.75582569800159;12.4233460789265;2.31134117307554;25.2759541158647;1.53758747565111
