"age";"agedef";"unit";"sex";"geo";"X2014"
"TOTAL";"COMPLET";"NR";"F";"AT";23360
"Y0-14";"COMPLET";"NR";"F";"AT";2782
"Y15-24";"COMPLET";"NR";"F";"AT";4342
"Y25-64";"COMPLET";"NR";"F";"AT";14610
"Y65-74";"COMPLET";"NR";"F";"AT";957
"YGE75";"COMPLET";"NR";"F";"AT";669
"TOTAL";"REACH";"NR";"F";"AT";23360
"Y0-14";"REACH";"NR";"F";"AT";0
"Y15-24";"REACH";"NR";"F";"AT";0
"Y25-64";"REACH";"NR";"F";"AT";0
"Y65-74";"REACH";"NR";"F";"AT";0
"YGE75";"REACH";"NR";"F";"AT";0
"TOTAL";"COMPLET";"NR";"M";"AT";30131
"Y0-14";"COMPLET";"NR";"M";"AT";2942
"Y15-24";"COMPLET";"NR";"M";"AT";4359
"Y25-64";"COMPLET";"NR";"M";"AT";21129
"Y65-74";"COMPLET";"NR";"M";"AT";1213
"YGE75";"COMPLET";"NR";"M";"AT";488
"TOTAL";"REACH";"NR";"M";"AT";30131
"Y0-14";"REACH";"NR";"M";"AT";0
"Y15-24";"REACH";"NR";"M";"AT";0
"Y25-64";"REACH";"NR";"M";"AT";0
"Y65-74";"REACH";"NR";"M";"AT";0
"YGE75";"REACH";"NR";"M";"AT";0
"TOTAL";"COMPLET";"NR";"T";"AT";53491
"Y0-14";"COMPLET";"NR";"T";"AT";5724
"Y15-24";"COMPLET";"NR";"T";"AT";8701
"Y25-64";"COMPLET";"NR";"T";"AT";35739
"Y65-74";"COMPLET";"NR";"T";"AT";2170
"YGE75";"COMPLET";"NR";"T";"AT";1157
"TOTAL";"REACH";"NR";"T";"AT";53491
"Y0-14";"REACH";"NR";"T";"AT";0
"Y15-24";"REACH";"NR";"T";"AT";0
"Y25-64";"REACH";"NR";"T";"AT";0
"Y65-74";"REACH";"NR";"T";"AT";0
"YGE75";"REACH";"NR";"T";"AT";0
"TOTAL";"COMPLET";"NR";"F";"BE";40814
"Y0-14";"COMPLET";"NR";"F";"BE";6827
"Y15-24";"COMPLET";"NR";"F";"BE";6014
"Y25-64";"COMPLET";"NR";"F";"BE";24559
"Y65-74";"COMPLET";"NR";"F";"BE";1314
"YGE75";"COMPLET";"NR";"F";"BE";685
"TOTAL";"REACH";"NR";"F";"BE";40814
"Y0-14";"REACH";"NR";"F";"BE";6705
"Y15-24";"REACH";"NR";"F";"BE";5747
"Y25-64";"REACH";"NR";"F";"BE";26228
"Y65-74";"REACH";"NR";"F";"BE";1393
"YGE75";"REACH";"NR";"F";"BE";741
"TOTAL";"COMPLET";"NR";"M";"BE";53759
"Y0-14";"COMPLET";"NR";"M";"BE";7091
"Y15-24";"COMPLET";"NR";"M";"BE";6272
"Y25-64";"COMPLET";"NR";"M";"BE";35010
"Y65-74";"COMPLET";"NR";"M";"BE";1683
"YGE75";"COMPLET";"NR";"M";"BE";512
"TOTAL";"REACH";"NR";"M";"BE";53759
"Y0-14";"REACH";"NR";"M";"BE";6951
"Y15-24";"REACH";"NR";"M";"BE";6283
"Y25-64";"REACH";"NR";"M";"BE";38165
"Y65-74";"REACH";"NR";"M";"BE";1793
"YGE75";"REACH";"NR";"M";"BE";567
"TOTAL";"COMPLET";"NR";"T";"BE";94573
"Y0-14";"COMPLET";"NR";"T";"BE";13918
"Y15-24";"COMPLET";"NR";"T";"BE";12286
"Y25-64";"COMPLET";"NR";"T";"BE";59569
"Y65-74";"COMPLET";"NR";"T";"BE";2997
"YGE75";"COMPLET";"NR";"T";"BE";1197
"TOTAL";"REACH";"NR";"T";"BE";94573
"Y0-14";"REACH";"NR";"T";"BE";13656
"Y15-24";"REACH";"NR";"T";"BE";12030
"Y25-64";"REACH";"NR";"T";"BE";64393
"Y65-74";"REACH";"NR";"T";"BE";3186
"YGE75";"REACH";"NR";"T";"BE";1308
"TOTAL";"COMPLET";"NR";"F";"BG";12980
"Y0-14";"COMPLET";"NR";"F";"BG";916
"Y15-24";"COMPLET";"NR";"F";"BG";2984
