"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PPS_HAB";"AT";35500
"T";"TOTAL";"PPS_HAB";"AT1";35600
"T";"TOTAL";"PPS_HAB";"AT11";24400
"T";"TOTAL";"PPS_HAB";"AT12";28900
"T";"TOTAL";"PPS_HAB";"AT13";43500
"T";"TOTAL";"PPS_HAB";"AT2";31200
"T";"TOTAL";"PPS_HAB";"AT21";29700
"T";"TOTAL";"PPS_HAB";"AT22";32000
"T";"TOTAL";"PPS_HAB";"AT3";37800
"T";"TOTAL";"PPS_HAB";"AT31";36100
"T";"TOTAL";"PPS_HAB";"AT32";41600
"T";"TOTAL";"PPS_HAB";"AT33";38000
"T";"TOTAL";"PPS_HAB";"AT34";38200
"T";"TOTAL";"PPS_HAB";"BE";32500
"T";"TOTAL";"PPS_HAB";"BE1";57000
"T";"TOTAL";"PPS_HAB";"BE10";57000
"T";"TOTAL";"PPS_HAB";"BE2";33000
"T";"TOTAL";"PPS_HAB";"BE21";37900
"T";"TOTAL";"PPS_HAB";"BE22";27000
"T";"TOTAL";"PPS_HAB";"BE23";29700
"T";"TOTAL";"PPS_HAB";"BE24";35300
"T";"TOTAL";"PPS_HAB";"BE25";31700
"T";"TOTAL";"PPS_HAB";"BE3";23700
"T";"TOTAL";"PPS_HAB";"BE31";35800
"T";"TOTAL";"PPS_HAB";"BE32";21000
"T";"TOTAL";"PPS_HAB";"BE33";23800
"T";"TOTAL";"PPS_HAB";"BE34";21000
"T";"TOTAL";"PPS_HAB";"BE35";22800
"T";"TOTAL";"PPS_HAB";"BG";12800
"T";"TOTAL";"PPS_HAB";"BG3";9900
"T";"TOTAL";"PPS_HAB";"BG31";8200
"T";"TOTAL";"PPS_HAB";"BG32";9300
"T";"TOTAL";"PPS_HAB";"BG33";10800
"T";"TOTAL";"PPS_HAB";"BG34";10800
"T";"TOTAL";"PPS_HAB";"BG4";15800
"T";"TOTAL";"PPS_HAB";"BG41";20600
"T";"TOTAL";"PPS_HAB";"BG42";8700
"T";"TOTAL";"PPS_HAB";"CY";22400
"T";"TOTAL";"PPS_HAB";"CY0";22400
