"sex";"age";"unit";"geo";"X2014"
"T";"TOTAL";"PCH_PRE";"AT";0.3
"T";"TOTAL";"PCH_PRE";"BE";1.3
"T";"TOTAL";"PCH_PRE";"BE1";1
"T";"TOTAL";"PCH_PRE";"BE10";1
"T";"TOTAL";"PCH_PRE";"BE2";1.5
"T";"TOTAL";"PCH_PRE";"BE21";0.5
"T";"TOTAL";"PCH_PRE";"BE22";2.8
"T";"TOTAL";"PCH_PRE";"BE23";1.6
"T";"TOTAL";"PCH_PRE";"BE24";1.7
"T";"TOTAL";"PCH_PRE";"BE25";2
"T";"TOTAL";"PCH_PRE";"BE3";1.3
"T";"TOTAL";"PCH_PRE";"BE31";3.8
"T";"TOTAL";"PCH_PRE";"BE32";0.3
"T";"TOTAL";"PCH_PRE";"BE33";0.9
"T";"TOTAL";"PCH_PRE";"BE34";1.6
"T";"TOTAL";"PCH_PRE";"BE35";1.6
"T";"TOTAL";"PCH_PRE";"BG";1.8
"T";"TOTAL";"PCH_PRE";"CY";-2.7
"T";"TOTAL";"PCH_PRE";"CY0";-2.7
"T";"TOTAL";"PCH_PRE";"CY00";-2.7
"T";"TOTAL";"PCH_PRE";"CZ";2.7
"T";"TOTAL";"PCH_PRE";"CZ0";2.7
"T";"TOTAL";"PCH_PRE";"CZ01";2.7
"T";"TOTAL";"PCH_PRE";"CZ02";3.1
"T";"TOTAL";"PCH_PRE";"CZ03";3.3
"T";"TOTAL";"PCH_PRE";"CZ04";1.2
"T";"TOTAL";"PCH_PRE";"CZ05";3.4
"T";"TOTAL";"PCH_PRE";"CZ06";1.6
"T";"TOTAL";"PCH_PRE";"CZ07";5
"T";"TOTAL";"PCH_PRE";"CZ08";1.8
"T";"TOTAL";"PCH_PRE";"DE";1.6
"T";"TOTAL";"PCH_PRE";"DE1";1.5
"T";"TOTAL";"PCH_PRE";"DE2";1.9
"T";"TOTAL";"PCH_PRE";"DE3";2.1
"T";"TOTAL";"PCH_PRE";"DE30";2.1
"T";"TOTAL";"PCH_PRE";"DE4";1.6
"T";"TOTAL";"PCH_PRE";"DE40";1.6
"T";"TOTAL";"PCH_PRE";"DE5";0.8
"T";"TOTAL";"PCH_PRE";"DE50";0.8
"T";"TOTAL";"PCH_PRE";"DE6";0.8
"T";"TOTAL";"PCH_PRE";"DE60";0.8
"T";"TOTAL";"PCH_PRE";"DE7";2.4
"T";"TOTAL";"PCH_PRE";"DE8";1
