"sex";"age";"unit";"geo";"X2013"
"T";"TOTAL";"PPCS_HAB";"AT";20700
"T";"TOTAL";"PPCS_HAB";"AT1";20900
"T";"TOTAL";"PPCS_HAB";"AT11";20400
"T";"TOTAL";"PPCS_HAB";"AT12";21500
"T";"TOTAL";"PPCS_HAB";"AT13";20400
"T";"TOTAL";"PPCS_HAB";"AT2";20100
"T";"TOTAL";"PPCS_HAB";"AT21";19900
"T";"TOTAL";"PPCS_HAB";"AT22";20200
"T";"TOTAL";"PPCS_HAB";"AT3";20800
"T";"TOTAL";"PPCS_HAB";"AT31";20700
"T";"TOTAL";"PPCS_HAB";"AT32";21100
"T";"TOTAL";"PPCS_HAB";"AT33";20400
"T";"TOTAL";"PPCS_HAB";"AT34";21500
"T";"TOTAL";"PPCS_HAB";"BE";17100
"T";"TOTAL";"PPCS_HAB";"BE1";15500
"T";"TOTAL";"PPCS_HAB";"BE10";15500
"T";"TOTAL";"PPCS_HAB";"BE2";18200
"T";"TOTAL";"PPCS_HAB";"BE21";17600
"T";"TOTAL";"PPCS_HAB";"BE22";16800
"T";"TOTAL";"PPCS_HAB";"BE23";18400
"T";"TOTAL";"PPCS_HAB";"BE24";20200
"T";"TOTAL";"PPCS_HAB";"BE25";17900
"T";"TOTAL";"PPCS_HAB";"BE3";15600
"T";"TOTAL";"PPCS_HAB";"BE31";18900
"T";"TOTAL";"PPCS_HAB";"BE32";14800
"T";"TOTAL";"PPCS_HAB";"BE33";15300
"T";"TOTAL";"PPCS_HAB";"BE34";15600
"T";"TOTAL";"PPCS_HAB";"BE35";15800
"T";"TOTAL";"PPCS_HAB";"BG";6900
"T";"TOTAL";"PPCS_HAB";"BG3";6400
"T";"TOTAL";"PPCS_HAB";"BG31";5800
"T";"TOTAL";"PPCS_HAB";"BG32";6300
"T";"TOTAL";"PPCS_HAB";"BG33";7000
"T";"TOTAL";"PPCS_HAB";"BG34";6500
"T";"TOTAL";"PPCS_HAB";"BG4";7500
"T";"TOTAL";"PPCS_HAB";"BG41";8100
"T";"TOTAL";"PPCS_HAB";"BG42";6600
"T";"TOTAL";"PPCS_HAB";"CY";15200
"T";"TOTAL";"PPCS_HAB";"CY0";15200
"T";"TOTAL";"PPCS_HAB";"CY00";15200
"T";"TOTAL";"PPCS_HAB";"CZ";11100
"T";"TOTAL";"PPCS_HAB";"CZ0";11100
"T";"TOTAL";"PPCS_HAB";"CZ01";14600
"T";"TOTAL";"PPCS_HAB";"CZ02";12000
"T";"TOTAL";"PPCS_HAB";"CZ03";10900
"T";"TOTAL";"PPCS_HAB";"CZ04";9800
"T";"TOTAL";"PPCS_HAB";"CZ05";10600
"T";"TOTAL";"PPCS_HAB";"CZ06";11000
"T";"TOTAL";"PPCS_HAB";"CZ07";10200
"T";"TOTAL";"PPCS_HAB";"CZ08";10000
"T";"TOTAL";"PPCS_HAB";"DE";20300
"T";"TOTAL";"PPCS_HAB";"DE1";22100
"T";"TOTAL";"PPCS_HAB";"DE11";22900
"T";"TOTAL";"PPCS_HAB";"DE12";21500
"T";"TOTAL";"PPCS_HAB";"DE13";21500
"T";"TOTAL";"PPCS_HAB";"DE14";21900
"T";"TOTAL";"PPCS_HAB";"DE2";22200
"T";"TOTAL";"PPCS_HAB";"DE21";24200
"T";"TOTAL";"PPCS_HAB";"DE22";20200
"T";"TOTAL";"PPCS_HAB";"DE23";20100
"T";"TOTAL";"PPCS_HAB";"DE24";21100
"T";"TOTAL";"PPCS_HAB";"DE25";21900
"T";"TOTAL";"PPCS_HAB";"DE26";21100
"T";"TOTAL";"PPCS_HAB";"DE27";21700
"T";"TOTAL";"PPCS_HAB";"DE3";18000
"T";"TOTAL";"PPCS_HAB";"DE30";18000
"T";"TOTAL";"PPCS_HAB";"DE4";17700
"T";"TOTAL";"PPCS_HAB";"DE40";17700
"T";"TOTAL";"PPCS_HAB";"DE5";19700
"T";"TOTAL";"PPCS_HAB";"DE50";19700
"T";"TOTAL";"PPCS_HAB";"DE6";22500
"T";"TOTAL";"PPCS_HAB";"DE60";22500
"T";"TOTAL";"PPCS_HAB";"DE7";20900
"T";"TOTAL";"PPCS_HAB";"DE71";21600
"T";"TOTAL";"PPCS_HAB";"DE72";19800
"T";"TOTAL";"PPCS_HAB";"DE73";19600
"T";"TOTAL";"PPCS_HAB";"DE8";16700
"T";"TOTAL";"PPCS_HAB";"DE80";16700
"T";"TOTAL";"PPCS_HAB";"DE9";19400
"T";"TOTAL";"PPCS_HAB";"DE91";19300
"T";"TOTAL";"PPCS_HAB";"DE92";19500
"T";"TOTAL";"PPCS_HAB";"DE93";20200
"T";"TOTAL";"PPCS_HAB";"DE94";18800
"T";"TOTAL";"PPCS_HAB";"DEA";20400
"T";"TOTAL";"PPCS_HAB";"DEA1";20500
"T";"TOTAL";"PPCS_HAB";"DEA2";20400
"T";"TOTAL";"PPCS_HAB";"DEA3";19400
"T";"TOTAL";"PPCS_HAB";"DEA4";20900
"T";"TOTAL";"PPCS_HAB";"DEA5";20400
"T";"TOTAL";"PPCS_HAB";"DEB";20800
"T";"TOTAL";"PPCS_HAB";"DEB1";20800
"T";"TOTAL";"PPCS_HAB";"DEB2";20600
"T";"TOTAL";"PPCS_HAB";"DEB3";20900
"T";"TOTAL";"PPCS_HAB";"DEC";19100
"T";"TOTAL";"PPCS_HAB";"DEC0";19100
"T";"TOTAL";"PPCS_HAB";"DED";17500
"T";"TOTAL";"PPCS_HAB";"DED2";17500
"T";"TOTAL";"PPCS_HAB";"DED4";17700
"T";"TOTAL";"PPCS_HAB";"DED5";17100
"T";"TOTAL";"PPCS_HAB";"DEE";16900
"T";"TOTAL";"PPCS_HAB";"DEE0";16900
"T";"TOTAL";"PPCS_HAB";"DEF";20500
"T";"TOTAL";"PPCS_HAB";"DEF0";20500
"T";"TOTAL";"PPCS_HAB";"DEG";17200
"T";"TOTAL";"PPCS_HAB";"DEG0";17200
"T";"TOTAL";"PPCS_HAB";"DK";14100
"T";"TOTAL";"PPCS_HAB";"DK0";14100
"T";"TOTAL";"PPCS_HAB";"DK01";14800
"T";"TOTAL";"PPCS_HAB";"DK02";14100
"T";"TOTAL";"PPCS_HAB";"DK03";13700
"T";"TOTAL";"PPCS_HAB";"DK04";13800
"T";"TOTAL";"PPCS_HAB";"DK05";13900
"T";"TOTAL";"PPCS_HAB";"EE";9600
"T";"TOTAL";"PPCS_HAB";"EE0";NA
"T";"TOTAL";"PPCS_HAB";"EE00";NA
"T";"TOTAL";"PPCS_HAB";"EL";11400
"T";"TOTAL";"PPCS_HAB";"EL3";13200
"T";"TOTAL";"PPCS_HAB";"EL30";13200
"T";"TOTAL";"PPCS_HAB";"EL4";10500
"T";"TOTAL";"PPCS_HAB";"EL41";11100
"T";"TOTAL";"PPCS_HAB";"EL42";11900
"T";"TOTAL";"PPCS_HAB";"EL43";9600
"T";"TOTAL";"PPCS_HAB";"EL5";10600
"T";"TOTAL";"PPCS_HAB";"EL51";9600
"T";"TOTAL";"PPCS_HAB";"EL52";10700
"T";"TOTAL";"PPCS_HAB";"EL53";11500
"T";"TOTAL";"PPCS_HAB";"EL54";10800
"T";"TOTAL";"PPCS_HAB";"EL6";10100
"T";"TOTAL";"PPCS_HAB";"EL61";10500
"T";"TOTAL";"PPCS_HAB";"EL62";11600
"T";"TOTAL";"PPCS_HAB";"EL63";9500
"T";"TOTAL";"PPCS_HAB";"EL64";9200
"T";"TOTAL";"PPCS_HAB";"EL65";10400
"T";"TOTAL";"PPCS_HAB";"ES";14000
"T";"TOTAL";"PPCS_HAB";"ES1";13400
"T";"TOTAL";"PPCS_HAB";"ES11";13000
"T";"TOTAL";"PPCS_HAB";"ES12";14600
"T";"TOTAL";"PPCS_HAB";"ES13";13800
"T";"TOTAL";"PPCS_HAB";"ES2";17300
"T";"TOTAL";"PPCS_HAB";"ES21";18800
"T";"TOTAL";"PPCS_HAB";"ES22";17600
"T";"TOTAL";"PPCS_HAB";"ES23";14700
"T";"TOTAL";"PPCS_HAB";"ES24";15400
"T";"TOTAL";"PPCS_HAB";"ES3";17600
"T";"TOTAL";"PPCS_HAB";"ES30";17600
"T";"TOTAL";"PPCS_HAB";"ES4";12600
"T";"TOTAL";"PPCS_HAB";"ES41";14100
"T";"TOTAL";"PPCS_HAB";"ES42";11800
"T";"TOTAL";"PPCS_HAB";"ES43";10700
"T";"TOTAL";"PPCS_HAB";"ES5";14600
"T";"TOTAL";"PPCS_HAB";"ES51";16100
"T";"TOTAL";"PPCS_HAB";"ES52";12400
"T";"TOTAL";"PPCS_HAB";"ES53";14000
"T";"TOTAL";"PPCS_HAB";"ES6";11000
"T";"TOTAL";"PPCS_HAB";"ES61";11000
"T";"TOTAL";"PPCS_HAB";"ES62";11400
"T";"TOTAL";"PPCS_HAB";"ES63";12100
"T";"TOTAL";"PPCS_HAB";"ES64";10900
"T";"TOTAL";"PPCS_HAB";"ES7";11800
"T";"TOTAL";"PPCS_HAB";"ES70";11800
"T";"TOTAL";"PPCS_HAB";"FI";16200
"T";"TOTAL";"PPCS_HAB";"FI1";16200
"T";"TOTAL";"PPCS_HAB";"FI19";15500
"T";"TOTAL";"PPCS_HAB";"FI1B";18000
"T";"TOTAL";"PPCS_HAB";"FI1C";15800
"T";"TOTAL";"PPCS_HAB";"FI1D";15000
"T";"TOTAL";"PPCS_HAB";"FI2";18600
"T";"TOTAL";"PPCS_HAB";"FI20";18600
"T";"TOTAL";"PPCS_HAB";"FR";17600
"T";"TOTAL";"PPCS_HAB";"FR1";20900
"T";"TOTAL";"PPCS_HAB";"FR10";20900
"T";"TOTAL";"PPCS_HAB";"FR2";17200
"T";"TOTAL";"PPCS_HAB";"FR21";16600
"T";"TOTAL";"PPCS_HAB";"FR22";16700
"T";"TOTAL";"PPCS_HAB";"FR23";17200
"T";"TOTAL";"PPCS_HAB";"FR24";17700
"T";"TOTAL";"PPCS_HAB";"FR25";17100
"T";"TOTAL";"PPCS_HAB";"FR26";17600
"T";"TOTAL";"PPCS_HAB";"FR3";15000
"T";"TOTAL";"PPCS_HAB";"FR30";15000
"T";"TOTAL";"PPCS_HAB";"FR4";16900
"T";"TOTAL";"PPCS_HAB";"FR41";16500
"T";"TOTAL";"PPCS_HAB";"FR42";17300
"T";"TOTAL";"PPCS_HAB";"FR43";17100
"T";"TOTAL";"PPCS_HAB";"FR5";17100
"T";"TOTAL";"PPCS_HAB";"FR51";17000
"T";"TOTAL";"PPCS_HAB";"FR52";17100
"T";"TOTAL";"PPCS_HAB";"FR53";17200
"T";"TOTAL";"PPCS_HAB";"FR6";17200
"T";"TOTAL";"PPCS_HAB";"FR61";17100
"T";"TOTAL";"PPCS_HAB";"FR62";17200
"T";"TOTAL";"PPCS_HAB";"FR63";17300
"T";"TOTAL";"PPCS_HAB";"FR7";17900
"T";"TOTAL";"PPCS_HAB";"FR71";17900
"T";"TOTAL";"PPCS_HAB";"FR72";18000
"T";"TOTAL";"PPCS_HAB";"FR8";16900
"T";"TOTAL";"PPCS_HAB";"FR81";15800
"T";"TOTAL";"PPCS_HAB";"FR82";17500
"T";"TOTAL";"PPCS_HAB";"FR83";16600
"T";"TOTAL";"PPCS_HAB";"FRA";12500
"T";"TOTAL";"PPCS_HAB";"FRA1";14200
"T";"TOTAL";"PPCS_HAB";"FRA2";14100
"T";"TOTAL";"PPCS_HAB";"FRA3";9100
"T";"TOTAL";"PPCS_HAB";"FRA4";13900
"T";"TOTAL";"PPCS_HAB";"FRA5";4900
"T";"TOTAL";"PPCS_HAB";"HR";9200
"T";"TOTAL";"PPCS_HAB";"HR0";9200
"T";"TOTAL";"PPCS_HAB";"HR03";9000
"T";"TOTAL";"PPCS_HAB";"HR04";9300
"T";"TOTAL";"PPCS_HAB";"HU";9000
"T";"TOTAL";"PPCS_HAB";"HU1";9000
"T";"TOTAL";"PPCS_HAB";"HU10";9000
"T";"TOTAL";"PPCS_HAB";"HU2";9000
"T";"TOTAL";"PPCS_HAB";"HU21";9400
"T";"TOTAL";"PPCS_HAB";"HU22";9300
"T";"TOTAL";"PPCS_HAB";"HU23";8400
"T";"TOTAL";"PPCS_HAB";"HU3";8000
"T";"TOTAL";"PPCS_HAB";"HU31";7800
"T";"TOTAL";"PPCS_HAB";"HU32";7900
"T";"TOTAL";"PPCS_HAB";"HU33";8400
"T";"TOTAL";"PPCS_HAB";"IE";13800
"T";"TOTAL";"PPCS_HAB";"IE0";13800
"T";"TOTAL";"PPCS_HAB";"IE01";12500
"T";"TOTAL";"PPCS_HAB";"IE02";14300
"T";"TOTAL";"PPCS_HAB";"IT";16100
"T";"TOTAL";"PPCS_HAB";"ITC";19200
"T";"TOTAL";"PPCS_HAB";"ITC1";18300
"T";"TOTAL";"PPCS_HAB";"ITC2";18000
"T";"TOTAL";"PPCS_HAB";"ITC3";18500
"T";"TOTAL";"PPCS_HAB";"ITC4";19700
"T";"TOTAL";"PPCS_HAB";"ITF";12000
