"unit";"sex";"age";"geo";"X2014"
"PC";"F";"Y25-64";"AT";15.4
"PC";"F";"Y25-64";"AT1";17
"PC";"F";"Y25-64";"AT11";11
"PC";"F";"Y25-64";"AT12";13.9
"PC";"F";"Y25-64";"AT13";20.7
"PC";"F";"Y25-64";"AT2";13.6
"PC";"F";"Y25-64";"AT21";13.6
"PC";"F";"Y25-64";"AT22";13.6
"PC";"F";"Y25-64";"AT3";14.5
"PC";"F";"Y25-64";"AT31";14.5
"PC";"F";"Y25-64";"AT32";14
"PC";"F";"Y25-64";"AT33";14.4
"PC";"F";"Y25-64";"AT34";15.1
"PC";"F";"Y25-64";"BE";7.9
"PC";"F";"Y25-64";"BE1";11.3
"PC";"F";"Y25-64";"BE10";11.3
"PC";"F";"Y25-64";"BE2";8.3
"PC";"F";"Y25-64";"BE21";6.3
"PC";"F";"Y25-64";"BE22";6
"PC";"F";"Y25-64";"BE23";10.6
"PC";"F";"Y25-64";"BE24";9.9
"PC";"F";"Y25-64";"BE25";8.3
"PC";"F";"Y25-64";"BE3";6
"PC";"F";"Y25-64";"BE31";9.5
"PC";"F";"Y25-64";"BE32";4.4
"PC";"F";"Y25-64";"BE33";7.3
"PC";"F";"Y25-64";"BE34";4.7
"PC";"F";"Y25-64";"BE35";5.3
"PC";"F";"Y25-64";"BG";2.3
"PC";"F";"Y25-64";"BG3";1.4
"PC";"F";"Y25-64";"BG31";NA
"PC";"F";"Y25-64";"BG32";1.7
"PC";"F";"Y25-64";"BG33";1.8
"PC";"F";"Y25-64";"BG34";NA
"PC";"F";"Y25-64";"BG4";3.2
"PC";"F";"Y25-64";"BG41";4.3
"PC";"F";"Y25-64";"BG42";1.5
"PC";"F";"Y25-64";"CY";7.5
"PC";"F";"Y25-64";"CY0";7.5
"PC";"F";"Y25-64";"CY00";7.5
"PC";"F";"Y25-64";"CZ";9.8
"PC";"F";"Y25-64";"CZ0";9.8
"PC";"F";"Y25-64";"CZ01";7.9
"PC";"F";"Y25-64";"CZ02";9.4
"PC";"F";"Y25-64";"CZ03";9.7
"PC";"F";"Y25-64";"CZ04";8.3
"PC";"F";"Y25-64";"CZ05";13.3
"PC";"F";"Y25-64";"CZ06";11.6
"PC";"F";"Y25-64";"CZ07";8.1
"PC";"F";"Y25-64";"CZ08";8.9
"PC";"F";"Y25-64";"DE";7.9
"PC";"F";"Y25-64";"DE1";8.8
"PC";"F";"Y25-64";"DE11";9.3
"PC";"F";"Y25-64";"DE12";8.7
"PC";"F";"Y25-64";"DE13";7.6
"PC";"F";"Y25-64";"DE14";9.3
"PC";"F";"Y25-64";"DE2";7.1
"PC";"F";"Y25-64";"DE21";8.2
"PC";"F";"Y25-64";"DE22";4.9
"PC";"F";"Y25-64";"DE23";6.5
"PC";"F";"Y25-64";"DE24";7.9
"PC";"F";"Y25-64";"DE25";6.5
"PC";"F";"Y25-64";"DE26";7.6
"PC";"F";"Y25-64";"DE27";6.1
"PC";"F";"Y25-64";"DE3";11.1
"PC";"F";"Y25-64";"DE30";11.1
"PC";"F";"Y25-64";"DE4";6.7
"PC";"F";"Y25-64";"DE40";6.7
"PC";"F";"Y25-64";"DE5";8.1
"PC";"F";"Y25-64";"DE50";8.1
"PC";"F";"Y25-64";"DE6";10.2
"PC";"F";"Y25-64";"DE60";10.2
"PC";"F";"Y25-64";"DE7";8.5
"PC";"F";"Y25-64";"DE71";8.7
"PC";"F";"Y25-64";"DE72";10
"PC";"F";"Y25-64";"DE73";6.4
"PC";"F";"Y25-64";"DE8";8.4
"PC";"F";"Y25-64";"DE80";8.4
"PC";"F";"Y25-64";"DE9";6.5
"PC";"F";"Y25-64";"DE91";7.2
"PC";"F";"Y25-64";"DE92";7.3
"PC";"F";"Y25-64";"DE93";6.1
"PC";"F";"Y25-64";"DE94";5.7
"PC";"F";"Y25-64";"DEA";7.1
"PC";"F";"Y25-64";"DEA1";6.6
"PC";"F";"Y25-64";"DEA2";8.1
"PC";"F";"Y25-64";"DEA3";6.7
"PC";"F";"Y25-64";"DEA4";7.4
"PC";"F";"Y25-64";"DEA5";6.9
"PC";"F";"Y25-64";"DEB";8
"PC";"F";"Y25-64";"DEB1";6.8
"PC";"F";"Y25-64";"DEB2";7.8
"PC";"F";"Y25-64";"DEB3";8.9
"PC";"F";"Y25-64";"DEC";6.7
"PC";"F";"Y25-64";"DEC0";6.7
"PC";"F";"Y25-64";"DED";9.4
"PC";"F";"Y25-64";"DED2";10.5
"PC";"F";"Y25-64";"DED4";7.7
"PC";"F";"Y25-64";"DED5";10.3
"PC";"F";"Y25-64";"DEE";8.1
"PC";"F";"Y25-64";"DEE0";8.1
"PC";"F";"Y25-64";"DEF";7.3
"PC";"F";"Y25-64";"DEF0";7.3
"PC";"F";"Y25-64";"DEG";8.5
"PC";"F";"Y25-64";"DEG0";8.5
"PC";"F";"Y25-64";"DK";37.7
"PC";"F";"Y25-64";"DK0";37.7
"PC";"F";"Y25-64";"DK01";42.1
"PC";"F";"Y25-64";"DK02";35.3
"PC";"F";"Y25-64";"DK03";35.8
"PC";"F";"Y25-64";"DK04";36.9
"PC";"F";"Y25-64";"DK05";32.2
"PC";"F";"Y25-64";"EE";13.9
"PC";"F";"Y25-64";"EE0";13.9
"PC";"F";"Y25-64";"EE00";13.9
"PC";"F";"Y25-64";"EL";3.1
"PC";"F";"Y25-64";"EL3";4.5
"PC";"F";"Y25-64";"EL30";4.5
"PC";"F";"Y25-64";"EL4";1.7
"PC";"F";"Y25-64";"EL41";NA
"PC";"F";"Y25-64";"EL42";1.6
"PC";"F";"Y25-64";"EL43";1.9
"PC";"F";"Y25-64";"EL5";2.6
"PC";"F";"Y25-64";"EL51";2.8
"PC";"F";"Y25-64";"EL52";2.6
"PC";"F";"Y25-64";"EL53";4
"PC";"F";"Y25-64";"EL54";NA
"PC";"F";"Y25-64";"EL6";2
"PC";"F";"Y25-64";"EL61";2.9
"PC";"F";"Y25-64";"EL62";NA
"PC";"F";"Y25-64";"EL63";1.8
"PC";"F";"Y25-64";"EL64";1.3
"PC";"F";"Y25-64";"EL65";1.5
"PC";"F";"Y25-64";"ES";10.8
"PC";"F";"Y25-64";"ES1";10.2
"PC";"F";"Y25-64";"ES11";10.5
"PC";"F";"Y25-64";"ES12";9.4
"PC";"F";"Y25-64";"ES13";10
"PC";"F";"Y25-64";"ES2";12.8
"PC";"F";"Y25-64";"ES21";13.1
"PC";"F";"Y25-64";"ES22";12.4
"PC";"F";"Y25-64";"ES23";11.3
"PC";"F";"Y25-64";"ES24";12.9
"PC";"F";"Y25-64";"ES3";12.3
"PC";"F";"Y25-64";"ES30";12.3
"PC";"F";"Y25-64";"ES4";11.3
"PC";"F";"Y25-64";"ES41";12.1
"PC";"F";"Y25-64";"ES42";11.2
"PC";"F";"Y25-64";"ES43";9.7
"PC";"F";"Y25-64";"ES5";10.2
"PC";"F";"Y25-64";"ES51";9.1
"PC";"F";"Y25-64";"ES52";12
"PC";"F";"Y25-64";"ES53";9.3
"PC";"F";"Y25-64";"ES6";9.8
"PC";"F";"Y25-64";"ES61";9.6
"PC";"F";"Y25-64";"ES62";11.1
"PC";"F";"Y25-64";"ES63";9.9
"PC";"F";"Y25-64";"ES64";9.1
"PC";"F";"Y25-64";"ES7";10.4
"PC";"F";"Y25-64";"ES70";10.4
"PC";"F";"Y25-64";"FI";28.8
"PC";"F";"Y25-64";"FI1";28.7
"PC";"F";"Y25-64";"FI19";26.7
"PC";"F";"Y25-64";"FI1B";33.1
"PC";"F";"Y25-64";"FI1C";26
