"","mean","n","stdev"
"pop_Total",18106209.5714286,28,23370416.2121349
"pop_Y0-14",15.7051494698502,28,1.80164909746253
"pop_Y15-24",11.6780104371093,28,1.09745531767648
"pop_Y25-64",54.8871070646144,28,2.01504895066968
"pop_Y65-74",9.59049912318929,28,1.09799902713377
"pop_YGE75",8.13923390523674,28,1.40300220239746
"ARPR",16.8392857142857,28,3.82160905473019
"low_work",10.7428571428571,28,3.54729198449753
"rooms_pp",1.6,28,0.367171369819073
"mat_depriv",10.45,28,7.97512335908308
"ARPR_socexcl",24.8821428571429,28,7.00307094391472
"emp_Y15-24_ED0-2",21.5125039023971,28,12.1352349188933
"emp_Y25-64_ED0-2",16.4030363636304,28,11.835380995407
"emp_Y15-24_ED3-4",62.2145054394538,28,13.0255897755431
"emp_Y25-64_ED3-4",47.8382929455092,28,13.2316822698308
"emp_Y15-24_ED5-8",16.0177983153598,28,8.99785684116803
"emp_Y25-64_ED5-8",35.4123231352051,28,8.7273274574244
"emp_TF",47.3969303672162,28,5.47117918974804
"emp_TP",9.5528800873911,28,6.76353153373945
"emp_Y15-24",29.9297933496385,28,12.4718997404645
"emp_Y25-64",70.8173151299447,28,5.96476598949208
"emp_YGE65",5.71563755871775,28,3.01019897416807
"emp_Y15-24_NaceA",6.380582475518,26,8.06315568539331
"emp_Y25-64_NaceA",5.26059877722916,28,4.87330183975098
"emp_Y15-24_NaceB-E",16.6048084889948,28,8.45040796880235
"emp_Y25-64_NaceB-E",17.4275859367788,28,5.65007552123272
"emp_Y15-24_NaceF",6.80781706752485,28,2.23930674371247
"emp_Y25-64_NaceF",6.90568859264866,28,1.27295581659234
"emp_Y15-24_NaceG-I",36.7543898205799,28,7.24238340015653
"emp_Y25-64_NaceG-I",23.3209441456041,28,3.71733457807864
"emp_Y15-24_NaceJ",2.63176859189926,25,1.02978481640119
"emp_Y25-64_NaceJ",3.10294381291949,28,0.813455597898374
"emp_Y15-24_NaceK",1.84784470036627,17,0.873930156347407
"emp_Y25-64_NaceK",3.28893110112962,28,2.2252442068934
"emp_Y15-24_NaceL",0.667149880607193,8,0.395000963170406
"emp_Y25-64_NaceL",0.808093115170378,28,0.49784396068642
"emp_Y15-24_NaceM_N",7.47266787473066,28,2.25404798519031
"emp_Y25-64_NaceM_N",8.74356523413343,28,2.14484898436366
"emp_Y15-24_NaceO-Q",14.3765706560004,28,6.58084812281013
"emp_Y25-64_NaceO-Q",25.6197182887438,28,5.17926730864494
"emp_Y15-24_NaceR-U",6.50377543669331,28,2.26490012957023
"emp_Y25-64_NaceR-U",5.05912531443823,28,2.06683512459428
"unemp_Y15-24",8.74725121875348,28,3.50799224012297
"unemp_YGE25",6.1899481962844,28,3.31959277106604
"GDP",26839.2857142857,28,11429.7966439806
"GVAgr",1.716,25,1.73101126512799
"disp_income",13323.0769230769,26,3735.59180771215
"training",10.5928571428571,28,8.01701563442031
"earn_OC1_NaceB-F",21.9942307692308,26,8.16947056941975
"earn_OC2_NaceB-F",16.6842307692308,26,6.40587928270705
"earn_OC3_NaceB-F",12.7288461538462,26,5.01809392253519
"earn_OC4_NaceB-F",10.5407692307692,26,4.24824191691285
"earn_OC5_NaceB-F",8.3588,25,3.72217602127214
"earn_OC6_NaceB-F",7.34153846153846,13,4.66844700472196
"earn_OC7_NaceB-F",8.83653846153846,26,3.99687271982253
"earn_OC8_NaceB-F",9.06576923076923,26,4.02384410540659
"earn_OC9_NaceB-F",8.01461538461538,26,3.60082904983753
"earn_OC1_NaceG-N",21.6603846153846,26,7.03872004317219
"earn_OC2_NaceG-N",16.8846153846154,26,5.41833349344186
"earn_OC3_NaceG-N",13.0488461538462,26,4.51002645395619
"earn_OC4_NaceG-N",10.4969230769231,26,3.98678393618793
"earn_OC5_NaceG-N",8.23269230769231,26,3.35668116769205
"earn_OC6_NaceG-N",8.37470588235294,17,3.96130205495469
"earn_OC7_NaceG-N",8.44538461538462,26,3.60508666277995
"earn_OC8_NaceG-N",8.95192307692308,26,3.64925199922479
"earn_OC9_NaceG-N",7.29769230769231,26,3.23918175802755
"earn_OC1_NaceP-S",19.6530769230769,26,8.08437493897
"earn_OC2_NaceP-S",16.1203846153846,26,7.20524335787167
"earn_OC3_NaceP-S",11.8319230769231,26,5.33672635178591
"earn_OC4_NaceP-S",10.3080769230769,26,4.76990819134353
"earn_OC5_NaceP-S",8.77846153846154,26,4.30755586597104
"earn_OC6_NaceP-S",8.084375,16,4.04759511932703
"earn_OC7_NaceP-S",8.45434782608696,23,4.27964827153625
"earn_OC8_NaceP-S",7.49434782608696,23,3.49179535233792
"earn_OC9_NaceP-S",7.56346153846154,26,3.74126603417366
"expend_ED5-8",1.27565217391304,23,0.424262205448862
