"","mean","n","stdev"
"mismatch",59.2979422011906,8,20.0345341425567
"lmktm_OC0",12.2406985482129,5,7.25971612728101
"lmktm_OC1",18.8723280897268,20,17.8973097578335
"lmktm_OC2",16.6216867740136,23,14.7930017707987
"lmktm_OC3",15.8312255376555,23,12.4608062673773
"lmktm_OC4",16.2987542863287,22,13.3188538180085
"lmktm_OC5",20.3182944468213,23,14.2552332118701
"lmktm_OC6",25.7379233299112,7,15.6704376104626
"lmktm_OC7",21.2301416757231,23,14.7404705507367
"lmktm_OC8",20.8335061938681,22,16.3192809685141
"lmktm_OC9",30.7629107291208,23,19.6579632993082
"lmktm_ED0-2",25.0415282055478,22,16.9364177114095
"lmktm_ED3_4",17.8766789546236,24,12.390846035
"lmktm_ED5-8",18.1441881487956,24,15.5116510624219
"lmktm_Total",17.924606269515,25,14.38379555987
"migrt_Total",0.789734654531831,28,0.60193454832777
"migrt_Y15-24",1.18183532075563,28,1.11177638804738
"migrt_Y25-64",0.977879826540291,28,0.88602039089342
