"K","Average silhouette width"
1,0
2,0.224905348357834
3,0.186056556818233
4,0.183104677979501
5,0.195916247319705
6,0.205136789233111
7,0.213841952411516
8,0.218168596841297
9,0.213351146183957
10,0.2255913063918
11,0.203549678839526
12,0.197463914861824
13,0.17337065079011
14,0.160608678139216
15,0.139755904750621
16,0.125055815540303
17,0.105918468492003
18,0.101371768752607
19,0.0789482563122039
20,0.0695554609200398
21,0.0718816462476077
22,0.0654299075373568
23,0.0615305633541572
24,0.047518390284643
25,0.0360244923682903
26,0.0176169295792492
27,0.0139313553869841
