"","cluster","neighbor","sil_width"
"ITH1",1,2,0.462912784846475
"AT31",1,2,0.457999119396406
"UKH2",1,2,0.452559901306368
"AT12",1,2,0.450829588015274
"UKJ2",1,2,0.450042713472557
"UKK1",1,2,0.449207666254015
"AT22",1,2,0.44718298610027
"UKJ3",1,2,0.442535045509876
"UKJ1",1,2,0.442285703280245
"AT13",1,2,0.441352130609467
"AT33",1,2,0.441148855327429
"UKI7",1,2,0.431680523594617
"AT34",1,2,0.429595605768233
"AT32",1,2,0.428583199156841
"UKD6",1,2,0.428065187593716
"SE33",1,2,0.42805633588173
"DE14",1,2,0.427985641660935
"DE12",1,2,0.421522283014888
"SE21",1,2,0.419875741649058
"DEB3",1,2,0.419521849318678
"FI1B",1,2,0.419399717864314
"ITH2",1,2,0.413428609372186
"UKG1",1,2,0.412617751314578
"DE13",1,2,0.412169858890826
"UKI6",1,2,0.410775910397573
"UKK2",1,2,0.410646068898229
"DE72",1,2,0.408925343180233
"FI1C",1,2,0.406535543455562
"SE32",1,2,0.405575041420655
"SE11",1,2,0.405254621074884
"SE31",1,2,0.4041079608512
"UKE2",1,2,0.403666870760557
"UKH1",1,2,0.403623537167474
"SE23",1,2,0.403418343496876
"SE12",1,2,0.403383282324918
"UKM2",1,2,0.401614495046458
"DE24",1,2,0.397661572471071
"DE26",1,2,0.397550069064197
"AT21",1,2,0.395949439329957
"DE25",1,2,0.394694397825425
"UKJ4",1,2,0.394657587572108
"DEA4",1,2,0.394519666719188
"UKM5",1,2,0.394064747096567
"DE27",1,2,0.393549815929949
"UKH3",1,2,0.391365870317954
"SE22",1,2,0.390650108002621
"UKF2",1,2,0.389658098050381
"DE91",1,2,0.385922909260455
"DE11",1,2,0.383823139652468
"DE92",1,2,0.3821425259038
"NL32",1,2,0.379525135904803
"DE71",1,2,0.379343602957942
"NL31",1,2,0.376686290411481
"DE23",1,2,0.375522213814026
"BE24",1,2,0.375475582436802
"DE60",1,2,0.372567966528825
"ITH4",1,2,0.369388661187046
"FI19",1,2,0.367789681333565
"FR42",1,2,0.366485150808783
"FI1D",1,2,0.365017642231976
"DEB1",1,2,0.364572312856893
"DEF0",1,2,0.364279159769284
"NL41",1,2,0.361932790708672
"DE50",1,2,0.361632883913546
"ES21",1,2,0.360364563137603
"DE73",1,2,0.360150356402063
"UKK4",1,2,0.357019856791732
"UKL2",1,2,0.356665778097242
"FR72",1,2,0.355885892813045
"BE23",1,2,0.355076714150251
"UKI4",1,2,0.354463928728128
"DK05",1,2,0.352884878170908
"FR24",1,2,0.352520267643164
"DEA3",1,2,0.349607184066959
"FR62",1,2,0.348751783323675
"DK03",1,2,0.348120966710393
"DE21",1,2,0.347164400124579
"DK01",1,2,0.346493430848085
"DK04",1,2,0.346264975268074
"DE22",1,2,0.345476555798719
"NL22",1,2,0.344448401016551
"NL33",1,2,0.343452364129968
"UKD1",1,2,0.343267080559902
"FR52",1,2,0.339981532257621
"FI20",1,2,0.339554656138927
"ITH5",1,2,0.335576952178096
"DE30",1,2,0.33517387286541
"DEB2",1,2,0.334794657711054
"FR51",1,2,0.334578447666844
"DEA2",1,2,0.333869750345396
"DEA5",1,2,0.332660483879093
"FR61",1,2,0.332412306389453
"FR26",1,2,0.332192862225903
"FR23",1,2,0.329320139608929
"UKG2",1,2,0.32822947325196
"DE94",1,2,0.326469997904487
"BE25",1,2,0.320528115756552
"NL34",1,2,0.319027067071264
"FR53",1,2,0.317877711428553
"UKI5",1,2,0.316563747929175
"DE93",1,2,0.314065634932802
"FR25",1,2,0.312469821935293
"NL21",1,2,0.311523143493745
"DEC0",1,2,0.309772432520529
"ES22",1,2,0.30935111939045
"AT11",1,2,0.308555737528049
"DK02",1,2,0.308546495121071
"UKF1",1,2,0.307502525522468
"UKF3",1,2,0.306698984757233
"DED2",1,2,0.305237583123157
"NL42",1,2,0.302792900458964
"FR63",1,2,0.302630817995923
"UKM3",1,2,0.298458636361253
"FR43",1,2,0.296738289120649
"DEA1",1,2,0.293084117978826
"ITC2",1,2,0.292430244156432
"CZ01",1,2,0.285849059987536
"BE21",1,2,0.284954745379996
"UKK3",1,2,0.282805438009906
"UKD4",1,2,0.278849523828911
"ITI1",1,2,0.278594410071532
"FR82",1,2,0.277824942400796
"DED5",1,2,0.276917578125732
"UKD3",1,2,0.273495564594426
"BE31",1,2,0.273059079673224
"NL12",1,2,0.270206762244084
"ITH3",1,2,0.266646827064696
"SK01",1,2,0.265339000411138
"UKM6",1,2,0.265150841260249
"FR41",1,2,0.262750231660837
"UKE4",1,2,0.262510178246078
"ITC3",1,2,0.260434089481867
"NL23",1,2,0.257109236016307
"FR71",1,2,0.256854400332761
"NL13",1,2,0.255015376306611
"FR21",1,2,0.251397008881124
"ITC1",1,2,0.24864117429802
"UKE1",1,2,0.2439460390289
"LU00",1,2,0.240732246576856
"DEG0",1,2,0.239593244086846
"ITI3",1,2,0.239027734688878
"IE02",1,2,0.233135036121699
"FR81",1,2,0.231555978262353
"NL11",1,2,0.225933452287018
"UKE3",1,2,0.223561999351258
"UKC2",1,2,0.221118091107785
"UKD7",1,2,0.218356293276707
"UKL1",1,2,0.217616217005433
"DE40",1,2,0.208837824776377
"BE10",1,2,0.202912189563223
"ES30",1,2,0.202539179597473
"FR22",1,2,0.198944030402794
"DED4",1,2,0.198070512275396
