"","cluster","neighbor","sil_width"
"AT33",1,3,0.515869059865036
"AT34",1,11,0.49708546900075
"AT31",1,11,0.481210662784052
"AT32",1,11,0.473259557386191
"AT22",1,3,0.469410657302237
"AT21",1,3,0.400676026270187
"AT12",1,3,0.400528548821274
"AT11",1,3,0.21047581202066
"AT13",1,37,0.0628098976511064
"LU00",2,8,0.104212378737682
"BE10",2,3,0.0863650881379883
"BE25",3,11,0.296296397037619
"BE23",3,11,0.27091787192346
"BE24",3,11,0.224995160425114
"BE31",3,11,0.127173723005287
"BE21",3,12,0.0709510045746463
"BE22",3,4,0.0072576300208701
"BE32",4,13,0.447188118552791
"BE33",4,3,0.445853429814115
"BE35",4,3,0.422697167634498
"BE34",4,3,0.413383636505059
"MT00",4,3,0.069841272605929
"BG33",5,28,0.319262952237801
"BG34",5,28,0.318563994248802
"BG31",5,28,0.307976150975281
"BG32",5,28,0.303182127081688
"BG42",5,28,0.294154518690325
"HU31",5,28,0.198302192485705
"HU23",5,28,0.169165899203015
"RO22",5,28,0.150777717427275
"RO31",5,28,0.121663889898399
"HU33",5,28,0.096983451141103
"RO21",5,29,0.0206993285974169
"HU32",5,28,0.0104010714967825
"RO12",5,28,-0.105700697762361
"HU21",6,5,0.1882969269267
"HU22",6,9,0.173994626485435
"BG41",6,29,0.0487877006364423
"LV00",6,5,0.00514328695001642
"RO11",6,28,-0.0235602210392682
"CZ08",6,9,-0.128807375456739
"RO32",6,29,-0.162505701660523
"RO42",6,5,-0.191061093460565
"CZ04",6,28,-0.231177496069613
"RO41",6,5,-0.239397375462798
"SK02",6,28,-0.355239942902661
"CZ07",6,9,-0.390318651463845
"UKE4",7,36,0.41586460263737
"UKD3",7,36,0.385830716793941
"UKN0",7,36,0.376637381319828
"UKF1",7,36,0.373875537089767
"UKD7",7,36,0.368281183980925
"UKM3",7,36,0.358387293047671
"UKG3",7,26,0.357729150658014
"UKL1",7,36,0.352978483444387
"UKC2",7,36,0.342114416926776
"UKE3",7,36,0.324566496175091
"UKC1",7,36,0.319413166055997
"UKD4",7,36,0.286167415869616
"UKI5",7,36,0.246203993990078
"UKE1",7,36,0.143500103124849
"UKM2",7,36,0.132933396875506
"CY00",7,4,0.130176776786507
"UKF2",7,36,0.0684698040851083
"UKG2",7,36,0.0643127250102493
"UKL2",7,36,0.0512479201340277
"UKH1",7,36,0.0290093285696872
"SK01",8,11,0.448649040184483
"CZ01",8,9,0.375699470688304
"CZ03",9,29,0.549038925448805
"CZ05",9,29,0.544110520075542
"CZ02",9,29,0.491910223741487
"SI04",9,7,0.401701312089772
"CZ06",9,29,0.387494523884303
"SI03",9,28,0.302678043802507
"DE21",10,12,0.42725272893549
"DE11",10,12,0.427037621481767
"DE71",10,12,0.381555970978238
"DEA1",10,12,0.195447295452323
"DEA2",10,12,0.114149774542678
"DE60",10,11,0.0329612337574741
"DE12",10,12,-0.118232380013549
"DE26",11,12,0.414979402057025
"DE24",11,12,0.410302618774323
"DE23",11,12,0.40313924984146
"DE22",11,12,0.37147806745485
"DEB2",11,13,0.316588581349076
"DE73",11,12,0.3151601155017
"DE25",11,12,0.287714191227738
"DE72",11,3,0.262438203377451
"DEC0",11,12,0.25608395123949
"DE27",11,12,0.241760337673277
"DE14",11,12,0.240076534997069
"DE50",11,3,0.216674676011064
"DEB1",11,12,0.207709036379501
"DE91",11,12,0.150515063882422
"ITH1",11,25,0.136420074743951
"DE13",11,12,0.0760146600530135
"DEA3",12,11,0.316755022089457
"DEF0",12,11,0.304736331433106
"DE94",12,11,0.240198356218315
"DEA5",12,10,0.237897716670407
"DE30",12,10,0.203370295159437
"DE92",12,11,0.054144940623235
"IE02",12,3,0.0374152207554218
"DEA4",12,11,-0.0793248864982184
"DE93",12,11,-0.080707642605004
"DEB3",12,11,-0.10422968659668
"DED4",13,11,0.460454743762148
"DED2",13,12,0.453354196102127
"DE80",13,12,0.433780529474862
"DEG0",13,12,0.384666288111096
"DED5",13,11,0.324833203156683
"DEE0",13,12,0.309266428253433
"DE40",13,12,0.265334578638937
"EE00",13,9,-0.156353875110832
"SE11",14,37,0.326040351963657
"SE23",14,15,0.277141661316475
"FI1B",14,15,0.201396333493078
"SE12",14,23,0.157465504676653
"SE22",14,23,0.0897888518358751
"DK01",14,15,0.0197506585458355
"DK03",15,14,0.566976442481128
"DK04",15,14,0.558903020977875
"DK02",15,23,0.484944563871253
"DK05",15,23,0.481743167281911
"ES41",16,19,0.262417296980246
"ES11",16,19,0.211594687112175
"EL30",16,31,0.0851278220362747
"ES52",16,21,0.0217723816847998
"PT11",16,29,-0.0098099125434199
"ES12",16,19,-0.0638502166727634
"PT17",16,19,-0.136176862658656
"EL65",17,21,0.579360477553085
"EL54",17,21,0.56381458966628
"EL51",17,21,0.538268471393132
"EL41",17,28,0.520524275795398
"EL61",17,21,0.513038197917487
"EL43",17,28,0.505015954215375
"EL63",17,21,0.437706624428257
"EL53",17,18,0.437114466582191
"EL62",17,35,0.434683122917115
"EL64",17,21,0.422644779084486
"EL52",17,21,0.199155198475608
"EL42",17,28,0.180877174813884
"FRA1",18,4,0.181631488010523
"FRA2",18,4,0.119573471206527
"FR83",18,4,0.0609361799001206
"ITG2",18,35,0.038828187433673
"ITF5",18,35,-0.0306044504465244
"ITF6",18,31,-0.0601666523931442
"ITF2",18,35,-0.0691511119785007
"FRA4",18,21,-0.07702872220269
"ES64",18,35,-0.0914258768170485
"ES63",18,35,-0.257817347845513
"ITF1",18,25,-0.271927290230937
"ES13",18,35,-0.302925662976611
"IE01",18,4,-0.447258381389752
"ES24",19,16,0.387787218025581
"ES23",19,35,0.327711649528383
"ES22",19,25,0.223577231219406
"ES21",19,25,0.0991604544379902
"ES53",19,35,0.0855353941686372
"ES51",20,30,0.598231204099342
"ES30",20,30,0.522405288283687
"ES70",21,16,0.291638767513991
"ES62",21,35,0.27087308154196
"ES43",21,17,0.266100003273512
"ES42",21,16,0.142102626638608
"ES61",22,31,0
"SE31",23,15,0.338755439244246
"SE32",23,15,0.262709580685542
"FI1C",23,15,0.237803236346649
"SE21",23,15,0.214178184975439
"FI19",23,15,0.213042085149508
"SE33",23,15,0.207203877666365
"FI1D",23,15,0.157202560834854
"FR63",23,25,0.111333258241221
"FI20",23,15,-0.0353957842819189
"FR43",23,7,-0.120692975346864
"FR10",24,20,0.424462658514762
"ITC4",24,20,0.182505069063475
"ITI3",25,13,0.29978177086711
"ITH4",25,13,0.299547633610064
"ITI2",25,35,0.265514182972417
"FR26",25,7,0.233815768521193
"ITC3",25,13,0.224065827858741
"FR53",25,7,0.214827829274827
"ITH2",25,11,0.202907881580762
"FR25",25,7,0.184356945262767
"FR23",25,7,0.161968392836751
"FR72",25,36,0.131112408241286
"ITC2",25,8,0.0920091247126734
"FR41",25,7,0.0582664780289328
"FR42",25,7,0.0536892756232591
"FR21",25,7,0.0266008930386377
"FR24",25,26,-0.0134637251114865
"FR22",25,7,-0.0661359312725333
"FR51",26,7,0.457680901785252
"FR52",26,25,0.408592268685651
"FR30",26,7,0.33849293049619
"FR62",26,23,0.2906786163034
"FR61",26,25,0.270288478915214
"FR71",26,20,0.211706083014653
"FR82",26,30,0.0783680262271019
"FR81",26,25,0.0211347574033567
"FRA5",27,5,0.576456819007344
"FRA3",27,5,0.439110239549606
"PL62",28,5,0.390400227687637
"SK04",28,29,0.381812547251148
"PL32",28,5,0.380672681523223
"PL43",28,6,0.378825509366547
"PL34",28,5,0.376739449535394
"PL61",28,29,0.365000619305645
"SK03",28,29,0.343486488067645
"PL52",28,5,0.324335749657948
"PL42",28,29,0.304740027989863
"PL33",28,6,0.257875231279263
"PL31",28,29,0.197861588006148
"HR04",28,29,0.14120632379119
"HR03",28,17,0.0901256789407285
"PL63",28,29,0.0781411820107408
"PL22",29,28,0.398711521801974
"PL41",29,28,0.299080427541907
"LT00",29,28,0.229286802688526
"PL21",29,28,0.163184278359218
"PL12",29,30,0.127795792783172
"PL51",29,28,0.127533013285685
"PL11",29,28,0.0755433389811744
"HU10",29,6,0.0209049486184776
"ITC1",30,26,0.558539157943786
"ITH3",30,26,0.515785370061426
"ITH5",30,26,0.481337373826476
"ITI1",30,25,0.448876267999055
"ITI4",30,20,0.178913148887863
"ITF3",31,29,0.426389414739824
"ITG1",31,29,0.376971957603365
"ITF4",31,29,0.158760863618892
"NL11",32,1,0
"NL13",33,34,0.555248342175171
"NL34",33,34,0.476154847872962
"NL12",33,34,0.466261091652785
"NL42",33,34,0.348732954403546
"NL21",33,34,0.29028417323951
"NL23",33,34,0.253995733606658
"NL32",34,33,0.52001865867713
"NL41",34,33,0.46942669827372
"NL33",34,33,0.466760109327684
"NL31",34,33,0.282768593950358
"NL22",34,33,0.0534649292070888
"PT30",35,18,0.449762895189306
"PT18",35,19,0.424664883734074
"PT15",35,19,0.418421493111791
"PT20",35,19,0.349269207782453
"PT16",35,6,0.267308544775104
"UKE2",36,7,0.268448385885745
"UKG1",36,7,0.267640357385805
"UKF3",36,7,0.265651244376793
"UKD1",36,7,0.246707818619084
"UKK2",36,7,0.24114544645804
"UKK3",36,7,0.226123077705148
"UKD6",36,3,0.174810509389757
"UKM6",36,7,0.156647904684573
"UKK4",36,7,0.076742902869914
"UKH3",36,7,-0.0034181101253834
"UKJ4",36,7,-0.0366349541038091
"UKJ1",37,1,0.372546071916366
"UKI7",37,36,0.366261575935353
"UKJ2",37,36,0.233864701498988
"UKH2",37,36,0.226963185283555
"UKI4",37,2,0.125186017474554
"UKM5",37,1,0.120814717727157
"UKI6",37,36,0.0984265077843021
"UKK1",37,7,0.0407426890731735
"UKJ3",37,36,0.029302278701946
"UKI3",38,2,0
