"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",13.18,14.55,14.89,15.34,16.31,18.54
"pop_Y65-74",7.414,8.942,9.874,9.649,10.58,11.15
"ARPR",9.7,14.48,16.55,16.93,19.42,22.2
"low_work",6.1,8.425,9.75,10.46,12.12,17.1
"rooms_pp",1.1,1.2,1.6,1.583,1.9,2.2
"mat_depriv",0.7,5.675,8.65,10.5,13.68,33.1
"ARPR_socexcl",14.8,19.15,24.4,24.77,28.52,40.1
"emp_Y15-24_ED0-2",3.88,10.89,17.89,19.5,26.74,40.36
"emp_Y15-24_ED3-4",33.18,54.25,64.21,63.89,73.01,86.7
"emp_Y25-64_ED3-4",23.07,38.54,49.47,48.34,58.26,72.48
"emp_Y15-24_ED5-8",4.736,9.246,15.27,16.47,21.85,40.74
"emp_Y25-64_ED5-8",20.92,27.59,34.19,35.3,42.98,50.59
"emp_TF",39.14,45.12,48.09,48.04,51.27,56.99
"emp_TP",1.403,4.145,7.564,8.314,10.64,17.81
"emp_Y25-64",56.02,67.51,70.29,70.5,74.73,83.1
"emp_YGE65",1.583,2.923,4.986,5.204,6.47,11.84
"emp_Y25-64_NaceA",1.065,2.48,3.862,4.749,6.878,13.07
"emp_Y15-24_NaceB-E",5.785,11.06,17.67,17.71,21.72,38.82
"emp_Y25-64_NaceF",4.331,6.527,6.761,7.008,7.524,9.735
"emp_Y25-64_NaceG-I",15,21.27,23.82,23.75,27.3,30.26
"emp_Y25-64_NaceJ",1.82,2.517,2.907,3.048,3.476,4.468
"emp_Y25-64_NaceK",1.422,2.206,2.595,3.276,3.417,13.22
"emp_Y25-64_NaceL",0.117,0.4802,0.6575,0.8315,1.05,2.318
"emp_Y15-24_NaceM_N",3.326,5.992,7.524,7.588,9.178,12.59
"emp_Y25-64_NaceM_N",5.834,7.051,8.238,8.722,10.38,13.04
"emp_Y15-24_NaceO-Q",4.65,9.584,13.89,14.8,18.53,33.06
"emp_Y25-64_NaceO-Q",20.08,22.14,23.86,25.36,28.13,34.41
"emp_Y15-24_NaceR-U",3.773,4.781,5.92,6.615,8.354,10.77
"emp_Y25-64_NaceR-U",2.892,3.858,4.626,5.22,5.516,11.4
"training",2.1,4.825,8.05,9.917,12.65,29.2
