"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y0-14",0.1318,0.1455,0.1489,0.1534,0.1631,0.1854
"pop_Y65-74",0.07414,0.08942,0.09874,0.09649,0.1058,0.1115
"ARPR",0.097,0.1448,0.1655,0.1693,0.1942,0.222
"low_work",0.061,0.08425,0.0975,0.1046,0.1212,0.171
"rooms_pp",0.1538,0.2308,0.5385,0.5256,0.7692,1
"mat_depriv",0.007,0.05675,0.0865,0.105,0.1368,0.331
"ARPR_socexcl",0.148,0.1915,0.244,0.2477,0.2852,0.401
"emp_Y15-24_ED0-2",0.0388,0.1089,0.1789,0.195,0.2674,0.4036
"emp_Y15-24_ED3-4",0.3318,0.5425,0.6421,0.6389,0.7301,0.867
"emp_Y25-64_ED3-4",0.2307,0.3854,0.4947,0.4834,0.5826,0.7248
"emp_Y15-24_ED5-8",0.04736,0.09246,0.1527,0.1647,0.2185,0.4074
"emp_Y25-64_ED5-8",0.2092,0.2759,0.3419,0.353,0.4298,0.5059
"emp_TF",0.3914,0.4512,0.4809,0.4804,0.5127,0.5699
"emp_TP",0.01403,0.04145,0.07564,0.08314,0.1064,0.1781
"emp_Y25-64",0.5602,0.6751,0.7029,0.705,0.7473,0.831
"emp_YGE65",0.01583,0.02923,0.04986,0.05204,0.0647,0.1184
"emp_Y25-64_NaceA",0.01065,0.0248,0.03862,0.04749,0.06878,0.1307
"emp_Y15-24_NaceB-E",0.05785,0.1106,0.1767,0.1771,0.2172,0.3882
"emp_Y25-64_NaceF",0.04331,0.06527,0.06761,0.07008,0.07524,0.09735
"emp_Y25-64_NaceG-I",0.15,0.2127,0.2382,0.2375,0.273,0.3026
"emp_Y25-64_NaceJ",0.0182,0.02517,0.02907,0.03048,0.03476,0.04468
"emp_Y25-64_NaceK",0.01422,0.02206,0.02595,0.03276,0.03417,0.1322
"emp_Y25-64_NaceL",0.00117,0.004802,0.006575,0.008315,0.0105,0.02318
"emp_Y15-24_NaceM_N",0.03326,0.05992,0.07524,0.07588,0.09178,0.1259
"emp_Y25-64_NaceM_N",0.05834,0.07051,0.08238,0.08722,0.1038,0.1304
"emp_Y15-24_NaceO-Q",0.0465,0.09584,0.1389,0.148,0.1853,0.3306
"emp_Y25-64_NaceO-Q",0.2008,0.2214,0.2386,0.2536,0.2813,0.3441
"emp_Y15-24_NaceR-U",0.03773,0.04781,0.0592,0.06615,0.08354,0.1077
"emp_Y25-64_NaceR-U",0.02892,0.03858,0.04626,0.0522,0.05516,0.114
"training",0.021,0.04825,0.0805,0.09917,0.1265,0.292
