"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Y25-64",0.5201,0.5469,0.5488,0.5499,0.5665,0.567
"pop_YGE75",0.06066,0.06902,0.08085,0.08258,0.09226,0.1101
"ARPR",0.097,0.144,0.168,0.165,0.194,0.222
"mat_depriv",0.067,0.071,0.074,0.0962,0.116,0.153
"ARPR_socexcl",0.148,0.241,0.274,0.2476,0.283,0.292
"emp_Y15-24_ED0-2",0.02364,0.02516,0.03848,0.04292,0.05979,0.06754
"emp_Y15-24_ED3-4",0.05554,0.109,0.1091,0.1565,0.228,0.2809
"emp_Y25-64_ED3-4",0.1442,0.2603,0.2953,0.3106,0.2968,0.5565
"emp_Y15-24_ED5-8",0.008745,0.02401,0.04427,0.05578,0.09226,0.1096
"emp_FT",0.3978,0.4154,0.4648,0.4639,0.4744,0.5673
"emp_PT",0.03854,0.07815,0.07856,0.09106,0.08949,0.1706
"emp_Y15-24",0.1563,0.1674,0.2265,0.2565,0.2756,0.4568
"emp_YGE65",0.01555,0.03551,0.04829,0.05148,0.06143,0.09663
"emp_Y25-64_NaceA",0.008153,0.02117,0.02172,0.02061,0.02596,0.02603
"emp_Y15-24_NaceB-E",0.01594,0.0165,0.03183,0.04173,0.03738,0.107
"emp_Y25-64_NaceB-E",0.06862,0.08717,0.09263,0.1204,0.128,0.2257
"emp_Y15-24_NaceF",0.006439,0.01169,0.01174,0.01528,0.01803,0.02848
"emp_Y15-24_NaceG-I",0.06493,0.07571,0.07792,0.1018,0.1065,0.1838
"emp_Y25-64_NaceG-I",0.151,0.1585,0.1643,0.17,0.1802,0.1962
"emp_Y25-64_NaceK",0.01687,0.01793,0.01913,0.02567,0.03116,0.04324
"emp_Y25-64_NaceL",0.002797,0.003435,0.00355,0.005091,0.007035,0.008639
"emp_Y25-64_NaceM_N",0.05427,0.06379,0.06523,0.06831,0.06669,0.09158
"emp_Y15-24_NaceO-Q",0.01044,0.02181,0.02236,0.03295,0.02603,0.0841
"emp_Y15-24_NaceR-U",0.0126,0.01572,0.01777,0.02104,0.02097,0.03812
"GDP",0.1016,0.1073,0.1202,0.1229,0.1302,0.1552
"training",0.071,0.081,0.096,0.1024,0.101,0.163
