"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.004914,0.04821,0.1121,0.2239,0.2177,1
"pop_Y0-14",0.1318,0.146,0.1512,0.1571,0.1686,0.22
"pop_Y15-24",0.09708,0.1076,0.1188,0.1168,0.1242,0.1425
"pop_Y65-74",0.07303,0.08916,0.09867,0.0959,0.1058,0.1115
"pop_YGE75",0.05306,0.07333,0.08333,0.08139,0.08958,0.1073
"rooms_pp",0.07692,0.2308,0.5769,0.5385,0.7692,1
"ARPR_socexcl",0.148,0.1888,0.244,0.2488,0.2852,0.403
"emp_Y25-64_ED0-2",0.0382,0.09631,0.1319,0.164,0.1793,0.5074
"emp_Y15-24_ED3-4",0.3318,0.5385,0.6206,0.6221,0.7058,0.867
"emp_Y25-64_ED3-4",0.2307,0.3854,0.4645,0.4784,0.5776,0.7248
"emp_Y15-24_ED5-8",0.04736,0.08745,0.1374,0.1602,0.2185,0.4074
"emp_Y25-64_ED5-8",0.1983,0.2759,0.3463,0.3541,0.4298,0.5059
"emp_TF",0.3206,0.4496,0.4739,0.474,0.5076,0.5699
"emp_Y15-24",0.1281,0.22,0.2668,0.2993,0.4063,0.5841
"emp_Y25-64",0.5602,0.6846,0.7029,0.7082,0.7502,0.831
"emp_Y15-24_NaceB-E",0.05548,0.09148,0.1576,0.166,0.2129,0.3882
"emp_Y15-24_NaceF",0.02629,0.05448,0.07308,0.06808,0.08036,0.1204
"emp_Y25-64_NaceF",0.04331,0.06224,0.06737,0.06906,0.07524,0.09735
"emp_Y15-24_NaceG-I",0.2078,0.3249,0.3656,0.3675,0.4138,0.4918
"emp_Y25-64_NaceG-I",0.15,0.2084,0.2323,0.2332,0.2698,0.3026
"emp_Y25-64_NaceJ",0.01769,0.02517,0.02957,0.03103,0.03525,0.04468
"emp_Y25-64_NaceK",0.01392,0.02206,0.02732,0.03289,0.03516,0.1322
"emp_Y25-64_NaceL",0.00117,0.004802,0.006575,0.008081,0.01034,0.02318
"emp_Y15-24_NaceM_N",0.03326,0.05992,0.07474,0.07473,0.09178,0.1259
"emp_Y25-64_NaceM_N",0.04619,0.07051,0.08715,0.08744,0.1038,0.1304
"emp_Y15-24_NaceO-Q",0.03109,0.09584,0.1376,0.1438,0.1807,0.3306
"emp_Y15-24_NaceR-U",0.03463,0.04639,0.0592,0.06504,0.08332,0.1077
"emp_Y25-64_NaceR-U",0.02684,0.03858,0.04576,0.05059,0.054,0.114
"unemp_YGE25",0.02837,0.03838,0.04875,0.0619,0.07014,0.1582
"GDP",0.0329,0.08745,0.1087,0.1333,0.176,0.4635
