"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",429300,3899000,9162000,18160000,17640000,81200000
"pop_Y0-14",13.16,14.56,15.18,15.72,16.67,22.14
"pop_Y15-24",9.629,10.66,11.65,11.45,12.18,14.08
"pop_Y65-74",7.466,9.227,9.944,9.796,10.47,11.54
"pop_YGE75",5.441,7.495,8.497,8.314,9.16,11.01
"rooms_pp",1,1.2,1.65,1.6,1.9,2.2
"mat_depriv",0.7,4.95,7.9,10.45,13.68,33.1
"ARPR_socexcl",14.8,18.88,24.4,24.88,28.52,40.3
"emp_Y15-24_ED0-2",0.7164,2.557,4.896,7.112,8.245,25.51
"emp_Y25-64_ED0-2",2.909,6.866,9.887,11.35,12.84,35.84
"emp_Y15-24_ED3-4",5.554,12.95,18.41,18.51,24.05,28.43
"emp_Y25-64_ED3-4",14.42,26.45,35.61,34.05,40.25,55.65
"emp_Y15-24_ED5-8",0.8745,2.296,3.659,4.702,7.005,10.96
"emp_Y25-64_ED5-8",13.14,18.75,25.26,25.26,31.68,36.23
"emp_FT",31.91,44.88,47.4,47.45,51.04,57.33
"emp_Y15-24",13.08,22.46,27.13,30.42,41.04,58.08
"emp_Y25-64",56.52,68.67,70.61,70.91,75.37,82.38
"emp_Y15-24_NaceB-E",1.015,3.212,4.283,4.775,6.396,10.7
"emp_Y25-64_NaceB-E",4.471,9.575,12.12,12.35,15.75,22.57
"emp_Y15-24_NaceF",0.5392,1.297,1.796,2.079,2.843,6.116
"emp_Y25-64_NaceF",2.448,4.199,4.9,4.92,5.472,7.481
"emp_Y25-64_NaceG-I",10.74,14.79,16.35,16.42,17.87,20.51
"emp_Y25-64_NaceK",0.9622,1.562,1.797,2.331,2.579,9.47
"emp_Y25-64_NaceL",0.06612,0.3405,0.454,0.5875,0.7375,1.677
"emp_Y15-24_NaceO-Q",0.7149,2.21,3.731,4.578,6.568,10.59
"emp_Y25-64_NaceR-U",1.856,2.673,3.352,3.576,3.926,8.166
"unemp_Y15-24",3.785,6.501,7.813,8.896,10.74,19.02
"unemp_YGE25",2.799,3.816,4.863,6.191,7.062,15.93
"GDP",12800,20420,23400,26840,32800,73000
"training",1.5,4.825,8.05,10.59,14.35,31.9
