"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"rooms_pp",0.00139420190044725,0.0163423871677787,2,0.023530940876545,0.268459247384841
"emp_Y25_64_ED5_8",0.00135278674714806,3.91281743545775e-05,2,0.0241841793681433,0.0131360687656525
"low_work",0.0020210952809382,0.000372242847182242,2,0.0247012249648645,0.040516675338476
"emp_TP",0.000286026109455542,8.50738184230517e-05,3,0.0249251710616395,0.0193695077444678
"pop_Y65_74",-0.00114712802094075,0.00148479242723089,3,0.0250649690840881,0.080919556283935
"emp_Y25_64_NaceA",-0.0050404016035699,0.000382246703620447,3,0.0261498152019879,0.0410574993975204
"emp_Y15_24_NaceM_N",0.000454502611908934,0.000354319074443158,3,0.026826815522168,0.0395291874444852
"pop_Y0_14",-0.00207708435542452,0.00165820677159913,4,0.0288281682270497,0.0855145398038204
"emp_Y25_64_NaceM_N",-0.0018565708843348,0.000887773277879864,4,0.0295926681212867,0.0625707924112338
"training",0.000386657654098423,8.39510588043495e-05,5,0.0299009941794076,0.0192412689318786
"emp_Y25_64_NaceR_U",0.0178628109791121,0.00322718241158462,4,0.0315675188528133,0.119297784314418
"emp_Y15_24_ED0_2",-0.00193853979955032,6.38856154714295e-05,5,0.0321246889048664,0.0167850315654504
"emp_Y15_24_ED3_4",-0.000686787705082853,2.84265412714773e-05,5,0.0321829690678301,0.0111965089437329
"emp_Y15_24_NaceO_Q",1.87847993623173e-05,9.10024613861016e-05,6,0.0323305074967804,0.0200330553183225
"emp_Y25_64_NaceG_I",0.0118390758539532,0.0012344375853629,4,0.0346611122918546,0.0737828096141358
"emp_Y15_24_NaceB_E",-0.00416055373371938,0.000188009205323582,5,0.0356239334714454,0.0287945421654763
"emp_Y15_24_ED5_8",0.00328097985814761,0.000101118860563543,5,0.0370701712752891,0.0211172180504835
"emp_Y25_64_NaceJ",0.0495740335307059,0.0240002309321211,6,0.0387962308452016,0.325333159593461
"emp_Y15_24_NaceR_U",-0.0131266096953218,0.00215137241281171,8,0.0399453932130016,0.0974043647709794
"emp_Y25_64_NaceF",0.0360765171398147,0.011263558103194,8,0.0424526859098705,0.222873494520948
"emp_YGE65",0.0186007756167814,0.00247816923200965,10,0.0506028655068877,0.104540867844399
"emp_Y25_64",0.0141525869882025,0.00119389263549286,7,0.0508262026699928,0.0725609996745031
"emp_Y25_64_NaceO_Q",-0.0214603588931153,0.00272664125093057,10,0.0596469849599139,0.109656560881658
"emp_TF",0.016859868664411,0.00187862860948217,12,0.0597544674552722,0.091020891881096
"emp_Y25_64_ED3_4",0.00837883509537148,0.00037404818180807,7,0.0615325477638456,0.0406148070880633
"ARPR",0.482783620746325,0.498778243299307,32,0.333512924303339,1.48311344304046
"ARPR_socexcl",1.14479097120134,0.760661215201736,69,0.682630204685364,1.83153936443148
"emp_Y25_64_NaceL",7.85387202660845,9.29508447210974,97,0.984510786298814,6.40246615269297
"mat_depriv",-1.20110470935231,0.331317047322874,96,0.986365343434525,1.20876676864554
"(Intercept)",-27.2319617252161,210.695345182748,100,1,30.4823251447552
"emp_Y25_64_NaceK",3.75431479157211,0.455180871983715,100,1,1.41681329163687
