"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_NaceG_I",0.00126724964556161,0.000168164754503834,2,0.0155060718338438,0.0272686319536698
"pop_Y65_74",0.00882273529607343,0.001104031323155,2,0.0163183490120333,0.0698693268433995
"emp_PT",0.00424742378900779,0.000139094104303117,2,0.0190588908105946,0.0247999167272446
"emp_Y15_24_ED5_8",0.00196509383111339,0.000146248095871329,3,0.0200816151717435,0.0254296844769892
"emp_Y15_24_ED0_2",-0.00218609495027587,0.000106936839188784,4,0.0225978570246837,0.0217450060610556
"emp_Y25_64_ED5_8",-0.0023089324667597,7.29122700329782e-05,4,0.0238003880869496,0.0179554449308854
"emp_Y15_24_NaceB_E",-0.0021930957639871,0.000425322139543778,4,0.0246274168669427,0.0433665482942635
"pop_Y0_14",0.0207396374391064,0.0036191834370901,3,0.0255550495298079,0.126503097423499
"training",0.0047824368066483,0.000188939297112698,4,0.0265252627085638,0.0289039374782529
"unemp_YGE25",-0.00994135595942407,0.000670827152997834,3,0.0272337596054475,0.0544629520983622
"emp_Y15_24_NaceM_N",0.00366191323152055,0.0021825471558092,5,0.0280807597163212,0.0982375854062773
"emp_Y15_24_NaceF",0.020508344723545,0.00390852707217617,5,0.0292294668723567,0.131462662473236
"emp_Y25_64_NaceO_Q",0.00811736762015787,0.000562567557359807,4,0.0297868015516466,0.0498750338094631
"emp_Y15_24_NaceO_Q",0.0112730063744471,0.00104318401634878,4,0.0331209596403086,0.0679166605455202
"rooms_pp",-0.13456855660001,0.118191042888171,5,0.0334742964794724,0.722916510910081
"low_work",0.0070856885784216,0.00108415389591342,5,0.0344144627132655,0.0692374921398747
"emp_Y25_64_NaceA",-0.0232080759452435,0.0033083687387187,5,0.0350280196572813,0.120949148632638
"unemp_Y15_24",-0.00864479157308455,0.000697028790062466,6,0.03881744844925,0.0555163902220294
"pop_Y15_24",-0.04930105395421,0.0134238984242828,5,0.0394154824400145,0.243632482282713
"emp_Y25_64_NaceR_U",-0.104540397861826,0.0551725844516609,8,0.0669285080429041,0.493921038775368
"emp_Y25_64",0.0276933118703495,0.00376813240865735,11,0.0770137772618103,0.129079994731007
"emp_Y25_64_ED3_4",0.0170913840385409,0.00143963776575994,13,0.0874058988664229,0.0797852255123381
"emp_Y25_64_NaceB_E",0.0536222902119313,0.0135051473546021,17,0.10510853922973,0.244368669932517
"emp_YGE65",0.0756145792251006,0.0242855310285584,16,0.108538758242471,0.327694885790485
"emp_Y25_64_NaceJ",1.20868739550051,4.5862230964844,13,0.18566898437982,4.50322296087893
"emp_Y15_24_NaceR_U",-0.701853211904819,1.5572057846962,15,0.189921737264919,2.62403042117582
"ARPR_socexcl",1.28069189519407,0.27409476193704,89,0.936391914467707,1.1008958370974
"mat_depriv",-1.1569655690999,0.193294161716831,90,0.940681587542999,0.924496411657163
"(Intercept)",-32.1570095406687,242.571027903133,100,1,32.750303254055
"emp_Y25_64_NaceK",7.76054264955249,0.917255872002719,100,1,2.01391488485672
"emp_Y25_64_NaceL",14.0913987667744,13.276683598377,100,1,7.66197382900356
