"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y15_24_NaceO_Q",0.000320246636485778,8.79613982797509e-05,2,0.014164019144795,0.0197874904723773
"pop_Y65_74",0.00593573787881873,0.00102460401761067,2,0.0141803836735743,0.067534032693453
"emp_Y15_24_ED0_2",-0.000177462308481565,4.57838215259617e-05,2,0.0144831514502767,0.0142758072807244
"emp_Y25_64_NaceA",-0.00709908186474569,0.000520162562408039,2,0.0161099703805698,0.0481187350768945
"rooms_pp",-0.0148072342261851,0.0196217140897294,2,0.0174922658993583,0.295537862640861
"training",0.00328016696111074,0.000118114818767891,3,0.019099977369537,0.0229296196302975
"emp_Y15_24_ED5_8",0.00106472303603476,0.000215477848456498,3,0.0203348353770556,0.0309703398975584
"emp_Y25_64_NaceR_U",0.0224142360898155,0.0053991052643687,2,0.0220269052867739,0.15502636140916
"emp_Y15_24_NaceM_N",-0.0387974748833365,0.00981001806685789,4,0.0232488068839013,0.20896789122569
"low_work",-0.00693823498471155,0.000771288604079887,4,0.0246798037995005,0.0585939955599194
"emp_FT",-0.0013302647531858,0.000194506393997112,5,0.0270304713234668,0.0294246697847623
"emp_PT",0.0150751221361904,0.00120541644203984,4,0.027170884410052,0.0732509416557267
"emp_Y25_64_NaceB_E",0.0169978711537808,0.00194631816706439,4,0.028482653912523,0.0930789712660867
"emp_Y25_64",0.00469961258981942,0.000392690817371553,5,0.0313149622510572,0.0418090240060327
"emp_Y25_64_NaceO_Q",-0.00739461213221426,0.00101940958896636,4,0.0327157958527035,0.0673626267397803
"pop_Y0_14",0.0333079254945753,0.00929639528072282,6,0.0346131768593214,0.203423886424688
"unemp_YGE25",-0.0214999461691252,0.00292949063773558,5,0.0376576986891194,0.114193323707414
"emp_Y25_64_ED5_8",-0.0227124646721878,0.00240267644773058,2,0.0493733273082957,0.10341708735566
"emp_YGE65",0.0811322075943531,0.0288097025554151,13,0.0874667491057128,0.358108017009745
"emp_Y25_64_ED3_4",0.0355475605351594,0.00518150282149753,12,0.119148088050505,0.151870186402622
"emp_Y15_24_NaceF",0.910742306948958,2.29325829092739,26,0.237520820778894,3.19500206108677
"emp_Y25_64_NaceJ",3.36215751492924,27.0861104349995,28,0.271088228448038,10.9803953933611
"emp_Y15_24_NaceR_U",-2.41724201265413,13.1051692095474,31,0.298382831330726,7.63775939154378
"emp_Y25_64_NaceG_I",0.896003911838588,1.54177005089766,45,0.375803604803122,2.61971748705439
"emp_Y15_24_NaceB_E",-0.902433859392176,1.30942644364957,52,0.424694232300514,2.41426651041718
"GDP",0.000446332742924916,2.47630872350586e-07,57,0.474399485457804,0.00104989785949814
"emp_Y25_64_NaceL",5.0597934764313,31.2436447279586,43,0.542345426233255,11.7930326765055
"emp_Y25_64_NaceK",3.45017275539321,9.9651476570456,46,0.566430204688063,6.66018857093831
"ARPR_socexcl",1.00472333768709,0.929785282507141,47,0.574218520734117,2.03439832805314
"mat_depriv",-0.995753281963011,0.906717348776282,47,0.574405902768089,2.00900315703429
"(Intercept)",-34.5106992457092,473.872268030983,100,1,45.9277641146838
