"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_ED3_4",0.00135054604397941,1.3388003844053e-05,1,0.0120358363699172,0.00762868453199665
"emp_Y25_64_NaceR_U",0.00519146295695057,0.000767384189579194,3,0.019052690712368,0.057756140650786
"emp_Y15_24_NaceM_N",-0.00487656596686323,0.000464694512183132,3,0.0201740405842599,0.0449443923994898
"emp_Y15_24_NaceF",0.0084907266077529,0.000808689058947698,3,0.0215318677901332,0.0592901467754128
"emp_Y25_64_NaceA",-0.00390062349620783,0.000158919125214698,3,0.0231548681789574,0.026283295913711
"emp_Y15_24_ED5_8",-0.00185654843656713,4.96798719364664e-05,3,0.0246065853879652,0.0146954190766718
"pop_Y65_74",0.00726355289087987,0.00252549627236238,4,0.0256081951839067,0.104776794496496
"emp_Y25_64_NaceG_I",0.00187586001911709,0.000228866446837765,4,0.0267945319639464,0.0315415335827939
"ARPR_socexcl",0.00259359671227366,0.000207641084425319,4,0.0275720814286592,0.0300433519823904
"emp_Y15_24_ED3_4",-0.00186115320818224,4.28634619226455e-05,3,0.027680596038994,0.0136500852584475
"emp_Y25_64_NaceF",0.00182645602509252,0.00251500903780969,4,0.0279005850572811,0.104559023056956
"emp_Y25_64_ED5_8",0.00395768436544725,0.0001519723544689,3,0.0285523167239815,0.0257024212817199
"training",0.00420930040206036,0.000191234179245302,3,0.0287574368500363,0.0288319821132402
"emp_Y25_64",0.00569118004403516,0.000286937318382118,4,0.0318676327142615,0.0353171182403472
"emp_Y15_24_NaceR_U",-0.00649838001907463,0.00153920188921456,4,0.0320281256194823,0.0817974068094498
"low_work",0.0111966151685846,0.00108996941983989,4,0.0322623972111196,0.0688333487478845
"emp_Y25_64_NaceM_N",0.0195238846354509,0.00346118931017027,3,0.0332352998736317,0.122660411866389
"emp_Y15_24_NaceO_Q",0.0089320515039981,0.000499113393147653,3,0.0337403924259224,0.0465791279725745
"emp_Y25_64_NaceJ",0.0761211132753069,0.0368586173861286,3,0.0354244016621063,0.400277576694909
"emp_Y15_24_ED0_2",0.00384261493152697,0.000115485739973388,4,0.0354799856061899,0.0224055661606551
"pop_Y0_14",-0.0425428333817972,0.0128590701294604,4,0.0388351813871513,0.236426702016426
"rooms_pp",-0.0329902938615384,0.1060343115817,5,0.0409906871161814,0.678914293703528
"pop_Y25_64",0.0335662065569149,0.0115654808373648,6,0.049982908332262,0.224219607727951
"emp_Y25_64_NaceO_Q",-0.0213091575794664,0.00283363391114239,6,0.0548484116032286,0.110984827756258
"emp_TP",0.0291501430585787,0.00423051899648925,6,0.0704870919132645,0.13560901657539
"GDP",7.68984351221239e-05,2.05535605902905e-08,27,0.183083952131796,0.000298906442377665
"mat_depriv",-0.0765831346325897,0.0190134412483972,25,0.217849303026858,0.287489577939556
"emp_Y15_24_NaceB_E",-0.271645662704703,0.0703436292097098,73,0.665149063237555,0.552973255523201
"emp_Y25_64_NaceK",4.29235366909007,1.20610898646342,97,0.979684952403347,2.289733923185
"emp_Y25_64_NaceL",9.59686761598579,10.9601957883084,99,0.995981128549581,6.90241230885767
"(Intercept)",-2.14079702903167,265.157320477671,100,1,33.950295022003
