"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"unemp_YGE25",-3.43133884704629e-05,2.03527989127887e-07,2,0.0145598782146409,0.000941030081201562
"emp_Y25_64_NaceL",0.000387976679434953,1.4269038606341e-05,3,0.0177012287341218,0.00787932096783671
"emp_Y15_24_ED0_2",3.95167833084128e-05,8.06816015758603e-08,3,0.0180444889504679,0.00059248681595173
"ARPR_socexcl",4.4198412360656e-05,9.02077619660293e-08,3,0.0190334522502039,0.000626488912954336
"emp_FT",0.000141799490339771,2.27859563408217e-07,3,0.0207082177460361,0.000995692110592434
"GDP",-3.37307783664068e-08,1.16409448050612e-13,4,0.0215787601741604,7.11681293483731e-07
"emp_Y25_64_ED5_8",0.000170975726747485,1.9391195092299e-07,2,0.0216346678031032,0.000918530799685005
"emp_Y15_24_NaceB_E",-0.000255174356535585,1.05113420869167e-06,4,0.0225153265283855,0.00213855547568664
"training",-1.31779264653403e-05,7.10025448826482e-08,4,0.0225821940067326,0.000555812606729821
"emp_Y25_64_NaceR_U",-0.000106279358389828,3.34438271433214e-06,4,0.0235465952729534,0.00381460365513234
"emp_Y15_24_ED5_8",0.000336256157010014,1.24592597538196e-06,4,0.0241734429662839,0.00232829258818682
"emp_Y25_64",-0.000190253788446217,5.90327301474144e-07,5,0.0255344635104086,0.00160264698187724
"emp_Y15_24",-0.000227557718325358,3.53193686270831e-07,3,0.0283148915815156,0.00123964662192611
"emp_Y25_64_ED3_4",0.000281732631973774,5.05476044154481e-07,3,0.0312441756824985,0.00148300195846437
"low_work",-0.000406007621108256,1.595939510052e-06,5,0.0313798537805196,0.00263511545890623
"pop_Total",-7.38596123266836e-11,3.60177202188907e-20,5,0.0362496427966506,3.95867224000595e-10
"emp_Y15_24_NaceF",0.00288052838334633,4.83109542549333e-05,4,0.0387095416901099,0.0144982052418528
"emp_Y25_64_NaceB_E",-0.00133048288706706,8.67922652873582e-06,6,0.041206647239015,0.00614514234640693
"emp_Y25_64_ED0_2",-0.000720642212649416,2.44502707194259e-06,5,0.0639916828576774,0.00326161932464524
"pop_Y0_14",0.00319230489756837,4.8523351574149e-05,7,0.0670512215896643,0.0145300407002811
"rooms_pp",0.0559647613107794,0.0114929154717518,18,0.152617518885877,0.223617888222607
"pop_Y65_74",-0.0190193039203183,0.0012667034725754,19,0.166783275893742,0.0742384534683037
"pop_YGE75",-0.0250980930590126,0.00170527847286865,31,0.261523019240436,0.0861368707584271
"emp_Y15_24_ED3_4",-0.00804241623128559,0.000157594462609659,34,0.281254195087905,0.0261855627896326
"emp_Y15_24_NaceO_Q",-0.0477905558081702,0.00152468582441441,67,0.694762142727095,0.0814482236158178
"emp_YGE65",0.044222134329078,0.000556615280848798,89,0.905651200387061,0.0492117714059758
"emp_Y25_64_NaceF",-0.193277297300867,0.00644273353692262,91,0.944670987266895,0.167427395138353
"pop_Y15_24",0.211850497941273,0.00437976356679983,99,0.992010180441762,0.138043756453703
"(Intercept)",-3.08433858240874,1.61755272860035,100,1,2.6528986506327
"emp_Y25_64_NaceG_I",0.138244500287432,0.00105181762172222,100,1,0.067649042935962
"emp_Y25_64_NaceK",0.226172063652554,0.00301603056041769,100,1,0.114553748344245
