"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,2236000,4225000,5310000,7156000,17640000
"pop_Y0-14",11.42,13.79,15.16,15.49,16.82,25.43
"pop_Y15-24",7.25,10.63,11.36,11.22,12.28,14.08
"pop_Y25-64",49.06,52.17,54.88,54.42,56.52,60.39
"pop_Y65-74",6.143,9.186,10.05,9.821,10.62,12.68
"pop_YGE75",4.978,7.621,8.915,9.041,10.39,13.02
"emp_Y25-64_ED0-2",1.845,7.207,10.66,12.27,15.1,43.41
"emp_Y25-64_ED3-4",11.07,24.86,33.57,33.61,42.31,55.65
"emp_Y25-64_ED5-8",9.101,18.91,25,24.65,29.69,44.68
"emp_FT",29.13,43.86,45.4,45.58,48.22,59.9
"emp_PT",2.886,7.111,10.73,11.31,16.49,19.86
"emp_Y25-64",47.48,65.86,72.8,70.73,76.79,88
"emp_Y25-64_NaceG-I",10.58,14.64,16.32,16.37,17.53,23.82
"emp_Y25-64_NaceO-Q",11.44,15.84,20.15,19.54,23.02,30.47
"GDP",12200,21100,25000,27490,31200,73000
"training",1.9,6.5,9.3,11.03,15.2,30.9
