"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.02924,0.05077,0.06425,0.08742,0.2169
"pop_Y0-14",0.1142,0.1379,0.1505,0.1544,0.1674,0.2543
"pop_Y15-24",0.0725,0.1055,0.1135,0.1122,0.1229,0.1408
"pop_Y25-64",0.4906,0.5224,0.549,0.5446,0.5653,0.6039
"pop_Y65-74",0.06143,0.09321,0.1005,0.09856,0.1069,0.1268
"pop_YGE75",0.04978,0.07663,0.08884,0.0903,0.102,0.1302
"emp_Y25-64_ED0-2",0.01845,0.07122,0.1032,0.1205,0.1474,0.4341
"emp_Y25-64_ED3-4",0.1107,0.2508,0.3413,0.3379,0.4195,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1888,0.2511,0.2469,0.2971,0.4468
"emp_FT",0.2913,0.4396,0.4551,0.4582,0.4836,0.599
"emp_PT",0.01355,0.06377,0.1049,0.1102,0.1646,0.1986
"emp_Y25-64",0.4748,0.6569,0.7266,0.7073,0.7647,0.88
"emp_Y25-64_NaceG-I",0.1058,0.1468,0.1642,0.1648,0.1766,0.2382
"emp_Y25-64_NaceO-Q",0.1144,0.157,0.2,0.1938,0.2294,0.3047
"GDP",0.01216,0.09084,0.1162,0.135,0.164,0.4635
"training",0.012,0.064,0.093,0.1076,0.1505,0.309
