"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.03148,0.05162,0.0641,0.08398,0.2169
"pop_Y0-14",0.1142,0.1383,0.1505,0.1544,0.1674,0.2543
"pop_Y15-24",0.0725,0.1055,0.1135,0.1121,0.1222,0.1408
"pop_Y25-64",0.4906,0.5252,0.5492,0.5454,0.5658,0.6039
"pop_Y65-74",0.06143,0.09039,0.1003,0.09826,0.1063,0.1268
"pop_YGE75",0.04978,0.07663,0.08802,0.08979,0.1013,0.1302
"emp_Y25-64_ED0-2",0.01845,0.07201,0.1067,0.1219,0.1513,0.4341
"emp_Y25-64_ED3-4",0.1107,0.2581,0.3552,0.3408,0.4214,0.5565
"emp_Y25-64_ED5-8",0.09101,0.1827,0.243,0.2421,0.2958,0.4468
"emp_FT",0.2913,0.4402,0.457,0.4606,0.4884,0.599
"emp_PT",0.01355,0.06066,0.1021,0.1077,0.1621,0.1986
"emp_Y25-64",0.4748,0.6589,0.7232,0.7066,0.763,0.88
"emp_Y25-64_NaceG-I",0.1058,0.1463,0.1636,0.1638,0.1757,0.2382
"emp_Y25-64_NaceO-Q",0.08204,0.1506,0.199,0.1895,0.2292,0.3047
"GDP",0.01216,0.08798,0.1141,0.1313,0.1617,0.4635
"training",0.008,0.05675,0.092,0.1036,0.1462,0.309
