"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",1986000,3826000,5551000,5543000,6502000,10540000
"pop_Y0-14",13.67,14.28,14.91,14.96,15.42,16.91
"pop_Y15-24",9.826,10.41,11.26,11.21,11.75,12.94
"pop_Y25-64",54.17,56.51,57.05,56.86,57.74,58.94
"pop_Y65-74",7.973,8.604,8.959,9.362,10.03,12.36
"pop_YGE75",6.182,7.054,7.572,7.607,8.169,9.242
"emp_Y25-64_ED0-2",2.164,3.477,5.022,7.515,11.27,20.34
"emp_Y25-64_ED3-4",36.79,38.27,39.83,41.12,42.25,55.65
"emp_Y25-64_ED5-8",10.11,17.86,19.04,19.51,21.77,31.47
"emp_FT",44.69,47.52,49.75,50.86,54.78,59.9
"emp_PT",1.355,3.296,4.031,4.043,4.709,9.049
"emp_Y25-64_NaceG-I",12.27,13.38,14.56,15.49,17.55,20.18
"emp_Y25-64_NaceO-Q",8.204,10.85,13.21,12.9,15.26,16.68
"GDP",9900,13450,16650,16910,19000,25800
"training",0.8,1.975,3.2,3.464,4.05,9.6
