"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0.02411,0.04678,0.06803,0.06793,0.07974,0.1295
"pop_Y0-14",0.1367,0.1428,0.1491,0.1496,0.1542,0.1691
"pop_Y15-24",0.09826,0.1041,0.1126,0.1121,0.1175,0.1294
"pop_Y25-64",0.5417,0.5651,0.5705,0.5686,0.5774,0.5894
"pop_Y65-74",0.07973,0.08604,0.08959,0.09362,0.1003,0.1236
"pop_YGE75",0.06182,0.07054,0.07572,0.07607,0.08169,0.09242
"emp_Y25-64_ED0-2",0.02164,0.03477,0.05022,0.07515,0.1127,0.2034
"emp_Y25-64_ED3-4",0.3679,0.3827,0.3983,0.4112,0.4225,0.5565
"emp_Y25-64_ED5-8",0.1011,0.1786,0.1904,0.1951,0.2177,0.3147
"emp_FT",0.4469,0.4752,0.4975,0.5086,0.5478,0.599
"emp_PT",0.01355,0.03296,0.04031,0.04043,0.04709,0.09049
"emp_Y25-64_NaceG-I",0.1227,0.1338,0.1456,0.1549,0.1755,0.2018
"emp_Y25-64_NaceO-Q",0.08204,0.1085,0.1321,0.129,0.1526,0.1668
"GDP",0.01216,0.03755,0.06044,0.06233,0.07725,0.1259
"training",0.008,0.01975,0.032,0.03464,0.0405,0.096
