"","Sum Sq","Df","F value","Pr(>F)"
"pop_Total",404.916340109573,1,9.62009240324382,0.00271202777555488
"pop_Y0_14",342.06180802361,1,8.12678046017433,0.00562996265268999
"pop_YGE75",151.01474953783,1,3.58784198339221,0.0620595201933275
"emp_Y25_64_ED0_2",865.184302756399,1,20.5552409569353,2.15408054982126e-05
"emp_Y25_64_ED3_4",885.975868704451,1,21.0492116017709,1.76055908896908e-05
"emp_Y25_64_ED5_8",866.627159931383,1,20.5895206783817,2.12405036618542e-05
"emp_Y25_64",945.561361967785,1,22.4648569939302,9.94176746244048e-06
"emp_Y25_64_NaceG_I",251.468152428699,1,5.97443625560395,0.0168641694606604
"GDP",638.795994109076,1,15.1766572040248,0.000210969775889932
"training",118.446260717179,1,2.81407258746244,0.097603951560182
"Residuals",3156.801851298,75,NA,NA
