"","Sum Sq","Df","F value","Pr(>F)"
"pop_Total",1.6137459146002,1,6.11859429604253,0.015297040732295
"pop_Y0_14",10.2062319322199,1,38.6974132170236,1.62591263662443e-08
"pop_YGE75",4.92302503422534,1,18.6658832850699,4.08019655491814e-05
"emp_Y25_64_ED0_2",7.04331025244589,1,26.7050454138872,1.46515824745918e-06
"emp_Y25_64_ED3_4",7.111022083115,1,26.9617780365128,1.3234281839542e-06
"emp_Y25_64_ED5_8",6.83053308160389,1,25.8982906626819,2.02052079328551e-06
"emp_PT",1.39470025149268,1,5.28807225862838,0.0238387447644473
"emp_Y25_64",7.08192031565267,1,26.8514373027028,1.38253616701693e-06
"emp_Y25_64_NaceO_Q",2.37206806229837,1,8.99380874305681,0.0035219458432415
"Residuals",23.2095206208832,88,NA,NA
