"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"pop_Y0_14",-0.000185323036919494,2.41582807423112e-06,9,0.0648352888798848,0.00308819848527041
"emp_Y25_64_NaceG_I",-0.000285866654617858,1.65705598210731e-06,10,0.0696251916291117,0.00255764806054736
"pop_YGE75",0.000848095994977857,8.64482174292844e-06,9,0.0714893259777245,0.00584184749055326
"GDP",1.91271883640147e-07,2.71121473286303e-13,9,0.0761853858790207,1.03455635208807e-06
"pop_Y65_74",-0.00187827801199371,3.20583215331165e-05,10,0.0872421726487109,0.0112497425534531
"pop_Y25_64",-0.000664868321594567,8.81559156195819e-06,12,0.0990380863988476,0.00589926525076503
"emp_PT",-0.0174812263892818,0.00067605578006115,41,0.418029675989177,0.0516610773496548
"training",-0.00494108302545536,4.8577635076506e-05,48,0.462225868842158,0.0138481059531735
"emp_Y25_64",0.0582097979279369,0.00604426368781109,50,0.496512387600094,0.154469910533785
"emp_FT",-0.0267226192405506,0.00102877546406112,63,0.648707123821407,0.063728323352006
"emp_Y25_64_ED3_4",-0.0406465208609851,0.00302696269618852,68,0.69193281021796,0.109313985365574
"emp_Y25_64_ED0_2",-0.0321210396741996,0.00301635335464855,72,0.694005657596845,0.109122247388933
"emp_Y25_64_ED5_8",-0.0110858407598883,0.00312425288856747,81,0.814756579963333,0.111056832776099
"pop_Y15_24",0.0649324839928375,0.000650521646167473,99,0.991712945944461,0.0506760866240095
"(Intercept)",0.499521362590156,0.372421023020594,100,0.999999999999999,1.21252105317216
"pop_Total",-3.68104391616498e-08,8.1776345848948e-17,100,0.999999999999999,1.79674334048147e-08
"emp_Y25_64_NaceO_Q",-0.0510749564020643,0.000203319368405941,100,0.999999999999999,0.0283309781824182
