"","model","aicc","weights"
"1","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED3_4 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceO_Q + training",125.439679962699,0.0333620877024106
"2","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceO_Q + training",125.716568489234,0.0290487627860943
"3","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceO_Q + training",125.922401672468,0.0262078583195343
"4","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED3_4 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceO_Q",126.422385284634,0.0204108678261464
"5","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_Y25_64_NaceO_Q + training",126.60040275114,0.0186726290100577
"6","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceO_Q",126.755910926543,0.0172757653852103
"7","migrt_Y25_64 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED3_4 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceO_Q + training",126.798005691712,0.016915955551963
"8","migrt_Y25_64 ~ 1 + pop_Total + pop_Y0_14 + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED3_4 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceO_Q",126.955146241005,0.0156377367784623
"9","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceO_Q",126.966262376125,0.015551062275464
"10","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + pop_Y65_74 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_Y25_64_NaceO_Q + training",126.992649090888,0.0153472390659489
"11","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_PT + emp_Y25_64_NaceO_Q + training",127.000870429157,0.0152842811322951
"12","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + pop_Y65_74 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_FT + emp_Y25_64_NaceO_Q + training",127.075835970755,0.0147219879114076
"13","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_FT + emp_Y25_64_NaceO_Q + training",127.150512726202,0.0141824285851914
"14","migrt_Y25_64 ~ 1 + pop_Total + pop_Y15_24 + emp_Y25_64_ED0_2 + emp_Y25_64_ED5_8 + emp_Y25_64_NaceO_Q",127.165243507928,0.0140783532037004
