"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_NaceG_I",0.000150924372279895,6.8147684327255e-07,4,0.0309325516189357,0.00164033696117737
"GDP",6.07083737034002e-08,1.3271923382018e-13,7,0.0491341109240344,7.23893125354514e-07
"pop_YGE75",0.00108573338436407,1.45262827390279e-05,8,0.0596785774275262,0.0075732931121263
"pop_Y25_64",0.00246228213922208,3.35741647904858e-05,9,0.0876909078686197,0.0115135732464805
"pop_Y65_74",0.00703647330831056,0.000228443314393485,15,0.129567099368227,0.0300328637331119
"pop_Y0_14",-0.00907406344924323,0.000281208108586772,27,0.247651088210141,0.0333212618154421
"emp_Y25_64_ED3_4",-0.0168555047206289,0.000624795633802215,57,0.56994755632948,0.0496679816836066
"emp_PT",-0.0309078225413604,0.00170442827427907,54,0.5796175163897,0.0820345659028841
"emp_Y25_64",0.0586507135352128,0.00398412834733327,58,0.604286485859912,0.125422132212024
"training",-0.0116575303704613,0.000157126255271333,60,0.622433661786306,0.024907600965377
"emp_Y25_64_ED0_2",-0.00277244077867889,0.000590536027183467,71,0.729020465006849,0.0482870549438266
"emp_FT",-0.0505773528015815,0.00270311911514602,70,0.732690736395156,0.103309464677219
"emp_Y25_64_ED5_8",0.0249807622123575,0.000700658691686772,79,0.769635270479447,0.052596976071787
"(Intercept)",-0.190181750071,1.07767877896352,100,1,2.06277654630623
"pop_Total",-5.52689600659085e-08,1.82365257014562e-16,100,1,2.68335770924401e-08
"pop_Y15_24",0.115844596509096,0.00162117052421538,100,1,0.0800058730550754
"emp_Y25_64_NaceO_Q",-0.0800879189009617,0.000487676751760664,100,1,0.043880699865995
