"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"emp_Y25_64_NaceR_U",0.0324607964647703,0.0251968243085715,2,0.0173367481260758,0.351333825804988
"pop_Total",1.56765355940067e-08,2.7329343548363e-15,2,0.0187311626176006,1.1570754018554e-07
"training",0.00877732937305474,0.00269797258204023,3,0.020964013338229,0.114965048527409
"emp_YGE65",0.0172936450548436,0.00289068140671433,4,0.0213770700176874,0.119000058679665
"emp_Y15_24_NaceG_I",0.00661435513596357,0.000377265174312635,4,0.0217411028151765,0.0429902944302001
"emp_Y25_64_NaceO_Q",0.0109350864221541,0.0013071649984614,4,0.0220973096897981,0.0800225278388134
"pop_Y15_24",0.0201233960337523,0.0172640628848439,4,0.0228687725441306,0.290816180120914
"emp_Y25_64_NaceG_I",0.00987116163829054,0.00151763539334984,3,0.0234874992139175,0.08622451976589
"emp_Y25_64_ED3_4",0.0113535936661837,0.00111623318753133,4,0.0238194242462186,0.0739476754350252
"emp_Y15_24_ED0_2",-0.00460526546823803,0.000263234678520928,7,0.0240032737384865,0.0359102651935539
"emp_Y25_64_NaceF",-0.00791053078537315,0.0143200287572226,4,0.0248682609866174,0.264861604785251
"pop_Y65_74",-0.0192431937308511,0.0158550063406814,3,0.0256272708181345,0.278695701944668
"pop_Y0_14",-0.0335865103026098,0.0339889762292997,4,0.0276197266880936,0.408052556215905
"emp_Y25_64_NaceB_E",-0.00409020720372161,0.000858525794410759,6,0.0276401550640338,0.0648520539137006
"unemp_Y15_24",0.0575843229725638,0.0250114859358041,6,0.0278330835391436,0.350039301091459
"unemp_YGE25",0.0200158735756975,0.0148152941351842,6,0.0288322493845425,0.269402858886075
"emp_Y25_64_ED5_8",-0.00326235615478728,0.000673362349264931,7,0.0294732588754271,0.0574343189634357
"emp_Y15_24_ED3_4",0.0155011950946506,0.00153405666000563,9,0.0341581236739472,0.0866897521472945
"emp_Y25_64_ED0_2",-0.0138059090218001,0.00188638870423788,10,0.0401226344222538,0.0961308217160914
"emp_Y25_64_NaceM_N",0.0567064823256903,0.04339481624345,5,0.04027918737969,0.461069068463437
"emp_TP",-0.0728207911660254,0.0324413610168473,9,0.0402993666338057,0.398654429544361
"pop_YGE75",-0.321130918095981,0.537171222612265,6,0.0503188706937615,1.62219638894614
"emp_Y15_24",-0.0595281034567974,0.0197075074903836,17,0.0550966004947745,0.310715494756879
"GDP",-1.74490029228512e-05,1.72534422458789e-08,3,0.0574616927862153,0.000290726713092022
"emp_Y25_64_NaceJ",-0.620124102860413,1.94304613806731,8,0.0892376399841363,3.08523761498418
"pop_Y25_64",6.10842972282872,17.4268272376746,74,0.783042275546506,9.23966496869612
"emp_TF",-2.22294003891887,1.25360277399425,85,0.882947798811983,2.4781468217817
"(Intercept)",-174.7594583414,70094.8931253485,100,1,585.990060993104
