"","model","aicc","weights"
"1","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + GDP",609.273582643925,0.0319030033004036
"2","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64_NaceG_I + GDP",609.41362403067,0.029745547571657
"3","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y0_14 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + GDP",609.688539913183,0.025925356833184
"4","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_PT + emp_Y25_64 + GDP",609.707955298115,0.0256748990922515
"5","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y0_14 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64_NaceG_I + GDP",609.712061252514,0.0256222431790052
"6","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y0_14 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + GDP",610.004662545957,0.0221350029994495
"7","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y0_14 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + GDP",610.108312754694,0.021017072787825
"8","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y0_14 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + GDP",610.25112473328,0.019568656108132
"9","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + GDP",610.341374498403,0.0187052498568452
"10","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + GDP",610.558784219955,0.0167785177815655
"11","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_PT + emp_Y25_64 + emp_Y25_64_NaceG_I + GDP",610.75642323048,0.0151997633618186
"12","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y0_14 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64_NaceG_I + GDP",610.763767398572,0.0151440509062882
"13","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED0_2 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + GDP",610.823905155058,0.0146954643292104
"14","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED0_2 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_PT + GDP",610.866411052358,0.0143864378739966
"15","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + GDP",610.892241026467,0.0142018318731202
"16","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y0_14 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_PT + GDP",610.892303080343,0.0142013912406003
"17","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y25_64 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + GDP",610.916366288248,0.0140315495086876
"18","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64_NaceO_Q + GDP",611.092602990673,0.0128480234107299
"19","lmktm_ED0_2 ~ 1 + pop_Total + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + GDP + training",611.230200270786,0.0119938178668609
