"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",84570,1123000,1520000,2062000,2286000,1e+07
"pop_Y0-14",11.04,14.21,15.75,15.83,17.07,23.94
"pop_Y15-24",7.425,9.569,11.19,11.06,12.55,14.46
"pop_Y25-64",48.83,51.43,54.08,53.94,55.88,61.18
"pop_Y65-74",4.292,9.271,10.42,10.06,11.12,13.38
"pop_YGE75",3.517,7.376,8.904,9.105,10.51,15.1
"emp_Y25-64_ED0-2",1.588,11.88,14.49,15.25,20.38,28.34
"emp_Y25-64_ED3-4",10.26,19.67,30.6,29.36,34.43,59.94
"emp_Y25-64_ED5-8",8.965,15.51,26.06,25.61,32.27,55.1
"emp_FT",27.62,41.79,45.4,44.95,47.67,59.34
"emp_PT",2.621,7.386,10.39,12.03,17.08,28.32
"emp_Y25-64",45.18,68.11,73.12,70.67,76.68,103.5
"emp_Y25-64_NaceG-I",10.13,14.96,15.91,16.28,17.66,27.31
"emp_Y25-64_NaceO-Q",11.14,14.47,17.28,19.33,24.06,33.05
"GDP",16100,21200,24100,27150,28700,148000
