"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,950000,1479000,1873000,2279000,12090000
"pop_Y0-14",11.04,13.87,15.21,15.59,16.82,44.13
"pop_Y15-24",7.057,10.49,11.34,11.24,12.12,16.44
"pop_Y25-64",36.82,51.87,54.54,54.1,56.12,62.36
"pop_Y65-74",1.672,9.159,10.03,9.92,10.89,14.13
"pop_YGE75",0.9382,7.63,9.205,9.155,10.58,15.1
"emp_Y25-64_ED0-2",1.588,7.734,11.12,12.51,16.13,43.41
"emp_Y25-64_ED3-4",10.26,26.03,34.73,34.37,42.59,59.94
"emp_Y25-64_ED5-8",8.965,16.57,22.68,23.53,29,55.1
"emp_FT",21,43.32,45.8,45.73,48.47,60.9
"emp_PT",0.9401,5.954,10.36,10.96,16.75,28.32
"emp_Y25-64",32.8,65.55,72.3,70.61,77.28,103.5
"emp_Y25-64_NaceG-I",6.105,14.13,15.91,16.08,17.66,28.61
"emp_Y25-64_NaceO-Q",6.978,14.75,19.83,19.18,22.99,34.25
"GDP",8200,19300,24200,25990,30400,148000
