"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",28920,914500,1464000,1842000,2273000,12090000
"pop_Y0-14",11.04,13.93,15.38,15.71,16.9,44.13
"pop_Y15-24",7.057,10.55,11.39,11.31,12.22,16.44
"pop_Y25-64",36.82,51.72,54.33,53.98,55.92,62.36
"pop_Y65-74",1.672,9.184,10.08,9.953,10.93,14.13
"pop_YGE75",0.9382,7.564,8.925,9.039,10.5,15.1
"emp_Y25-64_ED0-2",1.588,8.113,11.49,12.57,15.46,43.41
"emp_Y25-64_ED3-4",10.26,26.75,34.66,34.27,41.75,59.94
"emp_Y25-64_ED5-8",8.965,17.38,23.1,23.84,29.01,55.1
"emp_FT",21,42.43,45.65,45.11,48.17,60.9
"emp_PT",0.9401,6.158,10.58,12.01,17.09,34.44
"emp_Y25-64",32.8,66.05,73.05,70.94,77.34,103.5
"emp_Y25-64_NaceG-I",6.105,14.06,15.67,15.99,17.52,28.61
"emp_Y25-64_NaceO-Q",6.978,15.13,20.51,19.56,23.51,34.25
"GDP",8200,19780,24550,26460,30820,148000
