"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max."
"pop_Total",0,0.01091,0.01767,0.02234,0.02765,0.1486
"pop_Y0-14",0.1104,0.1393,0.1538,0.1571,0.169,0.4413
"pop_Y15-24",0.07057,0.1055,0.1139,0.1131,0.1222,0.1644
"pop_Y25-64",0.3682,0.5172,0.5433,0.5398,0.5592,0.6236
"pop_Y65-74",0.01672,0.09184,0.1008,0.09953,0.1093,0.1413
"pop_YGE75",0.009382,0.07564,0.08925,0.09039,0.105,0.151
"emp_Y25-64_ED0-2",0.01588,0.08113,0.1149,0.1257,0.1546,0.4341
"emp_Y25-64_ED3-4",0.1026,0.2675,0.3466,0.3427,0.4175,0.5994
"emp_Y25-64_ED5-8",0.08965,0.1738,0.231,0.2384,0.2901,0.551
"emp_FT",0.21,0.4243,0.4565,0.4511,0.4817,0.609
"emp_PT",0.009401,0.06158,0.1058,0.1201,0.1709,0.3444
"emp_Y25-64",0.328,0.6605,0.7305,0.7094,0.7734,1.035
"emp_Y25-64_NaceG-I",0.06105,0.1406,0.1567,0.1599,0.1752,0.2861
"emp_Y25-64_NaceO-Q",0.06978,0.1513,0.2051,0.1956,0.2351,0.3425
"GDP",0,0.0828,0.117,0.1306,0.1618,1
