"","Sum Sq","Df","F value","Pr(>F)"
"pop_Total",201.817037745193,1,3.4974193518172,0.0627348607661459
"pop_Y0_14",838.263914292114,1,14.5268232480788,0.000177439450385146
"pop_Y65_74",900.582489837401,1,15.6067825742332,0.00010373593895011
"pop_YGE75",2521.24216708284,1,43.6922533612159,2.64967434321226e-10
"emp_Y25_64_ED0_2",758.387596674718,1,13.1425943340677,0.000355402181038211
"emp_Y25_64_ED3_4",938.117454077703,1,16.2572505018694,7.52321237628588e-05
"emp_Y25_64_ED5_8",812.710242165809,1,14.0839869622873,0.000221409393964926
"emp_FT",7531.43254335039,1,130.517116980362,3.09184834386863e-24
"emp_Y25_64",639.339486572933,1,11.0795318259709,0.00101635232422538
"emp_Y25_64_NaceG_I",839.384705798766,1,14.5462461766309,0.000175727916201367
"GDP",2342.00523785803,1,40.5861394679846,1.01414247707506e-09
"Residuals",13272.0483339456,230,NA,NA
