"","Sum Sq","Df","F value","Pr(>F)"
"pop_Y15_24",441.171508142409,1,19.2744891440466,1.7006455858238e-05
"pop_Y25_64",114.187815333507,1,4.98878954421878,0.0264381121311841
"pop_Y65_74",402.816148068118,1,17.5987690267599,3.84644027461006e-05
"emp_Y25_64_ED3_4",810.260970289207,1,35.3997617421901,9.48970440508637e-09
"emp_FT",1348.05100520922,1,58.8954499236132,4.2185606453508e-13
"emp_Y25_64",642.297021923591,1,28.0615287883085,2.66587743090629e-07
"emp_Y25_64_NaceG_I",68.9324828541621,1,3.01161423147898,0.0839588871058233
"emp_Y25_64_NaceO_Q",96.9822415042327,1,4.23708949136225,0.040634212762722
"GDP",153.539374378958,1,6.70803293057549,0.0101874188533711
"Residuals",5470.44280437408,239,NA,NA
