"","Sum Sq","Df","F value","Pr(>F)"
"pop_Y0_14",567.312458002218,1,21.2773086701095,6.39618042312436e-06
"pop_YGE75",396.11588123711,1,14.8565041280681,0.000148114254758631
"emp_Y25_64_ED0_2",269.073498056305,1,10.09172245794,0.00167976972540873
"emp_Y25_64_ED3_4",274.33634659615,1,10.2891079573888,0.00151576288707647
"emp_Y25_64_ED5_8",252.156008812246,1,9.45722442164323,0.00234061761319356
"emp_FT",1152.67085799613,1,43.2314385039076,2.89149740903513e-10
"emp_Y25_64",346.421750610461,1,12.9927034279047,0.000378466215940819
"emp_Y25_64_NaceG_I",108.715073534519,1,4.07740768611604,0.0445449345424546
"emp_Y25_64_NaceO_Q",203.196574277392,1,7.62097882855237,0.00620386350987511
"GDP",1024.12038469033,1,38.4100952359523,2.39876775453002e-09
"Residuals",6559.04686219072,246,NA,NA
