"","model","aicc","weights"
"1","lmktm_OC9 ~ 1 + pop_Total + pop_Y0_14 + pop_Y25_64 + pop_YGE75 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + emp_Y25_64_NaceO_Q + GDP",1745.10869407743,0.0380374963379265
"2","lmktm_OC9 ~ 1 + pop_Total + pop_Y0_14 + pop_Y25_64 + pop_YGE75 + emp_Y25_64_ED5_8 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + emp_Y25_64_NaceO_Q + GDP",1745.32875303026,0.0340742832382231
"3","lmktm_OC9 ~ 1 + pop_Total + pop_Y0_14 + pop_Y25_64 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + emp_Y25_64_NaceO_Q + GDP",1745.58771318978,0.0299360327272467
"4","lmktm_OC9 ~ 1 + pop_Total + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED3_4 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + emp_Y25_64_NaceO_Q + GDP",1746.02495877729,0.0240573381121214
"5","lmktm_OC9 ~ 1 + pop_Total + pop_Y0_14 + pop_Y25_64 + pop_YGE75 + emp_Y25_64_ED0_2 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_Y25_64_NaceG_I + emp_Y25_64_NaceO_Q + GDP",1746.11735752596,0.0229711870739377
"6","lmktm_OC9 ~ 1 + pop_Total + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED5_8 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + emp_Y25_64_NaceO_Q + GDP",1746.20200221019,0.0220192782242899
"7","lmktm_OC9 ~ 1 + pop_Total + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + emp_Y25_64_NaceO_Q + GDP",1746.35472280785,0.0204004723243766
"8","lmktm_OC9 ~ 1 + pop_Total + pop_Y0_14 + pop_Y25_64 + pop_YGE75 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + GDP",1746.69719330641,0.0171899137934486
"9","lmktm_OC9 ~ 1 + pop_Total + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_Y25_64_ED0_2 + emp_Y25_64_ED3_4 + emp_Y25_64_ED5_8 + emp_FT + emp_Y25_64_NaceG_I + emp_Y25_64_NaceO_Q + GDP",1746.71416816642,0.0170446330057347
"10","lmktm_OC9 ~ 1 + pop_Total + pop_Y15_24 + pop_Y65_74 + pop_YGE75 + emp_FT + emp_Y25_64 + emp_Y25_64_NaceG_I + GDP",1746.72146809645,0.0169825340899482
