"","Estimate","Uncond. variance","Nb models","Importance","+/- (alpha=0.05)"
"pop_Y65_74",-0.00332692737231139,0.000118633505722769,30,0.219454793858159,0.021445925507784
"pop_YGE75",0.00196963083645101,0.000120019152900242,37,0.31964841698207,0.0215708068236626
"pop_Y0_14",-0.00842301701969237,0.000180563610061549,47,0.380578688201658,0.0264579520789964
"emp_Y25_64_NaceG_I",0.00672935832481523,7.90453863877533e-05,52,0.515259556762327,0.017505695676307
"emp_PT",-0.0145692426339299,0.000304588923632049,51,0.551063791575835,0.0343635611444507
"emp_Y25_64_ED3_4",-0.0128768460532864,0.000296916432301353,57,0.580980328060867,0.0339279975197743
"emp_Y25_64",0.0295929393939622,0.000922651412219057,60,0.637570884142046,0.05980809043093
"emp_Y25_64_ED5_8",0.0167538903483069,0.000314303244850584,74,0.726118740909725,0.0349072425195503
"emp_Y25_64_ED0_2",-0.000550567036022766,0.00028385485704496,86,0.830570961434582,0.033173345802952
"pop_Y25_64",0.0323983133796232,0.000332795862868852,91,0.932199706979228,0.0359194824391006
"pop_Y15_24",0.0759614960501897,0.000610351069454199,96,0.974923479479555,0.048644188854059
"(Intercept)",-1.30334020593294,2.24965999077918,100,1,2.95324551630117
"pop_Total",-6.06670148796827e-08,2.10293317243804e-16,100,1,2.85531381657584e-08
"emp_FT",-0.031180071499294,0.00042770548614239,100,1,0.0407205393277309
"emp_Y25_64_NaceO_Q",-0.0388830888752316,6.43744693375309e-05,100,1,0.0157978484016743
"GDP",-7.26792261772105e-06,5.84271494333855e-12,100,1,4.75935894622845e-06
