"","MEyellow","MEgreen","MEred","MEblue","MEbrown","MEturquoise","MEgrey"
"AT",-0.181926687372578,-0.152828115029147,-0.021668809243631,0.194549801969141,0.149566865874824,0.0848806904727469,0.0878993938641711
"BE",-0.112917624285402,-0.0876305752348992,0.035810700066719,-0.0307710457256041,-0.119356233905738,0.245274493884532,-0.0049958365014999
"BG",0.00541052237826534,0.347135437608255,0.15129615784412,0.110116160410462,-0.167602028502161,-0.287181732961205,0.152928232048908
"CY",0.26418375210812,-0.0278772229226493,-0.441585191997474,-0.219123125907807,-0.100228148267785,0.0479368040285002,-0.447494696467928
"CZ",-0.217442106807491,-0.330805700331252,-0.00648421182812198,0.243321770024694,0.0518011770322976,-0.190110291450765,0.137419162046056
"DE",-0.25954829887355,-0.064796158110514,0.252894794685123,0.184799895321763,0.137219021061413,0.157107022105788,0.141284641842861
"DK",0.0234282108683139,-0.223730657980778,-0.179528921255951,-0.010548697868516,0.260775134108039,0.281427478395001,0.166961385799222
"EE",-0.0831663695007151,0.145780197088715,0.105993886622162,0.122634201429314,0.266589134426581,-0.139155810436083,-0.0125920657796517
"EL",0.45838812983309,0.296436013516856,0.312286393257521,-0.189036704773406,-0.405268286356452,-0.150543450422724,0.166425408711977
"ES",0.51969165479961,0.201945415404392,0.282719684884865,-0.374292271593579,-0.277547074296143,0.0707647151782773,-0.0483073651822073
"FI",-0.00273448819276055,-0.213980709702893,-0.00296183715500707,0.104947905749747,0.117258108399298,0.199627750580856,0.226080450322341
"FR",-0.0469438826514937,-0.183759624641964,0.0526988120274279,-0.0343219350138607,0.0118583335223433,0.156995108207995,-0.0277390879958973
"HR",0.213924031583394,0.130100441215195,0.0412090825806992,0.127758883076399,-0.269711106940824,-0.17962384253586,0.0679373902209603
"HU",-0.178780834704522,0.0506583991460568,-0.0684808332846502,0.12963369116984,-0.172968591623384,-0.160854383464954,0.146165091800826
"IE",0.133997605779337,0.0258887038145525,-0.194323909148718,-0.186602005623618,0.00903702597374842,0.2031608247748,-0.253327773822165
"IT",0.11122409502751,0.115819927703171,0.385497552590731,-0.0366567804430768,-0.243230759384955,0.0622463601082459,0.213915797390882
"LT",-0.0121660318931237,0.0936887328832471,-0.0864243789562512,0.074885379037411,0.0761213799797401,-0.201068993821912,-0.38231659750792
"LU",-0.239058881819922,-0.0954956610376526,-0.150766525390033,-0.0360642496988344,-0.097582547643575,0.299366234904271,-0.482794078215499
"LV",-0.0284124695963043,0.225758275003477,0.099533738533149,0.180825452087266,0.201978814819194,-0.203488401515541,-0.0299019445930118
"MT",-0.126120391472962,-0.0400336650264366,-0.197646531985389,-0.377352158818465,-0.0123646411244007,-0.0043542947287384,-0.0217731136277414
"NL",0.033006972854243,-0.256807845744112,-0.113040555643297,-0.138510896366749,0.240650720595024,0.200981613040761,0.129842110777208
"PL",-0.0995188735898649,0.00160462859668482,-0.164732126378154,0.201198156805435,-0.0854271156351692,-0.182443325423949,-0.165527346464025
"PT",0.129759462649998,0.107012410662852,0.225340522086596,-0.433437670717855,0.0435358014037845,-0.0725547806202623,0.0417495083169075
"RO",-0.245995444085887,0.436349034697559,-0.0110687577640074,0.0703253041883693,-0.0352082808569023,-0.323870721530479,0.0111819904526266
"SE",0.0268410205546811,-0.159504358413803,-0.0638527277946311,0.0475731702610421,0.354816624237233,0.242386603142268,0.207112755673239
"SI",-0.0847461058106471,-0.125223923737518,0.163900209767942,0.0884499548366176,-0.0554776414498414,-0.0804705055150164,0.0556314303118533
"SK",0.027175467670108,-0.203505932378266,-0.293597679231279,0.284465697687077,-0.147844426238632,-0.224708483485058,-0.102269202622405
"UK",-0.0275524354494452,-0.0121974670491296,-0.113018537890462,-0.0987678815032056,0.268608740792443,0.148273319088505,0.0265043591999107
