"","var","module","kTotal","kIn","MM.yellow","p.MM.yellow","MM.green","p.MM.green","MM.red","p.MM.red","MM.blue","p.MM.blue","MM.brown","p.MM.brown","MM.turquoise","p.MM.turquoise","MM.grey","p.MM.grey"
"29","emp_Y15-24_NaceG-I","yellow",0.709800046959528,0.189939735633095,0.836891078270389,2.8608048739567e-08,0.223316912972085,0.253327177655594,-0.0273672687465791,0.890052973379548,-0.575259989053092,0.00136237160750661,-0.066776135741653,0.735654529545208,0.128626163108922,0.514199456695692,0.0503557744937055,0.799132031942312
"41","unemp_Y15-24","yellow",0.668521206993591,0.279928843187946,0.863711001642036,3.24848794852223e-09,0.174603174603175,0.37419451660958,0.106185002736727,0.590725235169159,-0.476190476190476,0.0104199634372176,-0.250684181718664,0.198205924384724,0.0952380952380952,0.629752943589836,0.0826491516146688,0.675862582300653
"42","unemp_YGE25","yellow",1.46085587043575,0.228356631626073,0.781061850027367,9.35751439048986e-07,0.427476737821565,0.0232675629323305,0.298303229337712,0.12310947239451,-0.170224411603722,0.386478251991297,-0.498084291187739,0.00698919522042287,-0.349206349206349,0.068545276145155,-0.197591680350301,0.313517267978883
"7","ARPR","green",2.17428279775371,0,0.161533210062576,0.41153413407778,0.94565374162057,3.37122320480782e-14,0.51635870199664,0.00490790684067714,-0.1963039179913,0.316745132835777,-0.307186884220695,0.111814062790312,-0.399452463527624,0.0352126145737129,-0.137166336002289,0.486412980642809
"11","ARPR_socexcl","green",4.66052322696972,0,0.233474752425907,0.231806400602233,0.959354053051353,8.34947211943907e-16,0.354180925719957,0.0644343807340225,-0.167784317980165,0.393422670874703,-0.524976055278886,0.0041262826139221,-0.532366229154032,0.00354309049926452,-0.123990695016337,0.52959961238247
"3","pop_Y15-24","red",0.551735442679126,0,-0.0842911877394636,0.669778482575204,-0.450465243568692,0.0161485869786104,-0.84783798576902,1.23792604352287e-08,-0.0383141762452107,0.846514950590931,0.365079365079365,0.0560981356399166,0.243568691844554,0.211666298980814,-0.293924466338259,0.128975719176239
"6","pop_YGE75","red",0.310577541974149,0,0.177887246852764,0.365132747722769,0.411056376573618,0.0297785731182649,0.864805692391899,2.94418543518808e-09,-0.135741652983032,0.490994585687825,-0.0749863163656267,0.704513791666417,-0.0262725779967159,0.894426106947615,0.342090859332239,0.0747742800738836
"13","emp_Y25-64_ED0-2","blue",1.79031893065877,0.373068577212156,0.328954570333881,0.0874057167809684,0.202517788724685,0.301358464700256,0.135194307608101,0.492760562210918,-0.862616310892173,3.58122569868317e-09,-0.242474001094691,0.213790962441942,0.35632183908046,0.0627252343885941,0.0749863163656267,0.704513791666417
"15","emp_Y25-64_ED3-4","blue",4.58415899465368,0.399417856597369,-0.37712096332786,0.0478959902032355,-0.0207991242474001,0.916334614346521,0.0700602079912425,0.723145960468371,0.905309250136836,3.64482259854777e-11,-0.023535851122058,0.905371889132347,-0.60919540229885,0.000580203320602046,0.215654077723043,0.270401197812199
"16","emp_Y15-24_ED5-8","blue",0.383922457944398,0.0662181118434793,0.181718664477285,0.354725359416194,0.284072249589491,0.142917159345504,-0.136836343732895,0.487472255752842,-0.428571428571429,0.0228786027831203,-0.0634920634920635,0.748229401913272,0.0541871921182266,0.784192178546247,-0.615763546798029,0.000486333212380529
